Specified year (2015), specified month (7)
Total Tracks Unique Artists Unique albums Unique Tracks
     111            31            21           100
  1: ( 12) - Corb Lund
  2: ( 12) - Orchestral Manoeuvres in the Dark
  3: ( 11) - Allison Moorer
  4: ( 10) - JT Nero
  5: (  9) - Angie Palmer
  6: (  9) - Heaven 17
  7: (  8) - Shelby Lynne
  8: (  7) - Aztec Camera
  9: (  5) - Edwyn Collins
 10: (  3) - Cowboy Junkies
 11: (  3) - Kacey Musgraves
 12: (  2) - New Order
 13: (  2) - The Smiths
 14: (  1) - Bunny Wailer
 15: (  1) - Burning Spear
 16: (  1) - David Bowie
 17: (  1) - Emmylou Harris
 18: (  1) - Gregory Isaacs
 19: (  1) - Inner Circle
 20: (  1) - Jacob Miller
 21: (  1) - Junior Byles
 22: (  1) - Junior Murvin
 23: (  1) - Justin Hinds & The Dominoes
 24: (  1) - Kiddus I
 25: (  1) - Maytones
 26: (  1) - Peter Tosh
 27: (  1) - Simple Minds
 28: (  1) - The Cure
 29: (  1) - The Heptones
 30: (  1) - The Upsetters
 31: (  1) - Third World
