Specified year (2015), specified month (8)
Total Tracks Unique Artists Unique albums Unique Tracks
     954           167           190           763
  1: ( 88) - Tift Merritt
  2: ( 59) - Bob Dylan
  3: ( 56) - Elton John
  4: ( 47) - Lloyd Cole

  5: ( 45) - Hem











  6: ( 33) - Talking Heads



  7: ( 29) - Rosanne Cash
  8: ( 28) - Kacey Musgraves





  9: ( 22) - Eilen Jewell
 10: ( 21) - Carrie Rodriguez
 11: ( 21) - Gretchen Peters

 12: ( 19) - David Bowie
 13: ( 18) - Martin Stephenson



 14: ( 14) - Dolly Parton
 15: ( 14) - JT and the Clouds
 16: ( 13) - Elvis Costello & the Attractions
 17: ( 12) - Birds of Chicago
 18: ( 12) - Eliza Gilkyson
 19: ( 12) - Hayes Carll
 20: ( 12) - The Redlands Palomino Company
 21: ( 11) - Duran Duran
 22: ( 11) - Ian McCulloch
 23: ( 11) - Joni Mitchell
 24: ( 10) - The Cure
 25: (  9) - JT Nero
 26: (  9) - Rod Picott and Amanda Shires
 27: (  9) - The Jam
 28: (  8) - Corb Lund
 29: (  8) - Elvis Costello
 30: (  8) - Rachel Harrington
 31: (  8) - The Velvet Underground
 32: (  8) - The Waterboys
 33: (  8) - Tom Tom Club
 34: (  7) - Laura Cantrell
 35: (  7) - Laura Marling
 36: (  7) - Scott Walker
 37: (  7) - Simple Minds
 38: (  7) - Striking Matches
 39: (  7) - Travis Linville
 40: (  6) - Caroline Herring
 41: (  6) - Jeff Bridges
 42: (  6) - John Cale
 43: (  6) - Sarah MacDougall
 44: (  6) - The Mavericks
 45: (  5) - Martin Stephenson and the Daintees
 46: (  5) - Martyn Bates
 47: (  5) - Rodney Crowell
 48: (  5) - Romi Mayes
 49: (  4) - Angie Palmer
 50: (  4) - Chip Taylor & Carrie Rodriguez
 51: (  4) - Orange Juice
 52: (  4) - Shelby Lynne
 53: (  4) - Stephenson'S Rocketts
 54: (  4) - The Wailin' Jennys
 55: (  4) - UB40
 56: (  3) - Amanda Shires
 57: (  3) - Cara Luft
 58: (  3) - Noah and the Whale
 59: (  3) - Stealers Wheel
 60: (  2) - Altered Images
 61: (  2) - Beth Nielsen Chapman
 62: (  2) - Bob & Marcia
 63: (  2) - Bob Marley & the Wailers
 64: (  2) - Burning Spear
 65: (  2) - Carrie Rodriguez and Ben Kyle
 66: (  2) - David Rodigan
 67: (  2) - Desmond Dekker & the Aces
 68: (  2) - Emmylou Harris
 69: (  2) - Fleetwood Mac
 70: (  2) - Jan Garbarek
 71: (  2) - Patty Griffin
 72: (  2) - Roddy Frame
 73: (  2) - Ryan Bingham
 74: (  2) - Sheryl Crow
 75: (  2) - T. Rex
 76: (  2) - The Decemberists
 77: (  2) - The Low Anthem
 78: (  2) - The Rolling Stones
 79: (  2) - The Sundays
 80: (  2) - Weekend
 81: (  1) - Alton Ellis
 82: (  1) - Amy LaVere
 83: (  1) - Ananda Shankar
 84: (  1) - Aztec Camera
 85: (  1) - Boris Gardiner
 86: (  1) - Buck Owens
 87: (  1) - Bunny Wailer
 88: (  1) - Cocteau Twins
 89: (  1) - Colin Farrell
 90: (  1) - Colin Farrell & Jeff Bridges
 91: (  1) - Corinne West
 92: (  1) - Dandy Livingstone
 93: (  1) - Dave & Ansel Collins
 94: (  1) - Dave Barker
 95: (  1) - Delroy Wilson
 96: (  1) - Desmond Dekker
 97: (  1) - Don Drummond & the Skatalites
 98: (  1) - Edwyn Collins
 99: (  1) - Eyeless in Gaza
100: (  1) - Free
101: (  1) - Gary Numan
102: (  1) - Gregory Isaacs
103: (  1) - Greyhound
104: (  1) - Haircut 100
105: (  1) - Harry J Allstars
106: (  1) - Inner Circle
107: (  1) - It'S Immaterial
108: (  1) - Jacob Miller
109: (  1) - Jimmy Cliff
110: (  1) - John Holt
111: (  1) - John Kongos
112: (  1) - Josef K
113: (  1) - Joy Division
114: (  1) - Junior Byles
115: (  1) - Junior Murvin
116: (  1) - Justin Townes Earle
117: (  1) - Kiddus I
118: (  1) - Lightnin' Hopkins
119: (  1) - Lloyd Cole and the Commotions
120: (  1) - Loudon Wainwright III
121: (  1) - Louisa Mark
122: (  1) - Manfred Mann
123: (  1) - Mary Gauthier
124: (  1) - Max Romeo
125: (  1) - Maytones
126: (  1) - Mindy Smith
127: (  1) - Miranda Lambert
128: (  1) - Nicky Thomas
129: (  1) - Nina Simone
130: (  1) - Orchestral Manoeuvres in the Dark
131: (  1) - Owen Gray
132: (  1) - Peter Tosh
133: (  1) - Prefab Sprout
134: (  1) - Robert Duvall
135: (  1) - Robert Plant & Alison Krauss
136: (  1) - Roxy Music
137: (  1) - Rudy Thomas
138: (  1) - Sam Phillips
139: (  1) - Sex Pistols
140: (  1) - Siouxsie and the Banshees
141: (  1) - Slade
142: (  1) - Spandau Ballet
143: (  1) - Sugar Minott
144: (  1) - The Associates
145: (  1) - The Damned
146: (  1) - The Dust Poets
147: (  1) - The Ethiopians
148: (  1) - The Go-Betweens
149: (  1) - The Heptones
150: (  1) - The Louvin Brothers
151: (  1) - The Maytals
152: (  1) - The Melodians
153: (  1) - The Monkees
154: (  1) - The Passions
155: (  1) - The Pioneers
156: (  1) - The Stranglers
157: (  1) - The Teardrop Explodes
158: (  1) - The Upsetters
159: (  1) - The Vagaband
160: (  1) - The Walker Brothers
161: (  1) - Tony Tribe
162: (  1) - Townes Van Zandt
163: (  1) - U2
164: (  1) - Waylon Jennings
165: (  1) - Willie Nelson
166: (  1) - Willie Nelson & Asleep At the Wheel
167: (  1) - the FRIGHTNRS
