Specified year (2015), specified month (10)
Total Tracks Unique Artists Unique albums Unique Tracks
     491            75            82           455
  1: ( 45) - Lloyd Cole














  2: ( 30) - Shelby Lynne
  3: ( 29) - Tift Merritt





  4: ( 23) - Carrie Rodriguez
  5: ( 23) - Elvis Costello & The Attractions

  6: ( 21) - Justin Townes Earle



  7: ( 17) - Gretchen Peters
  8: ( 17) - Robert Forster
  9: ( 16) - Elvis Costello
 10: ( 15) - Bob Dylan
 11: ( 15) - Cowboy Junkies
 12: ( 14) - Rosanne Cash
 13: ( 13) - JT and the Clouds
 14: ( 13) - Patty Griffin
 15: ( 13) - The Wailin' Jennys
 16: ( 13) - Willie Nelson & Asleep At The Wheel
 17: ( 12) - Eilen Jewell
 18: ( 12) - Kacey Musgraves
 19: ( 12) - Roxy Music
 20: ( 11) - Hayes Carll
 21: ( 11) - JT Nero
 22: ( 11) - Jessica Pratt
 23: ( 10) - Amy LaVere
 24: ( 10) - David Bowie
 25: (  9) - Bryan Adams
 26: (  8) - Brian Eno & David Byrne
 27: (  8) - David Byrne & St. Vincent
 28: (  5) - Birds of Chicago
 29: (  3) - Laura Cantrell
 30: (  3) - Tom Waits
 31: (  3) - Tracey Thorn
 32: (  2) - Corb Lund
 33: (  2) - Leonard Cohen
 34: (  1) - Al Barry & The Aces
 35: (  1) - Anonymously Yours
 36: (  1) - Ansel Collins
 37: (  1) - Bob Andy
 38: (  1) - Dandy
 39: (  1) - Dave Barker
 40: (  1) - Earl Lawrence
 41: (  1) - Echo & the Bunnymen
 42: (  1) - Emmylou Harris
 43: (  1) - Flick Wilson
 44: (  1) - Hugh Hendricks & The Buccaneers
 45: (  1) - Jah Lloyd
 46: (  1) - Joan Baez
 47: (  1) - John Cale
 48: (  1) - Jonathan Richman And The Modern Lovers
 49: (  1) - Joy Division
 50: (  1) - Lou Reed
 51: (  1) - Marcia Aitken
 52: (  1) - Marcia Griffiths
 53: (  1) - Miranda Lambert
 54: (  1) - Nick Cave & The Bad Seeds
 55: (  1) - Nora Dean
 56: (  1) - Norris Weir
 57: (  1) - Orange Juice
 58: (  1) - Orchestral Manoeuvres in the Dark
 59: (  1) - Rod Picott & Amanda Shires
 60: (  1) - Sarah MacDougall
 61: (  1) - Ska Campbell
 62: (  1) - Slim Smith
 63: (  1) - The Adverts
 64: (  1) - The Coolers
 65: (  1) - The Cure
 66: (  1) - The Dynamites
 67: (  1) - The Hippy Boys
 68: (  1) - The Jam
 69: (  1) - The Soul Syndicate
 70: (  1) - The Sundays
 71: (  1) - Tommy Shakespeare
 72: (  1) - Val Bennett
 73: (  1) - Winston Samuels
 74: (  1) - Winston Wright
 75: (  1) - Yazoo
