Specified year (2015)
Total Tracks Unique Artists Unique albums Unique Tracks
    3696           308           352          2248
   1: ( 223) - Tift Merritt
   2: ( 205) - Lloyd Cole
   3: ( 202) - Bob Dylan
   4: ( 135) - Roxy Music
   5: ( 126) - Hem
   6: (  92) - Gretchen Peters
   7: (  91) - Carrie Rodriguez
   8: (  78) - Eilen Jewell
   9: (  75) - Shelby Lynne
  10: (  69) - Kacey Musgraves
  11: (  69) - Elvis Costello
  12: (  68) - Rosanne Cash
  13: (  66) - Corb Lund
  14: (  66) - Prefab Sprout
  15: (  63) - Orchestral Manoeuvres in the Dark
  16: (  61) - Allison Moorer
  17: (  56) - Elton John
  18: (  52) - Roddy Frame
  19: (  50) - Robert Forster
  20: (  48) - Sarah MacDougall
  21: (  48) - Jason Isbell
  22: (  47) - David Bowie
  23: (  47) - The Cure
  24: (  47) - U2
  25: (  46) - The Jam


  26: (  43) - JT Nero


  27: (  40) - Heaven 17
  28: (  40) - JT and the Clouds
  29: (  39) - Orange Juice
  30: (  38) - Angie Palmer

  31: (  36) - Scott Walker
  32: (  35) - Rachel Harrington
  33: (  34) - Talking Heads

  34: (  32) - Emmylou Harris
  35: (  32) - Elvis Costello & The Attractions
  36: (  31) - Cowboy Junkies

  37: (  29) - Hayes Carll
  38: (  28) - Patty Griffin


  39: (  25) - Tom Tom Club
  40: (  24) - The Redlands Palomino Company
  41: (  23) - Dave Rawlings Machine
  42: (  22) - Justin Townes Earle
  43: (  22) - Martin Stephenson
  44: (  21) - Edwyn Collins
  45: (  21) - Ian McCulloch
  46: (  20) - Cocteau Twins
  47: (  20) - Andrew Combs
  48: (  19) - The Wailin' Jennys
  49: (  19) - Laura Marling
  50: (  19) - The Velvet Underground
  51: (  18) - Aztec Camera
  52: (  18) - Simple Minds
  53: (  18) - UB40
  54: (  18) - The Go-Betweens
  55: (  18) - B.E.F.
  56: (  17) - Martin Stephenson And The Daintees
  57: (  17) - Birds of Chicago
  58: (  16) - Natalie Prass
  59: (  15) - Dolly Parton
  60: (  15) - Robert Plant & Alison Krauss
  61: (  15) - Gillian Welch
  62: (  15) - Rod Stewart
  63: (  14) - Willie Nelson & Asleep At The Wheel
  64: (  13) - John Cale
  65: (  12) - Eliza Gilkyson
  66: (  12) - Amy LaVere
  67: (  12) - The Decemberists
  68: (  12) - Echo & the Bunnymen
  69: (  11) - Rodney Crowell
  70: (  11) - Rod Picott & Amanda Shires
  71: (  11) - Travis Linville
  72: (  11) - Miranda Lambert
  73: (  11) - Duran Duran
  74: (  11) - Joni Mitchell
  75: (  11) - Fleet Foxes
  76: (  11) - Jessica Pratt
  77: (  11) - The Wailers
  78: (  10) - Cara Luft
  79: (  10) - Laura Cantrell
  80: (  10) - The Civil Wars
  81: (   9) - Romi Mayes
  82: (   9) - Bryan Adams
  83: (   8) - The Waterboys
  84: (   8) - Leonard Cohen
  85: (   8) - Brian Eno & David Byrne
  86: (   8) - David Byrne & St. Vincent
  87: (   8) - Larkin Poe
  88: (   7) - Striking Matches
  89: (   7) - Martyn Bates
  90: (   7) - Jeff Bridges
  91: (   7) - Joy Division
  92: (   7) - Lloyd Cole and The Commotions
  93: (   7) - The Style Council
  94: (   6) - The Mavericks
  95: (   6) - Caroline Herring
  96: (   5) - Amanda Shires
  97: (   5) - Jan Garbarek
  98: (   5) - The Low Anthem
  99: (   5) - Brian Eno
 100: (   5) - Tracey Thorn
 101: (   5) - Led Zeppelin
 102: (   4) - The Heptones
 103: (   4) - Gregory Isaacs
 104: (   4) - Stealers Wheel
 105: (   4) - Chip Taylor
 106: (   4) - Stephenson's Rocketts
 107: (   4) - Yazoo
 108: (   3) - The Smiths
 109: (   3) - New Order
 110: (   3) - Burning Spear
 111: (   3) - Mindy Smith
 112: (   3) - Fleetwood Mac
 113: (   3) - Noah and the Whale
 114: (   3) - Carrie Rodriguez and Ben Kyle
 115: (   3) - Weekend
 116: (   3) - The Sundays
 117: (   3) - The Dust Poets
 118: (   3) - Owen Gray
 119: (   3) - The Pioneers
 120: (   3) - Jimmy Cliff
 121: (   3) - Bob & Marcia
 122: (   3) - Dave Barker
 123: (   3) - Ken Boothe
 124: (   3) - Phillip Samuels
 125: (   3) - Jonathan Richman And The Modern Lovers
 126: (   3) - Tom Waits
 127: (   3) - Scritti Politti
 128: (   3) - Gina Villalobos
 129: (   2) - Inner Circle
 130: (   2) - Maytones
 131: (   2) - Junior Murvin
 132: (   2) - Peter Tosh
 133: (   2) - Jacob Miller
 134: (   2) - Junior Byles
 135: (   2) - Bunny Wailer
 136: (   2) - The Upsetters
 137: (   2) - Kiddus I
 138: (   2) - Beth Nielsen Chapman
 139: (   2) - Sheryl Crow
 140: (   2) - T. Rex
 141: (   2) - Ryan Bingham
 142: (   2) - Waylon Jennings
 143: (   2) - Altered Images
 144: (   2) - Slade
 145: (   2) - Gary Numan
 146: (   2) - Haircut 100
 147: (   2) - The Rolling Stones
 148: (   2) - David Rodigan
 149: (   2) - Alton Ellis
 150: (   2) - Bob Marley & The Wailers
 151: (   2) - Desmond Dekker & The Aces
 152: (   2) - The Melodians
 153: (   2) - John Holt
 154: (   2) - Lloyd Parks
 155: (   2) - Dennis Brown
 156: (   2) - Cornell Campbell
 157: (   2) - Derrick Morgan
 158: (   2) - Horace Andy
 159: (   2) - The Hippy Boys
 160: (   2) - Val Bennett
 161: (   2) - Twinkle Brothers
 162: (   2) - Freddie McKay
 163: (   2) - Earl Lawrence
 164: (   2) - The Chameleons
 165: (   2) - Wham!
 166: (   2) - Nat King Cole
 167: (   2) - Bruce Springsteen
 168: (   2) - The Pretenders
 169: (   2) - Stevie Nicks
 170: (   1) - Third World
 171: (   1) - Justin Hinds & The Dominoes
 172: (   1) - Spandau Ballet
 173: (   1) - Corinne West
 174: (   1) - Ananda Shankar
 175: (   1) - Nina Simone
 176: (   1) - Willie Nelson
 177: (   1) - The Vagaband
 178: (   1) - The Damned
 179: (   1) - Siouxsie and the Banshees
 180: (   1) - Buck Owens
 181: (   1) - The Louvin Brothers
 182: (   1) - Lightnin' Hopkins
 183: (   1) - Colin Farrell & Jeff Bridges
 184: (   1) - Colin Farrell
 185: (   1) - Townes Van Zandt
 186: (   1) - Sam Phillips
 187: (   1) - Robert Duvall
 188: (   1) - Josef K
 189: (   1) - Loudon Wainwright III
 190: (   1) - The Associates
 191: (   1) - The Monkees
 192: (   1) - It's Immaterial
 193: (   1) - The Walker Brothers
