Specified year (2016), specified month (5)
Total Tracks Unique Artists Unique albums Unique Tracks
    1227            79            74           687
  1: ( 74) - Bob Dylan
  2: ( 73) - Orchestral Manoeuvres in the Dark
  3: ( 61) - Emmylou Harris
  4: ( 59) - Lera Lynn
  5: ( 58) - Shelby Lynne
  6: ( 49) - Tift Merritt



  7: ( 45) - Hayes Carll



  8: ( 41) - The Jayhawks





  9: ( 35) - The Beatles

 10: ( 33) - Elvis Costello & the Attractions
 11: ( 33) - The Redlands Palomino Company
 12: ( 32) - Scott Walker

 13: ( 30) - Roxy Music





 14: ( 24) - Birds of Chicago
 15: ( 24) - Edwyn Collins
 16: ( 24) - Eilen Jewell
 17: ( 24) - Sarah MacDougall
 18: ( 23) - Lloyd Cole
 19: ( 22) - Eliza Gilkyson
 20: ( 21) - Hackensaw Boys
 21: ( 20) - Robert Forster
 22: ( 20) - Roddy Frame
 23: ( 20) - U2

 24: ( 18) - Justin Townes Earle
 25: ( 18) - T. Rex
 26: ( 17) - JT Nero

 27: ( 15) - The Beach Boys
 28: ( 14) - Allison Moorer
 29: ( 13) - Chip Taylor & Carrie Rodriguez
 30: ( 12) - Loretta Lynn
 31: ( 11) - Prefab Sprout
 32: ( 11) - Rod Stewart
 33: ( 11) - Rosanne Cash
 34: ( 10) - David Bowie
 35: ( 10) - JT and the Clouds
 36: ( 10) - Jason Isbell and the 400 Unit
 37: ( 10) - The Sundays
 38: (  9) - Freakwater
 39: (  9) - Paul Weller
 40: (  9) - Terry Allen
 41: (  9) - The Cure
 42: (  9) - Tower of Song
 43: (  8) - Kacey Musgraves
 44: (  8) - Karl Blau
 45: (  8) - Lera Lyn
 46: (  8) - Skiffle Players
 47: (  8) - Tracey Thorn
 48: (  7) - Ben Watt
 49: (  7) - Big Thief
 50: (  7) - Dan Michaelson and the Coastguards
 51: (  7) - Daniel Romano
 52: (  7) - Dexys
 53: (  7) - Kel Assouf
 54: (  7) - King Gizzard & the Lizard Wizard
 55: (  7) - Marissa Nadler
 56: (  7) - Ronnie Spector
 57: (  7) - The Style Council
 58: (  6) - Hem
 59: (  6) - The Associates
 60: (  5) - The Smiths
 61: (  4) - Ryley Walker & Charles Rumback
 62: (  4) - The Fall
 63: (  3) - B.E.F.
 64: (  3) - Weekend
 65: (  2) - Corb Lund
 66: (  1) - Beck & Emmylou Harris
 67: (  1) - Chris Hillman & Steve Earle
 68: (  1) - Cowboy Junkies
 69: (  1) - Elvis Costello
 70: (  1) - Evan Dando & Julianna Hatfield
 71: (  1) - Gillian Welch
 72: (  1) - Lucinda Williams & David Crosby
 73: (  1) - Sheryl Crow & Emmylou Harris
 74: (  1) - The Mavericks
 75: (  1) - The Piney Gir Country Roadshow
 76: (  1) - The Pretenders & Emmylou Harris
 77: (  1) - The Rolling Creekdippers
 78: (  1) - Whiskeytown
 79: (  1) - Wilco
