Specified year (2016), specified month (7)
Total Tracks Unique Artists Unique albums Unique Tracks
     891            55            56           537
   1: (  79) - case/lang/veirs
   2: (  53) - Roxy Music
   3: (  49) - Christine and the Queens
   4: (  49) - The Beach Boys




   5: (  44) - Tift Merritt


   6: (  41) - Young Marble Giants
   7: (  40) - Laura Marling






   8: (  33) - Prefab Sprout
   9: (  32) - Shelby Lynne
  10: (  31) - Emmylou Harris






  11: (  24) - Bob Dylan
  12: (  24) - The Redlands Palomino Company
  13: (  23) - Rosanne Cash
  14: (  22) - Small Faces
  15: (  22) - Rodney Crowell
  16: (  21) - Brigid Mae Power
  17: (  20) - Hayes Carll

  18: (  18) - The Pale Fountains
  19: (  18) - The French Impressionists


  20: (  15) - Devine & Statton
  21: (  14) - Eilen Jewell
  22: (  14) - Elvis Costello & The Attractions
  23: (  13) - Allison Moorer
  24: (  12) - Birds of Chicago
  25: (  12) - David Bowie
  26: (  11) - Guy Clark
  27: (  11) - Lloyd Cole
  28: (  11) - Roddy Frame
  29: (  11) - Noah and the Whale
  30: (  10) - The Style Council
  31: (  10) - Walter Salas-Humara
  32: (  10) - Tower of Song
  33: (  10) - Edwyn Collins
  34: (   9) - The Waterboys
  35: (   8) - Altered Images
  36: (   7) - School of Seven Bells
  37: (   7) - Simple Minds
  38: (   6) - Ultravox
  39: (   3) - Bat for Lashes
  40: (   3) - Thee Oh Sees
  41: (   3) - Lou Rhodes
  42: (   3) - Plaid
  43: (   3) - The Julie Ruin
  44: (   3) - Idris Ackamoor & The Pyramids
  45: (   3) - Hannah Georgas
  46: (   3) - Chris Robinson Brotherhood
  47: (   3) - Emma Russack
  48: (   3) - Eggs Over Easy
  49: (   3) - Sarah Jarosz
  50: (   3) - Tchiss lopez
  51: (   3) - Sara Watkins
  52: (   3) - Rhyton
  53: (   3) - D M Smith
  54: (   1) - Lloyd Cole and The Commotions
  55: (   1) - Marvin Gaye
