Specified year (2016), specified month (9)
Total Tracks Unique Artists Unique albums Unique Tracks
     732            51            55           502
   1: (  64) - The Undertones
   2: (  54) - Orchestral Manoeuvres in the Dark
   3: (  51) - Hem
   4: (  41) - Lera Lynn

   5: (  39) - David Bowie



   6: (  35) - Haley Bonar


   7: (  32) - U2



   8: (  28) - ABC




   9: (  23) - Edwyn Collins
  10: (  23) - Rosanne Cash
  11: (  23) - Christine and the Queens
  12: (  23) - Lloyd Cole
  13: (  22) - Shelby Lynne
  14: (  22) - Tift Merritt


  15: (  19) - The Pale Fountains
  16: (  19) - Striking Matches
  17: (  18) - Laura Marling
  18: (  18) - Ryan Adams
  19: (  17) - Emmylou Harris


  20: (  14) - The Beatles
  21: (  13) - The Beach Boys
  22: (  12) - Mindy Smith
  23: (  12) - Simple Minds
  24: (  12) - Freakwater
  25: (  11) - Echo & the Bunnymen
  26: (  11) - Jason Isbell

  27: (   9) - Eliza Gilkyson
  28: (   9) - Talking Heads
  29: (   8) - The Sundays
  30: (   7) - Artery
  31: (   7) - The Redlands Palomino Company
  32: (   2) - Teenage Fanclub
  33: (   2) - Ryley Walker
  34: (   2) - De La Soul
  35: (   2) - Lydia Loveless
  36: (   2) - Wild Beasts
  37: (   2) - Hans Chew
  38: (   2) - Dinosaur Jr.
  39: (   2) - Cass McCombs
  40: (   2) - Factory Floor
  41: (   2) - Scott Hirsch
  42: (   2) - Morgan Delt
  43: (   2) - Judy Henske & Jerry Yester
  44: (   2) - Cool Ghouls
  45: (   2) - Anna Meredith
  46: (   2) - Spizz Energi
  47: (   2) - Cowboy Junkies
  48: (   1) - Lucinda Williams
  49: (   1) - Shania Twain
  50: (   1) - Chip Taylor
  51: (   1) - Chip & Carrie
