Specified year (2016), specified month (12)
Total Tracks Unique Artists Unique albums Unique Tracks
    1530            64            84           690
   1: ( 139) - Lloyd Cole
   2: (  79) - Spandau Ballet
   3: (  72) - Amy LaVere
   4: (  72) - Lizanne Knott
   5: (  65) - Mary Chapin Carpenter
   6: (  61) - Hem
   7: (  59) - The Wailers
   8: (  58) - Simple Minds
   9: (  56) - Roxy Music
  10: (  55) - Dire Straits
  11: (  51) - Margo Price
  12: (  50) - U2
  13: (  45) - Edwyn Collins


  14: (  42) - Tift Merritt




  15: (  37) - The Cure
  16: (  36) - The Jesus and Mary Chain

  17: (  34) - Bob Dylan
  18: (  34) - Altered Images
  19: (  34) - Heaven 17
  20: (  33) - Haircut 100
  21: (  33) - Martin Stephenson

  22: (  31) - Carrie Rodriguez

  23: (  29) - Sarah MacDougall
  24: (  29) - Orange Juice



  25: (  25) - Yazoo
  26: (  24) - Rosanne Cash
  27: (  24) - Laura Marling
  28: (  24) - Christine and the Queens
  29: (  24) - ABC

  30: (  22) - Shelby Lynne






  31: (  15) - The Redlands Palomino Company
  32: (  15) - The Mighty Wah!



  33: (  11) - case/lang/veirs
  34: (  11) - Elizabeth Cook
  35: (  10) - Gillian Welch
  36: (  10) - New Order
  37: (  10) - The Go-Betweens
  38: (  10) - Eilen Jewell
  39: (   7) - Black Marble
  40: (   6) - David Bowie
  41: (   6) - Kacey Musgraves
  42: (   5) - Bob Marley
  43: (   5) - Hayes Carll
  44: (   4) - Jason Isbell
  45: (   4) - JT Nero
  46: (   3) - Leonard Cohen
  47: (   2) - Slade
  48: (   2) - Wham!
  49: (   2) - Cage the Elephant
  50: (   1) - Frankie Goes to Hollywood
  51: (   1) - MUD
  52: (   1) - Dolly Parton
  53: (   1) - The Pogues
  54: (   1) - Stevie Nicks
  55: (   1) - Mike Oldfield
  56: (   1) - Jona Lewie
  57: (   1) - Wizzard
  58: (   1) - Paul McCartney
  59: (   1) - Nat King Cole
  60: (   1) - Frank Sinatra
  61: (   1) - George Strait
  62: (   1) - John Lennon
  63: (   1) - Orchestral Manoeuvres in the Dark
  64: (   1) - Young Marble Giants
