Specified year (2016)
Total Tracks Unique Artists Unique albums Unique Tracks
   12747           334           377          3490
   1: ( 471) - Lloyd Cole
   2: ( 403) - Leonard Cohen
   3: ( 354) - Emmylou Harris
   4: ( 352) - Rosanne Cash
   5: ( 350) - Bob Dylan
   6: ( 322) - Edwyn Collins
   7: ( 297) - U2
   8: ( 297) - Hem
   9: ( 297) - Tift Merritt
  10: ( 295) - David Bowie
  11: ( 290) - Laura Marling
  12: ( 285) - The Redlands Palomino Company
  13: ( 266) - Roxy Music
  14: ( 240) - Hayes Carll
  15: ( 233) - Orchestral Manoeuvres in the Dark
  16: ( 211) - Eilen Jewell
  17: ( 200) - Shelby Lynne
  18: ( 195) - Sarah MacDougall
  19: ( 180) - The Beach Boys
  20: ( 178) - Justin Townes Earle
  21: ( 170) - case/lang/veirs
  22: ( 169) - Christine and the Queens
  23: ( 154) - The Style Council
  24: ( 152) - Simple Minds
  25: ( 150) - The Undertones
  26: ( 145) - Lera Lynn
  27: ( 143) - Jason Isbell
  28: ( 143) - Scott Walker
  29: ( 142) - Birds of Chicago
  30: ( 137) - Allison Moorer
  31: ( 133) - Paul Weller
  32: ( 129) - Freakwater
  33: ( 126) - Heaven 17
  34: ( 125) - Angie Palmer
  35: ( 121) - Roddy Frame
  36: ( 121) - The Beatles
  37: ( 119) - ABC
  38: ( 117) - Echo & the Bunnymen
  39: ( 114) - Gretchen Peters
  40: ( 109) - Eliza Gilkyson
  41: (  97) - Altered Images
  42: (  96) - Rodney Crowell
  43: (  95) - Spandau Ballet
  44: (  92) - Aztec Camera
  45: (  91) - The Wailers
  46: (  90) - Haircut 100
  47: (  88) - Amy LaVere
  48: (  83) - Hackensaw Boys
  49: (  78) - Kacey Musgraves
  50: (  78) - Devine & Statton
  51: (  76) - Elvis Costello & The Attractions
  52: (  75) - Gillian Welch
  53: (  75) - The Jesus and Mary Chain
  54: (  72) - Lizanne Knott
  55: (  67) - The Decemberists
  56: (  65) - Carrie Rodriguez
  57: (  65) - Mary Chapin Carpenter
  58: (  63) - Ryan Adams
  59: (  63) - Nick Heyward
  60: (  60) - Julia Holter
  61: (  60) - The Pale Fountains
  62: (  58) - Margo Price
  63: (  58) - The Cure
  64: (  58) - Martin Stephenson
  65: (  57) - New Order
  66: (  56) - School of Seven Bells
  67: (  55) - Orange Juice
  68: (  55) - The Jayhawks
  69: (  55) - Dire Straits
  70: (  54) - Lloyd Cole and The Commotions
  71: (  52) - Amanda Shires
  72: (  47) - JT and the Clouds

  73: (  45) - JT Nero
  74: (  44) - Young Marble Giants
  75: (  44) - Prefab Sprout


  76: (  41) - Cowboy Junkies
  77: (  41) - Elvis Costello
  78: (  40) - Patty Griffin
  79: (  40) - The Go-Betweens

  80: (  38) - The Sundays

  81: (  36) - The Piney Gir Country Roadshow
  82: (  36) - Corb Lund
  83: (  35) - Haley Bonar
  84: (  34) - Talking Heads
  85: (  33) - Martin Stephenson And The Daintees

  86: (  31) - Striking Matches
  87: (  30) - Walter Salas-Humara
  88: (  29) - Sarah Jarosz

  89: (  27) - Yazoo
  90: (  26) - Suzanne Vega
  91: (  25) - Rod Picott and Amanda Shires
  92: (  25) - T. Rex

  93: (  23) - The Civil Wars
  94: (  23) - It's Immaterial
  95: (  22) - B.E.F.
  96: (  22) - Small Faces
  97: (  22) - Noah and the Whale
  98: (  22) - The Jam
  99: (  21) - Joy Division
 100: (  21) - Brigid Mae Power
 101: (  21) - Sara Watkins
 102: (  21) - Martha Wainwright
 103: (  20) - Robert Forster
 104: (  19) - The Mavericks
 105: (  19) - Tower of Song
 106: (  18) - The Waterboys
 107: (  18) - The French Impressionists
 108: (  18) - Artery
 109: (  18) - Focus
 110: (  17) - The Velvet Underground
 111: (  16) - The Smiths
 112: (  16) - Kristin Hersh
 113: (  15) - The Mighty Wah!
 114: (  14) - Chip Taylor
 115: (  13) - UB40
 116: (  12) - Belle and Sebastian
 117: (  12) - Bitchin Bajas & Bonnie 'Prince' Billy
 118: (  12) - Loretta Lynn
 119: (  12) - Mindy Smith
 120: (  12) - Laura Cantrell
 121: (  11) - Emitt Rhodes
 122: (  11) - Rod Stewart
 123: (  11) - Guy Clark
 124: (  11) - Elizabeth Cook
 125: (  10) - Rokia Traoré
 126: (  10) - Field Music
 127: (  10) - Rachel Harrington
 128: (  10) - Sturgill Simpson
 129: (  10) - Woods
 130: (  10) - Andrew Bird
 131: (  10) - Jason Isbell and The 400 Unit
 132: (  10) - Nick Cave & The Bad Seeds
 133: (  10) - The Police
 134: (  10) - Jan Garbarek
 135: (  10) - Samantha Crain
 136: (   9) - Kevin Morby
 137: (   9) - Bombino
 138: (   9) - Graham Nash
 139: (   9) - Terry Allen
 140: (   9) - Rhyton
 141: (   9) - Natalie Prass
 142: (   8) - Mount Moriah
 143: (   8) - Barry Adamson
 144: (   8) - Weekend
 145: (   8) - Konono Nº1
 146: (   8) - Tracey Thorn
 147: (   8) - Skiffle Players
 148: (   8) - lera lyn
 149: (   8) - Karl Blau
 150: (   7) - Dave Rawlings Machine
 151: (   7) - Steve Mason
 152: (   7) - The Wilde Flowers
 153: (   7) - White Denim
 154: (   7) - Kiran Leonard
 155: (   7) - Dexys
 156: (   7) - Daniel Romano
 157: (   7) - Ben Watt
 158: (   7) - Ronnie Spector
 159: (   7) - Kel Assouf
 160: (   7) - Marissa Nadler
 161: (   7) - Dan Michaelson and The Coastguards
 162: (   7) - King Gizzard & The Lizard Wizard
 163: (   7) - Big Thief
 164: (   7) - Bat for Lashes
 165: (   7) - Thee Oh Sees
 166: (   7) - Lou Rhodes
 167: (   7) - The Julie Ruin
 168: (   7) - Idris Ackamoor & The Pyramids
 169: (   7) - Hannah Georgas
 170: (   7) - Chris Robinson Brotherhood
 171: (   7) - Emma Russack
 172: (   7) - Eggs Over Easy
 173: (   7) - Tchiss lopez
 174: (   7) - D M Smith
 175: (   7) - Black Marble
 176: (   6) - The Rolling Creekdippers
 177: (   6) - Chris Forsyth and the Solar Motel Band
 178: (   6) - Richmond Fontaine
 179: (   6) - Grant -Lee Phillips
 180: (   6) - Heron Oblivion
 181: (   6) - Charles Bradley
 182: (   6) - Meilyr Jones
 183: (   6) - Jeff Cowell
 184: (   6) - Bob Mould
