Specified year (2017), specified month (1)
Total Tracks Unique Artists Unique albums Unique Tracks
    1381            67            72           769
   1: ( 102) - David Bowie
   2: (  84) - Simple Minds
   3: (  80) - The Style Council
   4: (  68) - It's Immaterial
   5: (  66) - Tift Merritt
   6: (  55) - Martin Stephenson
   7: (  54) - Justin Townes Earle
   8: (  43) - Margo Price
   9: (  43) - The Jayhawks
  10: (  36) - Jimi Hendrix
  11: (  34) - Mary Chapin Carpenter
  12: (  33) - Jack Harris
  13: (  32) - Yazoo
  14: (  30) - Colvin & Earle
  15: (  30) - Hackensaw Boys
  16: (  30) - The Undertones
  17: (  30) - Amanda Shires
  18: (  27) - Spandau Ballet
  19: (  27) - Shovels & Rope
  20: (  25) - Angie Palmer
  21: (  24) - Rosanne Cash
  22: (  23) - U2
  23: (  21) - Laura Marling
  24: (  21) - Edwyn Collins
  25: (  20) - Bob Dylan
  26: (  20) - Roxy Music
  27: (  18) - Aztec Camera
  28: (  18) - Lizanne Knott
  29: (  18) - Talking Heads
  30: (  15) - Devine & Statton
  31: (  14) - The Beatles
  32: (  14) - Hayes Carll
  33: (  13) - Jim Lauderdale
  34: (  12) - Myrtle Park's Fishing Club
  35: (  12) - Carrie Rodriguez
  36: (  12) - Freakwater
  37: (  12) - Echo & the Bunnymen
  38: (  11) - Shelby Lynne
  39: (  11) - The Wailers
  40: (  11) - Lera Lynn
  41: (  11) - Ryan Adams
  42: (  10) - The Sundays
  43: (  10) - The Cure
  44: (  10) - Orange Juice
  45: (  10) - The Police
  46: (  10) - Kathleen Edwards
  47: (  10) - Mount Moriah
  48: (   8) - Anne McCue
  49: (   8) - Rodney Crowell
  50: (   7) - The Redlands Palomino Company
  51: (   6) - Heaven 17
  52: (   5) - Altered Images
  53: (   5) - Prefab Sprout
  54: (   4) - ABC
  55: (   4) - Birds of Chicago
  56: (   2) - Tom House
  57: (   2) - Lambchop
  58: (   1) - Kort
  59: (   1) - William Tyler
  60: (   1) - Tiny Ruins
  61: (   1) - Dump
  62: (   1) - Factory Floor
  63: (   1) - Richard Buckner
  64: (   1) - Yolo Tengo
  65: (   1) - Can
  66: (   1) - Nick Cave & The Bad Seeds
  67: (   1) - Rodney Crowell (duet with Emmylou Harris)
