Specified year (2017), specified month (2)
Total Tracks Unique Artists Unique albums Unique Tracks
    1208            57            70           692
   1: (  76) - Yazoo
   2: (  70) - Bob Dylan
   3: (  62) - Devine & Statton
   4: (  59) - Roddy Frame
   5: (  57) - Simple Minds
   6: (  55) - Echo & the Bunnymen
   7: (  55) - Tift Merritt
   8: (  44) - The Wailers

   9: (  42) - Bob Marley & The Wailers

  10: (  40) - David Bowie
  11: (  40) - Cocteau Twins



  12: (  36) - The Jayhawks
  13: (  36) - The Pale Fountains




  14: (  31) - UB40
  15: (  30) - Jack Harris
  16: (  30) - Colvin & Earle


  17: (  27) - Rod Stewart
  18: (  26) - U2

  19: (  24) - Eilen Jewell
  20: (  24) - Emmylou Harris

  21: (  22) - Rodney Crowell

  22: (  20) - Laura Gibson
  23: (  20) - Laura Marling
  24: (  19) - The Undertones

  25: (  17) - The Smiths
  26: (  16) - Martin Stephenson
  27: (  16) - Talking Heads

  28: (  14) - Rosanne Cash
  29: (  13) - The Style Council
  30: (  13) - Mary Chapin Carpenter
  31: (  12) - It's Immaterial
  32: (  11) - Spandau Ballet
  33: (  10) - Jimi Hendrix
  34: (  10) - Kraftwerk
  35: (  10) - Orange Juice
  36: (  10) - Justin Townes Earle
  37: (  10) - The Police
  38: (   9) - Roxy Music
  39: (   8) - Bob Marley
  40: (   7) - Aztec Camera
  41: (   7) - Amanda Shires
  42: (   7) - The Go-Betweens
  43: (   7) - The Cure
  44: (   6) - Shelby Lynne
  45: (   6) - Jim Lauderdale
  46: (   6) - Corb Lund
  47: (   6) - Edwyn Collins
  48: (   6) - Hayes Carll
  49: (   6) - Altered Images
  50: (   4) - Amy LaVere
  51: (   4) - Carrie Rodriguez
  52: (   3) - Hem
  53: (   3) - Kacey Musgraves
  54: (   2) - Lloyd Cole and The Commotions
  55: (   2) - JT Nero
  56: (   1) - Adam Gussow
  57: (   1) - The Jimi Hendrix Experience
