Specified year (2017), specified month (4)
Total Tracks Unique Artists Unique albums Unique Tracks
     771            36            52           458
   1: (  84) - Cowboy Junkies
   2: (  53) - Ray Davies
   3: (  47) - The Smiths



   4: (  43) - London Grammar






   5: (  36) - Heaven 17
   6: (  36) - The Jam

   7: (  34) - Simple Minds
   8: (  33) - T. Rex


   9: (  30) - Jack Harris
  10: (  30) - Corb Lund
  11: (  29) - Hem




  12: (  24) - Margaret Glaspy


  13: (  21) - Anne McCue
  14: (  20) - Tift Merritt
  15: (  20) - Bob Dylan
  16: (  20) - The Police


  17: (  17) - Haircut 100

  18: (  15) - Talking Heads
  19: (  14) - Altered Images

  20: (  12) - Lloyd Cole
  21: (  12) - Mary Chapin Carpenter
  22: (  12) - David Bowie
  23: (  12) - Callaghan
  24: (  12) - Christine and the Queens
  25: (  11) - case/lang/veirs
  26: (  11) - Rodney Crowell
  27: (  11) - U2
  28: (  11) - The Piney Gir Country Roadshow
  29: (  10) - Elastica
  30: (  10) - Roxy Music
  31: (   9) - Amy LaVere
  32: (   8) - Leonard Cohen
  33: (   7) - Yazoo
  34: (   7) - Laura Marling
  35: (   6) - Marc Bolan
  36: (   4) - ABC
