Specified year (2017), specified month (5)
Total Tracks Unique Artists Unique albums Unique Tracks
    1107            92           109           580
 1: (124) - Suzanne Vega
 2: ( 73) - The Style Council
 3: ( 56) - Cowboy Junkies
 4: ( 52) - Simple Minds
 5: ( 48) - Heaven 17
 6: ( 47) - Orchestral Manoeuvres in the Dark



 7: ( 43) - U2
 8: ( 42) - Nick Heyward
 9: ( 41) - Bob Dylan




10: ( 36) - David Bowie

11: ( 34) - Hem


12: ( 31) - Rodney Crowell




13: ( 26) - Various
14: ( 25) - London Grammar


15: ( 22) - Margaret Glaspy
16: ( 22) - The Smiths


17: ( 19) - Laura Marling
18: ( 19) - UB40
19: ( 18) - Talking Heads


20: ( 15) - Altered Images
21: ( 15) - Haircut 100
22: ( 15) - Ray Davies
23: ( 15) - The Big Moon
24: ( 14) - Sweet
25: ( 14) - Tift Merritt

26: ( 12) - Lizanne Knott
27: ( 12) - Scott Walker
28: ( 11) - Blondie
29: ( 11) - The Beatles
30: ( 10) - Roxy Music
31: ( 10) - Tim Buckley
32: (  9) - Paul Weller
33: (  7) - Lloyd Cole and the Commotions
34: (  6) - Sarah MacDougall
35: (  6) - The Rolling Stones
36: (  5) - Cocteau Twins
37: (  5) - Lloyd Cole
38: (  5) - Scott Mckenzie
39: (  5) - Spandau Ballet
40: (  5) - The Jam
41: (  5) - The Redlands Palomino Company
42: (  5) - The Wailers
43: (  4) - 13Th Floor Elevators
44: (  4) - JT and the Clouds
45: (  4) - The Move
46: (  3) - Aretha Franklin
47: (  3) - Buffalo Springfield
48: (  3) - Edwyn Collins
49: (  3) - Jimi Hendrix
50: (  3) - Keith West
51: (  3) - Love
52: (  3) - Procol Harum
53: (  3) - Soft Machine
54: (  3) - The Bonzo Dog Band
55: (  3) - The Charlatans
56: (  3) - The Chocolate Watch Band
57: (  3) - The Kinks
58: (  3) - The Mamas & the Papas
59: (  3) - The Pretty Things
60: (  3) - The Seeds
61: (  3) - The Smoke
62: (  3) - Tomorrow
63: (  2) - Bee Gees
64: (  2) - Bobbie Gentry
65: (  2) - Country Joe & the Fish
66: (  2) - Cream
67: (  2) - Eric Burdon & the Animals
68: (  2) - Jason Isbell
69: (  2) - Moby Grape
70: (  2) - Sly & the Family Stone
71: (  2) - Small Faces
72: (  2) - Sonny & Cher
73: (  2) - The Association
74: (  2) - The Beach Boys
75: (  2) - The Byrds
76: (  2) - The Incredible String Band
77: (  2) - The Jimi Hendrix Experience
78: (  2) - The Monkees
79: (  2) - The Velvet Underground
80: (  2) - The Who
81: (  2) - Traffic
82: (  1) - Big Brother & the Holding Company
83: (  1) - Donovan
84: (  1) - Family
85: (  1) - Jefferson Airplane
86: (  1) - Pink Floyd
87: (  1) - The Chameleons
88: (  1) - The Doors
89: (  1) - The Electric Prunes
90: (  1) - The Moving Sidewalks
91: (  1) - The Youngbloods
92: (  1) - This Mortal Coil
