Specified year (2017), specified month (6)
Total Tracks Unique Artists Unique albums Unique Tracks
     524            57            47           380
  1: ( 41) - Orchestral Manoeuvres in the Dark




  2: ( 36) - Rodney Crowell



  3: ( 32) - The Beatles







  4: ( 24) - Justin Townes Earle
  5: ( 23) - It'S Immaterial
  6: ( 23) - Stevie Parker
  7: ( 22) - Haircut 100

  8: ( 20) - The Style Council
  9: ( 20) - The Undertones
 10: ( 20) - Tift Merritt


 11: ( 17) - Echo & the Bunnymen
 12: ( 17) - The Velvet Underground
 13: ( 16) - Bob Marley & the Wailers
 14: ( 15) - David Bowie
 15: ( 15) - The Big Moon
 16: ( 14) - ABC


 17: ( 11) - Rosanne Cash
 18: ( 11) - The Go-Betweens
 19: ( 10) - Chuck Prophet
 20: ( 10) - Cowboy Junkies
 21: ( 10) - Leonard Cohen
 22: ( 10) - Paul Weller
 23: ( 10) - Simple Minds
 24: ( 10) - Yazoo
 25: (  8) - Spandau Ballet
 26: (  8) - The Decemberists
 27: (  7) - Eliza Gilkyson
 28: (  7) - Mary Chapin Carpenter
 29: (  7) - The Cure
 30: (  5) - Bob Dylan
 31: (  5) - Eyeless in Gaza
 32: (  5) - Heaven 17
 33: (  5) - London Grammar
 34: (  2) - Boss Hog
 35: (  2) - Mark Lanegan
 36: (  2) - Rolling Blackouts Cf
 37: (  2) - Tamikrest
 38: (  2) - The Magpie Salute
 39: (  2) - Thundercat (featuring Michael Mcdonald & Kenny Loggins)
 40: (  1) - Bnqt
 41: (  1) - Corb Lund
 42: (  1) - Country Joe & the Fish
 43: (  1) - Cream
 44: (  1) - Fairport Convention
 45: (  1) - Father John Misty
 46: (  1) - Feral Ohms
 47: (  1) - Fifty Foot Hose
 48: (  1) - Jake Xerxes Fussell
 49: (  1) - Robyn Hitchcock
 50: (  1) - The Jimi Hendrix Experience
 51: (  1) - The Move
 52: (  1) - The Moving Sidewalks
 53: (  1) - The New Pornographers
 54: (  1) - Tomorrow
 55: (  1) - Traffic
 56: (  1) - Wire
 57: (  1) - Yasmin Hamdan
