Specified year (2017), specified month (8)
Total Tracks Unique Artists Unique albums Unique Tracks
     189            46            46           155
  1: ( 36) - Nick Heyward















  2: ( 20) - Jason Isbell and The 400 Unit







  3: ( 12) - Shelby Lynne
  4: ( 11) - Allison Moorer
  5: ( 11) - Scott Walker
  6: ( 11) - The Jam
  7: ( 11) - The Redlands Palomino Company
  8: ( 10) - Alison Moyet
  9: (  8) - David Bowie
 10: (  7) - Bob Marley & The Wailers
 11: (  7) - Justin Townes Earle
 12: (  6) - Jeff Wayne
 13: (  5) - It's Immaterial
 14: (  2) - Rodney Crowell
 15: (  1) - Chip & Carrie
 16: (  1) - Cream
 17: (  1) - Dixie Chicks
 18: (  1) - Donovan
 19: (  1) - Dwight Yoakam
 20: (  1) - Elvis Costello
 21: (  1) - Eric Burdon & The Animals
 22: (  1) - Family
 23: (  1) - Fifty Foot Hose
 24: (  1) - Fleetwood Mac
 25: (  1) - Japan
 26: (  1) - Jefferson Airplane
 27: (  1) - Laura Cantrell
 28: (  1) - Lucinda Williams
 29: (  1) - Men at Work
 30: (  1) - Pink Floyd
 31: (  1) - Scott McKenzie
 32: (  1) - Sly & The Family Stone
 33: (  1) - Small Faces
 34: (  1) - Soft Machine
 35: (  1) - Spandau Ballet
 36: (  1) - T. Rex
 37: (  1) - The Byrds
 38: (  1) - The Chocolate Watch Band
 39: (  1) - The Incredible String Band
 40: (  1) - The Jimi Hendrix Experience
 41: (  1) - The Passions
 42: (  1) - The Pretty Things
 43: (  1) - The Seeds
 44: (  1) - The Twang
 45: (  1) - Tift Merritt
 46: (  1) - Traffic
