Specified year (2017), specified month (10)
Total Tracks Unique Artists Unique albums Unique Tracks
    1057            66            86           575
   1: (  80) - Shelby Lynne
   2: (  78) - Echo & the Bunnymen
   3: (  66) - The Weather Station
   4: (  61) - Jimi Hendrix
   5: (  52) - Orchestral Manoeuvres in the Dark
   6: (  52) - Scott Walker
   7: (  51) - David Bowie
   8: (  51) - Josh Ritter
   9: (  50) - Weekend
  10: (  44) - Lloyd Cole





  11: (  38) - U2





  12: (  32) - Eilen Jewell
  13: (  31) - Robert Plant



  14: (  27) - Jason Isbell and The 400 Unit
  15: (  27) - Stevie Wonder


  16: (  24) - Emmylou Harris

  17: (  22) - Orange Juice


  18: (  19) - Robert Plant & Alison Krauss
  19: (  18) - Cowboy Junkies




  20: (  13) - Altered Images
  21: (  13) - Kate Bush
  22: (  12) - ABC
  23: (  11) - Amy LaVere
  24: (  11) - Yazoo
  25: (  11) - New Order
  26: (  10) - Martin Stephenson
  27: (  10) - Cara Dillon
  28: (   9) - Heaven 17
  29: (   9) - Roxy Music
  30: (   9) - Joy Division
  31: (   9) - Grace Jones
  32: (   8) - Rosanne Cash
  33: (   6) - T. Rex
  34: (   6) - Rod Stewart
  35: (   5) - Nick Heyward
  36: (   4) - John Coltrane
  37: (   4) - Small Faces
  38: (   4) - Sam Samudio
  39: (   3) - X-Ray Spex
  40: (   3) - Dr. Feelgood
  41: (   3) - John Cooper Clarke
  42: (   3) - Christy Moore
  43: (   3) - The Cravats
  44: (   3) - U Roy
  45: (   3) - The Velvet Underground
  46: (   3) - The Waterboys
  47: (   3) - Buzzcocks
  48: (   3) - The Len Price 3
  49: (   3) - Mott the Hoople
  50: (   3) - Ian Dury
  51: (   3) - The Beach Boys
  52: (   3) - Joe Strummer
  53: (   3) - the fallen leaves
  54: (   3) - Spizz Energi
  55: (   2) - The Jam
  56: (   2) - Department S
  57: (   2) - Rick Astley
  58: (   2) - U-Roy
  59: (   2) - Buddy Holly
  60: (   2) - Eagles
  61: (   2) - The Clash
  62: (   2) - Elvis Costello
  63: (   2) - Circu5
  64: (   2) - Joe Strummer and?The Mescaleros
  65: (   1) - Sam The Sham & The Pharaohs
  66: (   1) - Jack Harris
