Specified year (2017), specified month (11)
Total Tracks Unique Artists Unique albums Unique Tracks
    1000            48            63           597
   1: (  71) - The Undertones
   2: (  70) - Prefab Sprout
   3: (  64) - Leonard Cohen
   4: (  56) - The Weather Station
   5: (  51) - Shelby Lynne
   6: (  46) - Orchestral Manoeuvres in the Dark

   7: (  44) - Robert Plant



   8: (  40) - Suzanne Vega
   9: (  39) - Bob Dylan






  10: (  32) - Margo Price



  11: (  28) - Echo & the Bunnymen
  12: (  27) - Lizanne Knott
  13: (  26) - Yazoo
  14: (  26) - LCD Soundsystem


  15: (  23) - Brian Eno
  16: (  22) - Sarah MacDougall


  17: (  19) - Elvis Costello & The Attractions
  18: (  18) - Jack Harris
  19: (  17) - David Bowie
  20: (  17) - Elvis Costello
  21: (  16) - Laura Marling

  22: (  14) - Peter Hammill
  23: (  14) - Elton John
  24: (  13) - Kate Bush
  25: (  13) - JT and the Clouds
  26: (  12) - Laura Cantrell
  27: (  12) - Scott Walker
  28: (  12) - Eilen Jewell
  29: (  12) - Josh Ritter
  30: (  12) - Lloyd Cole
  31: (  12) - Jim Croce
  32: (  11) - Fleetwood Mac
  33: (  11) - Amanda Shires
  34: (  10) - The Redlands Palomino Company
  35: (  10) - It's Immaterial
  36: (   9) - Simple Minds
  37: (   9) - Grace Jones
  38: (   8) - Roddy Frame
  39: (   8) - Hayes Carll
  40: (   7) - Lloyd Cole and The Commotions
  41: (   7) - Rod Stewart
  42: (   5) - Martin Stephenson
  43: (   5) - Rosanne Cash
  44: (   5) - Nick Heyward
  45: (   5) - Heaven 17
  46: (   5) - The Smiths
  47: (   4) - Aztec Camera
  48: (   3) - Spandau Ballet
