Specified year (2017)
Total Tracks Unique Artists Unique albums Unique Tracks
   10466           251           408          3326
   1: ( 363) - David Bowie
   2: ( 342) - Orchestral Manoeuvres in the Dark
   3: ( 327) - Echo & the Bunnymen
   4: ( 320) - Laura Marling
   5: ( 298) - Simple Minds
   6: ( 282) - Cowboy Junkies
   7: ( 248) - Scott Walker
   8: ( 236) - Tift Merritt
   9: ( 236) - Bob Dylan
  10: ( 229) - The Style Council
  11: ( 216) - Lloyd Cole
  12: ( 215) - Yazoo
  13: ( 188) - U2
  14: ( 172) - Shelby Lynne
  15: ( 171) - Nick Heyward
  16: ( 164) - Suzanne Vega
  17: ( 162) - Roxy Music
  18: ( 154) - The Undertones
  19: ( 150) - It's Immaterial
  20: ( 148) - Justin Townes Earle
  21: ( 147) - Rodney Crowell
  22: ( 147) - The Smiths
  23: ( 136) - Heaven 17
  24: ( 134) - Josh Ritter
  25: ( 133) - The Weather Station
  26: ( 127) - Jimi Hendrix
  27: ( 126) - Roddy Frame
  28: ( 122) - Jack Harris
  29: ( 115) - T. Rex
  30: ( 105) - Mary Chapin Carpenter
  31: ( 101) - Rosanne Cash
  32: ( 101) - The Jayhawks
  33: (  96) - Orange Juice
  34: (  95) - Cocteau Twins
  35: (  94) - Talking Heads
  36: (  93) - Prefab Sprout
  37: (  92) - Eilen Jewell
  38: (  91) - Devine & Statton
  39: (  87) - Margo Price
  40: (  87) - Bob Marley & The Wailers
  41: (  86) - Martin Stephenson
  42: (  83) - Leonard Cohen
  43: (  81) - Hem
  44: (  77) - ABC
  45: (  77) - UB40
  46: (  75) - Robert Plant
  47: (  73) - London Grammar
  48: (  72) - Emmylou Harris
  49: (  71) - Colvin & Earle
  50: (  70) - Lizanne Knott
  51: (  68) - Ray Davies
  52: (  66) - Spandau Ballet
  53: (  66) - Birds of Chicago
  54: (  64) - Margaret Glaspy
  55: (  63) - Jason Isbell and The 400 Unit
  56: (  62) - Altered Images
  57: (  61) - The Wailers
  58: (  61) - The Jam
  59: (  58) - Sarah MacDougall
  60: (  57) - The Beatles
  61: (  57) - Amanda Shires
  62: (  57) - Rod Stewart
  63: (  57) - Haircut 100
  64: (  54) - Steely Dan
  65: (  52) - Aztec Camera
  66: (  50) - Weekend
  67: (  50) - Count Basie
  68: (  47) - Blondie
  69: (  45) - Alison Moyet
  70: (  42) - The Redlands Palomino Company
  71: (  42) - New Order
