Specified year (2018), specified month (2)
Total Tracks Unique Artists Unique albums Unique Tracks
    1615            69            99          1091
   1: ( 112) - The Velvet Underground
   2: (  95) - David Bowie
   3: (  82) - Martin Stephenson And The Daintees
   4: (  67) - Elvis Costello
   5: (  64) - Cocteau Twins
   6: (  53) - Orange Juice
   7: (  51) - Cowboy Junkies
   8: (  50) - Elvis Costello & The Attractions
   9: (  48) - Corb Lund
  10: (  46) - Leonard Cohen
  11: (  43) - Lloyd Cole
  12: (  42) - Prefab Sprout
  13: (  41) - Eilen Jewell
  14: (  37) - Patty Griffin
  15: (  35) - Birds of Chicago
  16: (  31) - Bob Dylan
  17: (  30) - Joy Division
  18: (  30) - The Low Anthem
  19: (  29) - The Cure
  20: (  28) - The Civil Wars
  21: (  26) - Loretta Lynn
  22: (  26) - Echo & the Bunnymen
  23: (  24) - Carrie Rodriguez
  24: (  24) - Willie Nelson
  25: (  24) - Roxy Music
  26: (  24) - Amanda Shires
  27: (  24) - Allison Moorer
  28: (  23) - Rachel Harrington
  29: (  22) - Altered Images
  30: (  20) - The Go-Betweens
  31: (  19) - Martin Stephenson
  32: (  19) - Fleetwood Mac
  33: (  19) - Lloyd Cole and The Commotions
  34: (  18) - Angie Palmer
  35: (  18) - Tom Tom Club
  36: (  16) - The Waterboys
  37: (  14) - Brian Eno
  38: (  13) - Artery
  39: (  13) - The Corrs
  40: (  13) - The Wailin' Jennys
  41: (  13) - The Mighty Wah!
  42: (  13) - Dolly Parton
  43: (  13) - Jim Lauderdale
  44: (  12) - Jan Garbarek
  45: (  12) - Devine & Statton
  46: (  12) - Mindy Smith
  47: (  11) - Ian McCulloch
  48: (  11) - Rodney Crowell
  49: (  11) - The Jam
  50: (  11) - Brian Eno & David Byrne
  51: (  11) - Field Music
  52: (  10) - Lou Reed
  53: (  10) - Gillian Welch
  54: (   9) - Tower of Song
  55: (   9) - U2
  56: (   8) - New Order
  57: (   6) - Orchestral Manoeuvres in the Dark
  58: (   5) - Jeff Bridges
  59: (   4) - Alison Moyet
  60: (   2) - Ryan Bingham
  61: (   1) - Buck Owens
  62: (   1) - The Louvin Brothers
  63: (   1) - Lightnin' Hopkins
  64: (   1) - Colin Farrell & Jeff Bridges
  65: (   1) - Colin Farrell
  66: (   1) - Townes Van Zandt
  67: (   1) - Sam Phillips
  68: (   1) - Robert Duvall
  69: (   1) - Aztec Camera
