Specified year (2018), specified month (5)
Total Tracks Unique Artists Unique albums Unique Tracks
    1114           110            84           562
  1: (138) - The Rolling Stones
  2: (102) - Orchestral Manoeuvres in the Dark
  3: ( 72) - Josh Ritter
  4: ( 56) - The Low Anthem
  5: ( 50) - Josh Rouse
  6: ( 44) - Joni Mitchell
  7: ( 40) - Laura Veirs
  8: ( 38) - The B-52's
  9: ( 37) - John Cooper Clarke
 10: ( 33) - Hawkwind
 11: ( 30) - Echo & the Bunnymen
 12: ( 29) - Kraftwerk
 13: ( 25) - Prefab Sprout
 14: ( 23) - Loretta Lynn
 15: ( 22) - Sarah Jarosz
 16: ( 19) - Brigid Mae Power
 17: ( 16) - Roxy Music
 18: ( 14) - The Corrs
 19: ( 13) - Carrie Rodriguez
 20: ( 13) - UB40
 21: ( 12) - Nick Heyward
 22: ( 12) - Small Faces
 23: ( 12) - Stevie Parker
 24: ( 11) - Françoise Hardy
 25: ( 11) - Hatchie
 26: ( 11) - The Go-Betweens
 27: ( 10) - Ian McCulloch
 28: ( 10) - Nico
 29: ( 10) - U2
 30: (  9) - Natalie Prass
 31: (  9) - The Big Moon
 32: (  8) - Leonard Cohen
 33: (  7) - Lloyd Cole and the Commotions
 34: (  6) - David Bowie
 35: (  6) - Hawkwind Zoo
 36: (  6) - The Velvet Underground
 37: (  5) - Mark Knopfler and Emmylou Harris
 38: (  4) - A Place to Bury Strangers
 39: (  4) - Bonny Doon
 40: (  4) - Chris Carter
 41: (  4) - Drinks
 42: (  4) - Josh T. Pearson
 43: (  4) - Kacy & Clayton
 44: (  4) - Mind Over Mirrors
 45: (  4) - Slug
 46: (  4) - Trembling Bells
 47: (  4) - Unknown Mortal Orchestra
 48: (  4) - Wye Oak
 49: (  3) - Anne McCue
 50: (  3) - Dave Brock
 51: (  3) - Equinox
 52: (  3) - Joe Jackson
 53: (  3) - Lea Sirk
 54: (  3) - Rasmussen
 55: (  3) - Robert Plant & Alison Krauss
 56: (  3) - Sennek
 57: (  3) - Surie
 58: (  3) - Yianna Terzi
 59: (  2) - Aisel
 60: (  2) - Alekseev
 61: (  2) - Altered Images
 62: (  2) - Ari Olafsson
 63: (  2) - Aws
 64: (  2) - Cesár Sampson
 65: (  2) - Cláudia Pascoal
 66: (  2) - Cocteau Twins
 67: (  2) - Doredos
 68: (  2) - Eleni Foureira
 69: (  2) - Elina Nechayeva
 70: (  2) - Gromee
 71: (  2) - Jessica Mauboy
 72: (  2) - Laura Rizzotto
 73: (  2) - Sanja Ilić & Balkanika
 74: (  2) - Sevak Khanagyan
 75: (  2) - Vanja Radovanović
 76: (  2) - Waylon
 77: (  2) - Yazoo
 78: (  1) - Amaia Romero & Alfred García
 79: (  1) - Benjamin Ingrosso
 80: (  1) - Cavern of Anti-Matter
 81: (  1) - Christabelle
 82: (  1) - David Byrne
 83: (  1) - Ermal Meta & Fabrizio Moro
 84: (  1) - Ethno - Jazz Band Iriao
 85: (  1) - Eugent Bushpepa
 86: (  1) - Eye Cue
 87: (  1) - Facs
 88: (  1) - Franka
 89: (  1) - Freakwater
 90: (  1) - Graham Coxon
 91: (  1) - Guided By Voices
 92: (  1) - Gwenno
 93: (  1) - Haley Heynderickx
 94: (  1) - Ieva Zasimauskaitė
 95: (  1) - Jessika
 96: (  1) - Joan Baez
 97: (  1) - Jonathan Wilson
 98: (  1) - Lucy Dacus
 99: (  1) - Madame Monsieur
100: (  1) - Michael Schulte
101: (  1) - Mikolas Josef
102: (  1) - Mouse on Mars
103: (  1) - Mélissa Laveaux
104: (  1) - Netta
105: (  1) - Ryan O'shaughnessy
106: (  1) - Saara Aalto
107: (  1) - The Humans
108: (  1) - The Men
109: (  1) - Tracey Thorn
110: (  1) - Zibbz
