Specified year (2018), specified month (6)
Total Tracks Unique Artists Unique albums Unique Tracks
     836            46            59           516
   1: ( 144) - New Order
   2: (  86) - The Cure
   3: (  57) - David Bowie
   4: (  47) - Birds of Chicago
   5: (  32) - Ray Davies
   6: (  31) - Lloyd Cole
   7: (  30) - Josh Rouse
   8: (  30) - Kacy & Clayton
   9: (  30) - Rodney Crowell
  10: (  26) - Laura Marling
  11: (  24) - The Rolling Stones
  12: (  24) - Martha Wainwright
  13: (  24) - Josh Ritter
  14: (  22) - Sarah Jarosz
  15: (  20) - The Fall
  16: (  19) - Fleetwood Mac
  17: (  18) - Roxy Music
  18: (  16) - Brigid Mae Power
  19: (  13) - Altered Images
  20: (  13) - John Cooper Clarke
  21: (  11) - Prefab Sprout
  22: (  11) - Lou Reed
  23: (  10) - Orchestral Manoeuvres in the Dark
  24: (  10) - Joni Mitchell
  25: (  10) - Dave Rawlings Machine
  26: (  10) - JT Nero
  27: (  10) - Cocteau Twins
  28: (   9) - Hawkwind
  29: (   9) - Bob Dylan
  30: (   8) - Echo & the Bunnymen
  31: (   6) - Simple Minds
  32: (   6) - Nick Heyward
  33: (   6) - Leonard Cohen
  34: (   2) - The Low Anthem
  35: (   1) - Christine and the Queens
  36: (   1) - Josh T. Pearson
  37: (   1) - Unknown Mortal Orchestra
  38: (   1) - Laura Veirs
  39: (   1) - Chris Carter
  40: (   1) - Bonny Doon
  41: (   1) - Wye Oak
  42: (   1) - A Place to Bury Strangers
  43: (   1) - Drinks
  44: (   1) - Slug
  45: (   1) - Trembling Bells
  46: (   1) - Mind Over Mirrors
