Specified year (2018), specified month (7)
Total Tracks Unique Artists Unique albums Unique Tracks
     558            64            50           340
  1: ( 56) - The Rolling Stones
  2: ( 44) - Cowboy Junkies









  3: ( 34) - Birds of Chicago


  4: ( 31) - Eliza Gilkyson

  5: ( 29) - The Human League
  6: ( 28) - David Bowie

  7: ( 26) - Rodney Crowell





  8: ( 20) - Lloyd Cole

  9: ( 18) - Bob Dylan
 10: ( 17) - Eilen Jewell
 11: ( 17) - Prefab Sprout
 12: ( 16) - Chip Taylor & Carrie Rodriguez
 13: ( 16) - Laura Gibson
 14: ( 16) - Scott Walker


 15: ( 13) - The Fall

 16: ( 11) - Altered Images
 17: ( 11) - Emmylou Harris
 18: ( 11) - Robert Plant
 19: ( 10) - Haley Bonar
 20: ( 10) - Roddy Frame
 21: (  9) - Jeff Bridges
 22: (  9) - Kate Bush
 23: (  9) - Roxy Music
 24: (  8) - Grace Jones
 25: (  5) - Sarah MacDougall
 26: (  5) - Simple Minds
 27: (  4) - The Cure
 28: (  4) - The Men
 29: (  4) - U2
 30: (  3) - Bradley Brown
 31: (  3) - Chalice
 32: (  3) - Colin Farrell
 33: (  3) - Fourth Street Sisters
 34: (  3) - Judy Mowatt
 35: (  3) - Lehbanchuleh
 36: (  3) - Mankind
 37: (  3) - Mello
 38: (  3) - Ryan Bingham
 39: (  3) - Sugar Black
 40: (  3) - The Abyssinians
 41: (  3) - The Mighty Diamonds
 42: (  2) - Buck Owens
 43: (  2) - Lightnin' Hopkins
 44: (  2) - Lloyd Cole and The Commotions
 45: (  2) - Mary Lattimore
 46: (  2) - Sam Phillips
 47: (  2) - The Louvin Brothers
 48: (  2) - Townes Van Zandt
 49: (  2) - Waylon Jennings
 50: (  1) - Beach House
 51: (  1) - Colin Farrell & Jeff Bridges
 52: (  1) - Courtney Barnett
 53: (  1) - Daniel Blumberg
 54: (  1) - Die Nerven
 55: (  1) - Eleanor Friedberger
 56: (  1) - Jess Williamson
 57: (  1) - Robert Duvall
 58: (  1) - Ryley Walker
 59: (  1) - Shakey Graves
 60: (  1) - Simone Felice
 61: (  1) - The Jam
 62: (  1) - The Sea and Cake
 63: (  1) - Wand
 64: (  1) - Yonatan Gat
