Specified year (2018), specified month (10)
Total Tracks Unique Artists Unique albums Unique Tracks
     951           111           124           506
   1: (  95) - Martin Stephenson
   2: (  74) - Orchestral Manoeuvres in the Dark
   3: (  58) - Wolf Alice
   4: (  50) - Paul Weller
   5: (  48) - The Rolling Stones

   6: (  46) - Echo & the Bunnymen


   7: (  43) - Tracyanne & Danny


   8: (  40) - The Velvet Underground











   9: (  28) - Cocteau Twins

  10: (  26) - Lloyd Cole

  11: (  24) - Christine and the Queens
  12: (  24) - David Bowie
  13: (  24) - Small Faces



  14: (  20) - Elvis Costello

  15: (  18) - Aztec Camera
  16: (  17) - Nick Heyward

  17: (  15) - Hem
  18: (  14) - Jean Toussaint
  19: (  13) - The Style Council
  20: (  13) - Angie Palmer
  21: (  12) - Tift Merritt

  22: (  10) - The Decemberists
  23: (  10) - Madeleine Peyroux
  24: (  10) - Rodney Crowell
  25: (   9) - Dinah Washington
  26: (   9) - Lizz Wright
  27: (   9) - Nina Simone
  28: (   9) - Electric Light Orchestra
  29: (   8) - The B-52's
  30: (   8) - Ella Fitzgerald
  31: (   6) - Orange Juice
  32: (   5) - Sarah Vaughan
  33: (   5) - Esperanza Spalding
  34: (   4) - Melody's Echo Chamber
  35: (   4) - Arthur Prysock
  36: (   4) - Shirley Horn
  37: (   4) - Mary Stallings
  38: (   4) - Diana Krall
  39: (   4) - Mose Allison
  40: (   4) - Lena Horne
  41: (   4) - Johnny Hartman
  42: (   4) - Kamal Keila
  43: (   4) - Rosanne Cash
  44: (   3) - Let's Eat Grandma
  45: (   3) - The Last Poets
  46: (   3) - Michael Rault
  47: (   3) - John Coltrane & Johnny Hartman
  48: (   3) - Kurt Elling
  49: (   3) - Eliza Gilkyson
  50: (   3) - Luluc
  51: (   3) - Nathan Salsburg
  52: (   3) - White Fence
  53: (   3) - Jim James
  54: (   3) - Dirty Projectors
  55: (   3) - RVG
  56: (   3) - The Innocence Mission
  57: (   3) - Ray Davies
  58: (   3) - Gwenifer Raymond
  59: (   2) - Father John Misty
  60: (   2) - Jimmie Dale Gilmore
  61: (   2) - Natalie Prass
  62: (   2) - Bombino
  63: (   2) - Blossom Dearie
  64: (   2) - Harry Connick, Jr.
  65: (   2) - Olivia Chaney
  66: (   2) - Matty
  67: (   2) - Dawes
  68: (   2) - The Pretty Things
  69: (   2) - The Yardbirds
  70: (   2) - The Who
  71: (   2) - Soft Cell
  72: (   1) - Rolling Blackouts Coastal Fever
  73: (   1) - Rodney Crowell (duet with Emmylou Harris)
  74: (   1) - Jack Jones
  75: (   1) - Erin Rae
  76: (   1) - The Wave Pictures
  77: (   1) - Neko Case
  78: (   1) - Virginia Wing
  79: (   1) - Jon Hassell
  80: (   1) - Them
  81: (   1) - Pink Floyd
  82: (   1) - The Easybeats
  83: (   1) - The Kinks
  84: (   1) - UB40
  85: (   1) - ABC
  86: (   1) - Talking Heads
  87: (   1) - Eurythmics
  88: (   1) - Gary Numan
  89: (   1) - Nena
  90: (   1) - a-ha
  91: (   1) - The Smiths
  92: (   1) - Violent Femmes
  93: (   1) - The Clash
  94: (   1) - Joe Jackson
  95: (   1) - Frankie Goes to Hollywood
  96: (   1) - Dead or Alive
  97: (   1) - The Human League
  98: (   1) - The Jam
  99: (   1) - Men at Work
 100: (   1) - The Vapors
 101: (   1) - When In Rome
 102: (   1) - Taco
 103: (   1) - Billy Idol
 104: (   1) - Tears for Fears
 105: (   1) - The Cure
 106: (   1) - R.E.M.
 107: (   1) - Plastic Bertrand
 108: (   1) - Duran Duran
 109: (   1) - INXS
 110: (   1) - Blondie
 111: (   1) - Culture Club
