Specified year (2018), specified month (12)
Total Tracks Unique Artists Unique albums Unique Tracks
     520            33            50           367
   1: (  74) - Kate Bush
   2: (  42) - The Beatles
   3: (  37) - Prefab Sprout
   4: (  31) - Echo & the Bunnymen
   5: (  26) - Edwyn Collins
   6: (  24) - The Style Council
   7: (  24) - David Bowie
   8: (  18) - Rod Stewart
   9: (  16) - Bob Dylan
  10: (  16) - Eyeless in Gaza
  11: (  15) - Nick Cave & The Bad Seeds
  12: (  14) - Lloyd Cole
  13: (  12) - T. Rex
  14: (  12) - Orange Juice
  15: (  12) - Count Basie
  16: (  11) - The Proclaimers
  17: (  11) - Joy Division
  18: (  11) - she drew the gun
  19: (  10) - Lloyd Cole and The Commotions
  20: (  10) - Leonard Cohen
  21: (  10) - Amanda Shires
  22: (  10) - The Velvet Underground
  23: (  10) - Cowboy Junkies
  24: (  10) - Martin Stephenson
  25: (   9) - Sarah MacDougall
  26: (   8) - Aztec Camera
  27: (   8) - Orchestral Manoeuvres in the Dark
  28: (   7) - Dire Straits
  29: (   7) - Hem
  30: (   7) - U2
  31: (   4) - Altered Images
  32: (   3) - Amy LaVere
  33: (   1) - Roddy Frame
