Specified year (2018)
Total Tracks Unique Artists Unique albums Unique Tracks
   11721           458           604          4462
   1: ( 437) - Cocteau Twins
   2: ( 391) - David Bowie
   3: ( 317) - Orchestral Manoeuvres in the Dark
   4: ( 311) - The Rolling Stones
   5: ( 279) - The Velvet Underground
   6: ( 267) - Lloyd Cole
   7: ( 264) - Bob Dylan
   8: ( 260) - Cowboy Junkies
   9: ( 253) - Martin Stephenson
  10: ( 232) - Echo & the Bunnymen
  11: ( 200) - Elvis Costello
  12: ( 177) - New Order
  13: ( 173) - The Cure
  14: ( 165) - Simple Minds
  15: ( 153) - Prefab Sprout
  16: ( 148) - Amanda Shires
  17: ( 148) - Josh Ritter
  18: ( 140) - The Corrs
  19: ( 136) - Birds of Chicago
  20: ( 134) - Roxy Music
  21: ( 134) - The Beatles
  22: ( 125) - The Fall
  23: ( 119) - Joni Mitchell
  24: ( 117) - UB40
  25: ( 116) - Leonard Cohen
  26: ( 112) - The Low Anthem
  27: ( 110) - Elvis Costello & The Attractions
  28: ( 107) - Rodney Crowell
  29: ( 107) - Corb Lund
  30: ( 107) - Martin Stephenson And The Daintees
  31: ( 106) - The Style Council
  32: ( 105) - Sarah MacDougall
  33: ( 105) - Kate Bush
  34: (  99) - Jimi Hendrix
  35: (  94) - Paul Weller
  36: (  91) - Orange Juice
  37: (  90) - Josh Rouse
  38: (  88) - U2
  39: (  88) - Hem
  40: (  88) - Lloyd Cole and The Commotions
  41: (  86) - Tift Merritt
  42: (  84) - Eilen Jewell
  43: (  81) - Nick Heyward
  44: (  77) - The Wailin' Jennys
  45: (  77) - Mark Knopfler And Emmylou Harris
  46: (  73) - The Civil Wars
  47: (  70) - Wolf Alice
  48: (  68) - The Weather Station
  49: (  67) - Roddy Frame
  50: (  61) - St. Vincent
  51: (  61) - Christine and the Queens
  52: (  61) - Joy Division
  53: (  60) - Aztec Camera
  54: (  58) - Joe Jackson
  55: (  56) - First Aid Kit
  56: (  56) - Chip Taylor & Carrie Rodriguez
  57: (  56) - The B-52's
  58: (  56) - Hawkwind
  59: (  55) - Scott Walker
  60: (  54) - Laura Marling
  61: (  54) - Phoebe Bridgers
  62: (  53) - Altered Images
  63: (  52) - Talking Heads
  64: (  52) - Led Zeppelin
  65: (  51) - Carrie Rodriguez
  66: (  51) - John Cooper Clarke
  67: (  49) - Angie Palmer
  68: (  49) - Patty Griffin
  69: (  49) - Fleetwood Mac
  70: (  49) - Loretta Lynn
  71: (  49) - Cara Dillon
  72: (  48) - Wah!
  73: (  48) - Tracyanne & Danny

  74: (  46) - Rachel Harrington
  75: (  46) - Eliza Gilkyson
  76: (  45) - The Human League
  77: (  44) - Noah and the Whale
  78: (  44) - Sarah Jarosz
  79: (  43) - Kacy & Clayton
  80: (  42) - The Mavericks
  81: (  41) - Laura Veirs
  82: (  40) - H.C. McEntire
  83: (  40) - Bobbie Gentry
  84: (  39) - Lyle Lovett

  85: (  37) - The Go-Betweens
  86: (  37) - Electric Light Orchestra
  87: (  36) - The Jam
  88: (  36) - Grace Jones
  89: (  36) - Small Faces
  90: (  36) - Count Basie
  91: (  35) - Brigid Mae Power
  92: (  35) - Ray Davies
  93: (  34) - Jan Garbarek
  94: (  34) - The Waterboys
  95: (  33) - she drew the gun

  96: (  31) - The Mighty Wah!
  97: (  30) - Jeff Bridges
  98: (  30) - Artery
  99: (  30) - Jason Isbell and The 400 Unit
 100: (  29) - Shelby Lynne
 101: (  29) - Brian Eno
 102: (  29) - Kraftwerk
 103: (  29) - JT Nero
 104: (  28) - Tracey Thorn
 105: (  28) - Rosanne Cash
 106: (  28) - The Smiths
 107: (  28) - Robert Plant & Alison Krauss
 108: (  28) - The Undertones
 109: (  27) - Devine & Statton
 110: (  26) - Dolly Parton
 111: (  26) - Jim Lauderdale
 112: (  26) - The Wailers
 113: (  26) - Edwyn Collins
 114: (  25) - Natalie Prass
 115: (  24) - Mindy Smith
 116: (  24) - Butcher Holler
 117: (  24) - Willie Nelson
 118: (  24) - Allison Moorer
 119: (  24) - Martha Wainwright
 120: (  23) - Emmylou Harris
 121: (  22) - Robert Plant
 122: (  22) - Brian Eno & David Byrne
 123: (  22) - Rod Picott
 124: (  21) - Ian McCulloch
 125: (  21) - Lou Reed
 126: (  21) - Stevie Wonder
 127: (  20) - The Redlands Palomino Company
 128: (  19) - Dave Rawlings Machine
