Specified year (2019), specified month (2)
Total Tracks Unique Artists Unique albums Unique Tracks
     709            49            57           464
   1: (  69) - The Beatles
   2: (  53) - The Go-Betweens
   3: (  44) - Lloyd Cole
   4: (  40) - Josh Ritter
   5: (  38) - Eyeless in Gaza
   6: (  38) - David Bowie
   7: (  31) - Scott Walker
   8: (  27) - Talking Heads
   9: (  25) - St. Vincent
  10: (  24) - Anne McCue
  11: (  24) - Kacey Musgraves
  12: (  23) - Kate Bush
  13: (  22) - Rosanne Cash
  14: (  21) - Paul Weller
  15: (  21) - Cara Dillon
  16: (  15) - Elton John
  17: (  13) - The Corrs
  18: (  13) - Yazoo
  19: (  12) - Rod Picott
  20: (  12) - Bob Dylan
  21: (  12) - Prefab Sprout
  22: (  12) - Orchestral Manoeuvres in the Dark
  23: (  11) - Sarah MacDougall
  24: (  11) - Amanda Shires
  25: (  11) - Tift Merritt
  26: (  10) - Robert Forster
  27: (  10) - UB40
  28: (  10) - Stevie Wonder
  29: (   9) - Cocteau Twins
  30: (   7) - Simple Minds
  31: (   7) - Elvis Costello
  32: (   6) - Laura Marling
  33: (   5) - The Velvet Underground
  34: (   4) - Eberhard Weber
  35: (   3) - Leonard Cohen
  36: (   2) - The Waterboys
  37: (   2) - BBC Radio 3
  38: (   1) - Elephant Micah
  39: (   1) - White Denim
  40: (   1) - Cowboy Junkies
  41: (   1) - Odetta Hartman
  42: (   1) - Duke Garwood
  43: (   1) - Forma
  44: (   1) - Menace Beach
  45: (   1) - Tomberlin
  46: (   1) - Papa M
  47: (   1) - Two Circles
  48: (   1) - Spare Snare
  49: (   1) - Daniel Bachman
