Specified year (2019), specified month (3)
Total Tracks Unique Artists Unique albums Unique Tracks
     558            70            77           393
   1: (  48) - Roxy Music
   2: (  47) - Orange Juice














   3: (  32) - Lloyd Cole

   4: (  30) - Josh Ritter





   5: (  24) - David Bowie
   6: (  23) - Prefab Sprout
   7: (  23) - Paul Weller


   8: (  20) - Joni Mitchell
   9: (  20) - Cocteau Twins

  10: (  18) - Andrew Combs
  11: (  18) - Simple Minds
  12: (  17) - Rod Stewart
  13: (  17) - Joy Division
  14: (  16) - Kacey Musgraves
  15: (  16) - Kraftwerk

  16: (  14) - Scott Walker

  17: (  12) - Rosanne Cash
  18: (  12) - Cara Dillon
  19: (  12) - Count Basie
  20: (  12) - The Proclaimers
  21: (  11) - Robert Forster
  22: (  11) - Grace Petrie
  23: (  10) - The Cure
  24: (   9) - JT and the Clouds
  25: (   9) - Leonard Cohen
  26: (   9) - Jimi Hendrix
  27: (   3) - Richard Thompson
  28: (   3) - Beak>
  29: (   3) - Low
  30: (   3) - The Other Years
  31: (   3) - Aztec Camera
  32: (   2) - China Crisis
  33: (   2) - Marissa Nadler
  34: (   2) - The Goon Sax
  35: (   2) - Christine and the Queens
  36: (   2) - Spiritualized
  37: (   2) - Loudon Wainwright III
  38: (   2) - Oliver Coates
  39: (   2) - Swamp Dogg
  40: (   2) - Mudhoney
  41: (   2) - Alejandro Escovedo
  42: (   2) - Eric Bachmann
  43: (   2) - Dawn Landes
  44: (   2) - Daniel Bachman
  45: (   2) - The Kinks
  46: (   1) - Elephant Micah
  47: (   1) - White Denim
  48: (   1) - Cowboy Junkies
  49: (   1) - Odetta Hartman
  50: (   1) - Kathryn Joseph
  51: (   1) - Duke Garwood
  52: (   1) - Forma
  53: (   1) - Menace Beach
  54: (   1) - Tomberlin
  55: (   1) - Papa M
  56: (   1) - Two Circles
  57: (   1) - Amanda Shires
  58: (   1) - Spare Snare
  59: (   1) - The Scaffold
  60: (   1) - The Archies
  61: (   1) - Peter, Paul & Mary
  62: (   1) - Lee Marvin
  63: (   1) - Dana
  64: (   1) - Norman Greenbaum
  65: (   1) - Christie
  66: (   1) - The Jackson 5
  67: (   1) - Mungo Jerry
  68: (   1) - Free
  69: (   1) - Cliff Richard
  70: (   1) - Stevie Wonder
