Specified year (2019), specified month (6)
Total Tracks Unique Artists Unique albums Unique Tracks
     430            28            35           302
   1: (  50) - David Bowie
   2: (  45) - Lloyd Cole














   3: (  30) - Van Morrison

   4: (  28) - Elvis Costello





   5: (  22) - The Cure
   6: (  22) - Bob Dylan
   7: (  22) - Martin Stephenson And The Daintees
   8: (  22) - Eyeless in Gaza


   9: (  19) - Leonard Cohen
  10: (  19) - New Order
  11: (  19) - The Waterboys


  12: (  16) - The Fall




  13: (  11) - Peel.rocks Magazine
  14: (  11) - Martin Stephenson
  15: (  11) - Echo & the Bunnymen
  16: (  11) - The Doors
  17: (  11) - Blondie
  18: (  10) - Scott Walker
  19: (  10) - Rosanne Cash
  20: (   9) - Roxy Music
  21: (   8) - Simple Minds
  22: (   7) - JT Nero
  23: (   5) - David Byrne & St. Vincent
  24: (   4) - Sarah MacDougall
  25: (   4) - The Velvet Underground
  26: (   2) - Nick Cave & The Bad Seeds
  27: (   1) - Mary Lee's Corvette
  28: (   1) - Edwyn Collins
