Specified year (2019), specified month (10)
Total Tracks Unique Artists Unique albums Unique Tracks
     516            61            65           465
  1: ( 34) - Lloyd Cole


  2: ( 31) - Marine Girls

  3: ( 29) - The Fall

  4: ( 27) - Echo & the Bunnymen
  5: ( 26) - Leonard Cohen


  6: ( 23) - The Cure


  7: ( 20) - Orchestral Manoeuvres in the Dark



  8: ( 16) - Cowboy Junkies
  9: ( 16) - David Bowie
 10: ( 15) - B.E.F.
 11: ( 15) - Cocteau Twins

 12: ( 13) - The Style Council
 13: ( 13) - The Wailers
 14: ( 12) - Edwyn Collins
 15: ( 12) - The Velvet Underground
 16: ( 11) - Bob Dylan
 17: ( 10) - Bob Marley & The Wailers
 18: ( 10) - John Foxx
 19: ( 10) - Kacy & Clayton
 20: ( 10) - Lera Lynn
 21: ( 10) - Rod Picott and Amanda Shires
 22: (  9) - Corb Lund
 23: (  9) - Led Zeppelin
 24: (  9) - Modern English
 25: (  9) - Robert Forster
 26: (  8) - Birds of Chicago
 27: (  8) - Patty Griffin
 28: (  7) - Elvis Costello & the Attractions
 29: (  7) - Hawkwind
 30: (  6) - Bauhaus
 31: (  6) - Emmylou Harris
 32: (  5) - Felt
 33: (  5) - Mary Chapin Carpenter
 34: (  4) - Anne McCue
 35: (  4) - Haircut 100
 36: (  3) - Bruce Springsteen
 37: (  3) - Hawkwind Zoo
 38: (  3) - Juliana Hatfield
 39: (  3) - Kaia Kater
 40: (  3) - Lorelle Meets The Obsolete
 41: (  3) - Mark Knopfler
 42: (  3) - Orange Juice
 43: (  3) - Sharon Van Etten
 44: (  3) - Steve Gunn
 45: (  3) - The Dream Syndicate
 46: (  3) - William Tyler
 47: (  2) - Chip Taylor & Carrie Rodriguez
 48: (  2) - Julia Kent
 49: (  2) - Julian Lynch
 50: (  2) - Sarah Louise
 51: (  2) - The Delines
 52: (  2) - Weekend
 53: (  2) - White Fence
 54: (  2) - You Tell me
 55: (  2) - murrough mcbride
 56: (  1) - Christian D. Berg
 57: (  1) - Dollybono
 58: (  1) - Sky News
 59: (  1) - Sotonpressarchive
 60: (  1) - Vibracobra23 Dulosis
 61: (  1) - inshreds66
