Specified year (2019), specified month (11)
Total Tracks Unique Artists Unique albums Unique Tracks
     536            81            64           438
  1: ( 52) - Mark Knopfler
  2: ( 35) - Orchestral Manoeuvres in the Dark
  3: ( 34) - Leonard Cohen









  4: ( 24) - Josef K
  5: ( 23) - Rodney Crowell

  6: ( 21) - Eilen Jewell



  7: ( 17) - U2

  8: ( 15) - T. Rex
  9: ( 14) - Martin Stephenson
 10: ( 14) - Scott Walker
 11: ( 13) - Elton John
 12: ( 13) - The Corrs
 13: ( 12) - Bob Dylan
 14: ( 12) - Shelby Lynne
 15: ( 12) - Tift Merritt
 16: ( 11) - Cowboy Junkies
 17: ( 11) - Jack Harris
 18: ( 11) - The Smiths
 19: ( 11) - The Weather Station
 20: ( 10) - Josh Ritter
 21: ( 10) - Kacy & Clayton
 22: (  9) - Aztec Camera
 23: (  9) - David Bowie
 24: (  9) - Emmylou Harris
 25: (  9) - Robert Forster
 26: (  9) - The Cure
 27: (  8) - Rod Stewart
 28: (  8) - Roxy Music
 29: (  8) - The Jimi Hendrix Experience
 30: (  5) - Cocteau Twins
 31: (  4) - Roddy Frame
 32: (  3) - Bruce Springsteen
 33: (  3) - Julia Kent
 34: (  3) - Julian Lynch
 35: (  3) - Juliana Hatfield
 36: (  3) - Kaia Kater
 37: (  3) - Lorelle Meets The Obsolete
 38: (  3) - Nick Heyward
 39: (  3) - OMD
 40: (  3) - Sharon Van Etten
 41: (  3) - Steve Gunn
 42: (  3) - The Delines
 43: (  3) - The Dream Syndicate
 44: (  3) - White Fence
 45: (  3) - William Tyler
 46: (  3) - You Tell me
 47: (  2) - Fleetwood Mac
 48: (  2) - The Style Council
 49: (  2) - UB40
 50: (  1) - 23rd Turnoff
 51: (  1) - Al Stewart
 52: (  1) - Andy Forray
 53: (  1) - Curiosity Shoppe
 54: (  1) - Doctor Who
 55: (  1) - Earl Scruggs
 56: (  1) - Eliza Gilkyson
 57: (  1) - Garden Odyssey Enterprise
 58: (  1) - Human Instinct
 59: (  1) - ICE
 60: (  1) - Keith Shields
 61: (  1) - Magazine
 62: (  1) - Martha and the Muffins
 63: (  1) - Sarah Louise
 64: (  1) - Sky News
 65: (  1) - THE END
 66: (  1) - The Accent
 67: (  1) - The Attack
 68: (  1) - The Fairytale
 69: (  1) - The Fall
 70: (  1) - The Moody Blues
 71: (  1) - The Plague
 72: (  1) - The Poets
 73: (  1) - The Societie
 74: (  1) - The Syn
 75: (  1) - Timebox
 76: (  1) - Tintern Abbey
 77: (  1) - Turquoise
 78: (  1) - Virgin Sleep
 79: (  1) - Warm Sounds
 80: (  1) - World Of Oz
 81: (  1) - Yazoo
