Specified year (2019), specified month (12)
Total Tracks Unique Artists Unique albums Unique Tracks
     479            63            71           412
   1: (  55) - U2
   2: (  54) - The Velvet Underground
   3: (  40) - Elvis Costello









   4: (  30) - Lloyd Cole and The Commotions




   5: (  25) - Simple Minds


   6: (  22) - The Decemberists

   7: (  20) - Elvis Costello & The Attractions
   8: (  20) - David Bowie
   9: (  19) - Wah!
  10: (  18) - Roxy Music

  11: (  16) - Blondie

  12: (  14) - The Beatles
  13: (  13) - It's Immaterial


  14: (  10) - Kacy & Clayton
  15: (  10) - The Cure
  16: (  10) - Bob Dylan
  17: (   9) - Rod Stewart
  18: (   9) - Hawkwind
  19: (   8) - Nick Heyward
  20: (   6) - Corb Lund
  21: (   5) - Rosanne Cash
  22: (   5) - Leonard Cohen
  23: (   5) - Elton John
  24: (   4) - Joy Division
  25: (   4) - Hayes Carll
  26: (   3) - Hem
  27: (   3) - Echo & the Bunnymen
  28: (   2) - Nat King Cole
  29: (   2) - Wham!
  30: (   2) - John Lennon
  31: (   2) - The Pretenders
  32: (   2) - The Mellstock Band
  33: (   2) - Josh Ritter
  34: (   1) - The Civil Wars
  35: (   1) - Jona Lewie
  36: (   1) - Bruce Springsteen
  37: (   1) - George Strait
  38: (   1) - Dolly Parton
  39: (   1) - Mike Oldfield
  40: (   1) - Greg Lake
  41: (   1) - Dinah Washington
  42: (   1) - Elvis Presley
  43: (   1) - The Church Of Leeds Parish Choir
  44: (   1) - Chris Rea
  45: (   1) - Roddy Frame
  46: (   1) - The Rolling Stones
  47: (   1) - The News 247
  48: (   1) - exclusivevids1000
  49: (   1) - BBC
  50: (   1) - The Late Late Show with James Corden
  51: (   1) - Peter Twiddy
  52: (   1) - Scritti Politti
  53: (   1) - Orchestral Manoeuvres in the Dark
  54: (   1) - Randy Newman
  55: (   1) - Diana Krall
  56: (   1) - Martha and the Muffins
  57: (   1) - Emmylou Harris
  58: (   1) - The Temper Trap
  59: (   1) - Foster the People
  60: (   1) - CBC MUSIC
  61: (   1) - Dusty Springfield
  62: (   1) - Kate Bush
  63: (   1) - Doves
