Specified year (2019)
Total Tracks Unique Artists Unique albums Unique Tracks
    5978           302           410          2970
   1: ( 281) - David Bowie
   2: ( 222) - Lloyd Cole
   3: ( 161) - Roxy Music
   4: ( 161) - Josh Ritter
   5: ( 147) - The Cure
   6: ( 133) - Bob Dylan
   7: ( 127) - Martin Stephenson And The Daintees
   8: ( 115) - New Order
   9: ( 112) - Talking Heads
  10: ( 112) - Leonard Cohen
  11: ( 109) - The Beatles
  12: ( 103) - The Style Council
  13: ( 101) - U2
  14: (  96) - Scott Walker
  15: (  94) - Rod Stewart
  16: (  89) - Rosanne Cash
  17: (  89) - Orchestral Manoeuvres in the Dark
  18: (  89) - Elvis Costello
  19: (  87) - The Velvet Underground
  20: (  85) - Robert Forster
  21: (  83) - The Go-Betweens
  22: (  81) - Simple Minds
  23: (  79) - Paul Weller
  24: (  75) - Van Morrison
  25: (  74) - Echo & the Bunnymen
  26: (  71) - Eyeless in Gaza
  27: (  69) - Elvis Costello & The Attractions
  28: (  63) - Orange Juice
  29: (  63) - Kate Bush
  30: (  61) - Father John Misty
  31: (  61) - Jim Lauderdale
  32: (  60) - Hayes Carll
  33: (  59) - Cocteau Twins
  34: (  58) - The Waterboys
  35: (  57) - Eilen Jewell
  36: (  55) - Mark Knopfler
  37: (  50) - Prefab Sprout
  38: (  48) - Martin Stephenson

  39: (  46) - Lera Lynn
  40: (  46) - The Fall
  41: (  45) - Cowboy Junkies
  42: (  44) - It's Immaterial
  43: (  43) - The Comsat Angels
  44: (  43) - Alison Moyet
  45: (  42) - Shelby Lynne
  46: (  42) - The Doors

  47: (  40) - Kacey Musgraves


  48: (  37) - Aztec Camera
  49: (  37) - Tom Tom Club
  50: (  36) - Stevie Parker

  51: (  34) - Elton John
  52: (  33) - Sarah MacDougall
  53: (  33) - Cara Dillon
  54: (  32) - Anne McCue
  55: (  31) - Marine Girls
  56: (  30) - Kacy & Clayton
  57: (  30) - Lloyd Cole and The Commotions

  58: (  28) - Amanda Shires
  59: (  28) - Emmylou Harris
  60: (  28) - T. Rex
  61: (  28) - The Clash
  62: (  27) - Rodney Crowell
  63: (  27) - Blondie
  64: (  26) - The Corrs
  65: (  25) - St. Vincent
  66: (  24) - Fleetwood Mac
  67: (  24) - The Daintees
  68: (  24) - Josef K
  69: (  23) - Nick Cave & The Bad Seeds
  70: (  23) - Yazoo
  71: (  23) - Tift Merritt
  72: (  23) - Edwyn Collins
  73: (  22) - Rod Picott
  74: (  22) - The Decemberists
  75: (  21) - Joy Division
  76: (  21) - Kraftwerk
  77: (  21) - Ian McCulloch
  78: (  20) - Birds of Chicago
  79: (  20) - Joni Mitchell
  80: (  20) - The Undertones
  81: (  20) - Bauhaus
  82: (  19) - The Redlands Palomino Company
  83: (  19) - Julia Holter
  84: (  19) - Wah!
  85: (  18) - Andrew Combs
