Specified year (2020), specified month (4)
Total Tracks Unique Artists Unique albums Unique Tracks
    1362            60            51           428
   1: ( 110) - Cocteau Twins
   2: ( 102) - Lloyd Cole
   3: (  94) - Nick Heyward
   4: (  86) - The Beatles
   5: (  58) - Bryan Ferry
   6: (  58) - Japan
   7: (  58) - The Cure
   8: (  52) - Orange Juice
   9: (  48) - Shovels & Rope





  10: (  42) - Yazoo





  11: (  36) - Haircut 100
  12: (  36) - JT and the Clouds



  13: (  32) - New Order
  14: (  32) - Julia Holter

  15: (  30) - Modern English

  16: (  28) - Rodney Crowell
  17: (  28) - Rod Stewart
  18: (  28) - Corb Lund

  19: (  26) - Sweet

  20: (  24) - Bill Frisell
  21: (  24) - Felt

  22: (  22) - David Bowie

  23: (  20) - Angie Palmer
  24: (  20) - Walter Salas-Humara
  25: (  20) - Elton John

  26: (  18) - Simon & Garfunkel
  27: (  18) - Josef K



  28: (  14) - Nick Cave & The Bad Seeds

  29: (  12) - The Redlands Palomino Company
  30: (  12) - Dave Grusin
  31: (  12) - Laura Gibson

  32: (  10) - Kacy & Clayton
  33: (   8) - Elvis Costello & The Attractions
  34: (   8) - T. Rex
  35: (   8) - Bob Dylan
  36: (   8) - Orchestral Manoeuvres in the Dark
  37: (   6) - The House of Love
  38: (   6) - Ian McCulloch
  39: (   6) - Pixies
  40: (   6) - That Petrol Emotion
  41: (   6) - The Lilac Time
  42: (   6) - Geoffrey Oryema
  43: (   6) - James
  44: (   6) - Jean-Louis Murat
  45: (   6) - David McComb & Adam Peters
  46: (   6) - R.E.M.
  47: (   6) - Robert Foster
  48: (   6) - Peter Astor
  49: (   6) - Dead Famous People
  50: (   6) - Bill Pritchard
  51: (   6) - The Fatima Mansions
  52: (   6) - John Cale
  53: (   6) - U2
  54: (   6) - Kacey Musgraves
  55: (   2) - Eddie Vedder
  56: (   2) - Sonic Youth
  57: (   2) - Calexico
  58: (   2) - Richie Havens
  59: (   2) - Cat Power
  60: (   2) - John Doe
