Specified year (2020), specified month (5)
Total Tracks Unique Artists Unique albums Unique Tracks
    1600            97            86           718
   1: ( 128) - David Bowie
   2: (  88) - Lloyd Cole
   3: (  78) - Tift Merritt
   4: (  66) - Bryan Ferry
   5: (  64) - T. Rex
   6: (  56) - Prefab Sprout
   7: (  54) - Corb Lund
   8: (  46) - Yazoo



   9: (  42) - Hawkwind
  10: (  42) - New Order

  11: (  40) - Bob Dylan

  12: (  38) - Weekend







  13: (  30) - Kacy & Clayton
  14: (  30) - The Velvet Underground
  15: (  30) - Alison Moyet
  16: (  30) - Young Marble Giants

  17: (  28) - The Beatles

  18: (  26) - The Style Council
  19: (  26) - The Fall
  20: (  26) - The Wailin' Jennys

  21: (  24) - Laura Marling
  22: (  24) - Mindy Smith

  23: (  22) - The Weather Station
  24: (  22) - LCD Soundsystem
  25: (  22) - Elvis Costello
  26: (  22) - Sarah MacDougall
  27: (  22) - Rodney Crowell
  28: (  22) - Roddy Frame
  29: (  22) - Emmylou Harris

  30: (  20) - Orange Juice
  31: (  20) - Joni Mitchell
  32: (  20) - Laura Gibson
  33: (  20) - Haley Bonar
  34: (  20) - The Decemberists
  35: (  20) - Paul Weller



  36: (  16) - Suzanne Vega
  37: (  16) - Rachel Harrington
  38: (  16) - Simon & Garfunkel
  39: (  16) - Bobbie Gentry

  40: (  14) - Cocteau Twins
  41: (  14) - JT Nero
  42: (  14) - Kacey Musgraves

  43: (  12) - Natalie Prass
  44: (  12) - School of Seven Bells
  45: (  12) - Dave Rawlings Machine
  46: (  12) - Dave Grusin
  47: (  12) - Birds of Chicago
  48: (  12) - The Comsat Angels

  49: (  10) - The Big Moon
  50: (  10) - H.C. McEntire
  51: (   8) - The Cure
  52: (   8) - Felt
  53: (   6) - Nick Cave & The Bad Seeds
  54: (   4) - Reggae Rockers
  55: (   2) - Cowboy Junkies
  56: (   2) - Rokia Traore
  57: (   2) - Cavern of Anti-Matter
  58: (   2) - Emitt Rhodes
  59: (   2) - Field Music
  60: (   2) - Prins Thomas
  61: (   2) - Mount Moriah
  62: (   2) - Matmos
  63: (   2) - Freakwater
  64: (   2) - Rangda
  65: (   2) - Josephine Foster
  66: (   2) - Steve Mason
  67: (   2) - The Wilde Flowers
  68: (   2) - Barry Adamson
  69: (   2) - This Heat
  70: (   2) - Eleanor Friedberger
  71: (   2) - The Besnard Lakes
  72: (   2) - Lucinda Williams & David Crosby
  73: (   2) - The Pretenders & Emmylou Harris
  74: (   2) - Chris Hillman & Steve Earle
  75: (   2) - The Mighty Diamonds
  76: (   2) - The Abyssinians
  77: (   2) - Chalice
  78: (   2) - Mankind
  79: (   2) - Sugar Black
  80: (   2) - Lehbanchleh
  81: (   2) - Judy Mowatt
  82: (   2) - Mello
  83: (   2) - Fourth Street Sisters
  84: (   2) - Bradley Brown
  85: (   2) - John Moreland
  86: (   2) - Baxter Dury
  87: (   2) - Nadia Reid
  88: (   2) - Arbouretum
  89: (   2) - Juniore
  90: (   2) - Hilary Woods
  91: (   2) - Honey Harper
  92: (   2) - Cornershop
  93: (   2) - Swamp Dogg
  94: (   2) - Tamikrest
  95: (   2) - L.A. Takedown
  96: (   2) - U.S. Girls
  97: (   2) - Real Estate
