Specified year (2020), specified month (7)
Total Tracks Unique Artists Unique albums Unique Tracks
    1286            68            72           432
  1: ( 98) - Paul Weller
  2: ( 80) - Sweet
  3: ( 72) - Eliza Gilkyson
  4: ( 68) - Bauhaus
  5: ( 68) - Brigid Mae Power
  6: ( 58) - HAIM
  7: ( 54) - Eberard Weber
  8: ( 46) - Lloyd Cole







  9: ( 38) - Bob Dylan
 10: ( 38) - Cocteau Twins
 11: ( 38) - Jean Toussaint
 12: ( 38) - Pretenders

 13: ( 36) - Leonard Cohen
 14: ( 36) - T. Rex

 15: ( 34) - David Bowie
 16: ( 34) - Laura Veirs

 17: ( 32) - Blondie

 18: ( 30) - Orchestral Manoeuvres in the Dark

 19: ( 28) - Corb Lund

 20: ( 26) - Josef K

 21: ( 24) - Carrie Rodriguez
 22: ( 24) - Patty Griffin

 23: ( 22) - She Drew the Gun

 24: ( 20) - Elton John

 25: ( 18) - H.C. McEntire

 26: ( 16) - Felt

 27: ( 14) - Department S
 28: ( 14) - The Jam

 29: ( 12) - Furniture
 30: ( 12) - Lera Lynn
 31: ( 12) - Nick Cave & The Bad Seeds
 32: ( 12) - The Velvet Underground



 33: (  8) - Altered Images
 34: (  8) - Eilen Jewell
 35: (  8) - Green Gartside
 36: (  8) - The Big Moon
 37: (  8) - Weekend
 38: (  6) - ABC
 39: (  6) - Marc Bolan
 40: (  6) - Rod Stewart
 41: (  6) - Rufus Wainwright
 42: (  6) - The Beatles
 43: (  6) - The Cure
 44: (  6) - The Sundays
 45: (  4) - Simon & Garfunkel
 46: (  4) - Tracey Thorn
 47: (  2) - Brigid Dawson and The Mothers Network
 48: (  2) - Cass McCombs
 49: (  2) - Chapter 4
 50: (  2) - Dave Grusin
 51: (  2) - De La Soul
 52: (  2) - Dinosaur Jr.
 53: (  2) - Fat White Family
 54: (  2) - Hans Chew
 55: (  2) - John Cale
 56: (  2) - Lettuce
 57: (  2) - Lydia Loveless
 58: (  2) - Margo Price
 59: (  2) - Mark Lanegan
 60: (  2) - Prefab Sprout
 61: (  2) - Ryley Walker
 62: (  2) - Steve Earle
 63: (  2) - Talking Heads
 64: (  2) - Teenage Fanclub
 65: (  2) - The Dream Syndicate
 66: (  2) - Wild Beasts
 67: (  2) - William Tyler
 68: (  2) - Woods
