Specified year (2020), specified month (10)
Total Tracks Unique Artists Unique albums Unique Tracks
     710            51            59           244
   1: ( 102) - The Jayhawks
   2: (  66) - Orange Juice
   3: (  54) - Emma Swift
   4: (  46) - The Chicks





   5: (  40) - Laura Marling







   6: (  32) - Sara Watkins



   7: (  28) - Prefab Sprout
   8: (  28) - The Waterboys



   9: (  24) - Martin Stephenson
  10: (  24) - Bob Dylan
  11: (  24) - Aztec Camera
  12: (  24) - Lloyd Cole

  13: (  22) - JARV IS...

  14: (  20) - Josh Ritter
  15: (  20) - Martin Stephenson And The Daintees

  16: (  18) - David Bowie

  17: (  16) - Furniture

  18: (  14) - Paul Weller
  19: (  14) - Lloyd Cole and The Commotions



  20: (  10) - Bat for Lashes
  21: (  10) - Pretenders
  22: (   6) - Don Letts and Turtle Bay present Reggae 45
  23: (   6) - JARV IS... & Jarvis Cocker
  24: (   4) - Talking Heads
  25: (   4) - Electric Light Orchestra
  26: (   4) - Edwyn Collins
  27: (   2) - Angie Palmer
  28: (   2) - Elton John
  29: (   2) - Jackson Browne
  30: (   2) - The J. Geils Band
  31: (   2) - Billy Joel
  32: (   2) - Sex Pistols
  33: (   2) - Deep Purple
  34: (   2) - Status Quo
  35: (   2) - Karl Schaffner
  36: (   2) - Betty Davis
  37: (   2) - Roky Erickson
  38: (   2) - Definitely Dylan
  39: (   2) - Elvis Costello & The Attractions
  40: (   2) - The Style Council
  41: (   2) - Eilen Jewell
  42: (   2) - Greg Mason
  43: (   2) - Shin Joong Hyun & The Men
  44: (   2) - Gigi Masin
  45: (   2) - Acetone
  46: (   2) - Jim Sullivan
  47: (   2) - Donnie & Joe Emerson
  48: (   2) - Karin Krog
  49: (   2) - Supreme Jubilees
  50: (   2) - Lee Hazlewood
  51: (   2) - Young Marble Giants
