Specified year (2020), specified month (11)
Total Tracks Unique Artists Unique albums Unique Tracks
     426            31            20           167
   1: (  56) - The Waterboys
   2: (  44) - Elvis Costello
   3: (  40) - Elvis Costello & The Attractions
   4: (  36) - Furniture
   5: (  32) - The Velvet Underground
   6: (  30) - Corb Lund
   7: (  28) - JARV IS... & Jarvis Cocker
   8: (  28) - Bob Dylan
   9: (  26) - The Corrs
  10: (  26) - The Chicks
  11: (  20) - Emma Swift
  12: (  12) - Orange Juice
  13: (   6) - David Bowie
  14: (   6) - Laura Marling
  15: (   4) - Human Instinct
  16: (   2) - Warm Sounds
  17: (   2) - The Accent
  18: (   2) - Andy Forray
  19: (   2) - Garden Odyssey Enterprise
  20: (   2) - Hüsker Dü
  21: (   2) - AC/DC
  22: (   2) - Sweet
  23: (   2) - The Attack
  24: (   2) - Tintern Abbey
  25: (   2) - The Moody Blues
  26: (   2) - Aswad
  27: (   2) - World Of Oz
  28: (   2) - Virgin Sleep
  29: (   2) - Turquoise
  30: (   2) - ICE
  31: (   2) - The Fairytale
