Specified year (2020)
Total Tracks Unique Artists Unique albums Unique Tracks
   13114           426           494          3418
   1: ( 500) - David Bowie
   2: ( 428) - T. Rex
   3: ( 428) - Lloyd Cole
   4: ( 412) - Bob Dylan
   5: ( 368) - Cocteau Twins
   6: ( 278) - Orange Juice
   7: ( 244) - Corb Lund
   8: ( 240) - New Order
   9: ( 232) - The Beatles
  10: ( 220) - Prefab Sprout
  11: ( 214) - Elvis Costello & The Attractions
  12: ( 192) - Nick Heyward
  13: ( 190) - Orchestral Manoeuvres in the Dark
  14: ( 186) - Sweet
  15: ( 184) - Paul Weller
  16: ( 176) - Bryan Ferry
  17: ( 148) - Eliza Gilkyson
  18: ( 148) - Elvis Costello
  19: ( 146) - The Waterboys
  20: ( 144) - Echo & the Bunnymen
  21: ( 142) - ABC
  22: ( 138) - Rodney Crowell
  23: ( 138) - Laura Marling
  24: ( 130) - U2
  25: ( 126) - The Cure
  26: ( 124) - Simon & Garfunkel
  27: ( 116) - Rod Stewart
  28: ( 110) - The Velvet Underground
  29: ( 110) - Tift Merritt
  30: ( 106) - Leonard Cohen
  31: ( 106) - Emma Swift
  32: ( 104) - Simple Minds
  33: ( 104) - The Chicks
  34: ( 102) - Furniture
  35: ( 102) - Pretenders
  36: ( 102) - Chatham County Line
  37: ( 102) - Edwyn Collins
  38: ( 102) - The Jayhawks
  39: ( 100) - Bat for Lashes
  40: (  98) - Dave Grusin
  41: (  98) - Brigid Mae Power
  42: (  98) - HAIM
  43: (  94) - Elton John
  44: (  92) - Yazoo
  45: (  90) - The Decemberists
  46: (  90) - The Fall
  47: (  86) - Paul McCartney
  48: (  84) - Japan
  49: (  84) - Gretchen Peters
  50: (  82) - Haircut 100
  51: (  82) - Patty Griffin
  52: (  80) - Modern English
  53: (  80) - Piney Gir
  54: (  78) - Emmylou Harris
  55: (  78) - The Rolling Stones
  56: (  76) - Josef K
  57: (  76) - Billy Bragg
  58: (  74) - Felt
  59: (  74) - Department S
  60: (  74) - JARV IS...
  61: (  72) - The Proclaimers
  62: (  72) - Gary Lucas
  63: (  70) - Eberhard Weber
  64: (  70) - Sara Watkins
  65: (  68) - Jean Toussaint
  66: (  68) - Bauhaus
  67: (  66) - Josh Ritter
  68: (  62) - Marine Girls
  69: (  62) - Julia Holter
  70: (  62) - Focus
  71: (  60) - Hawkwind
  72: (  60) - Eilen Jewell
  73: (  56) - Loma
  74: (  54) - Kate Bush
  75: (  54) - Talking Heads
  76: (  54) - Kacy & Clayton
  77: (  54) - Martin Stephenson And The Daintees
  78: (  52) - The Redlands Palomino Company
  79: (  52) - Aztec Camera
  80: (  52) - Martin Stephenson
  81: (  50) - The Daintees
  82: (  48) - Carrie Rodriguez
  83: (  48) - Shovels & Rope

  84: (  46) - Weekend



  85: (  42) - Nick Cave & The Bad Seeds
  86: (  42) - Birds of Chicago
  87: (  42) - Eyeless in Gaza
  88: (  42) - Rachel Harrington

  89: (  40) - Marc Bolan

  90: (  38) - Mindy Smith
  91: (  38) - H.C. McEntire
  92: (  38) - The Mighty Wah!

  93: (  36) - Tower of Song
  94: (  36) - JT and the Clouds

  95: (  34) - Electric Light Orchestra
  96: (  34) - The Human League
  97: (  34) - Laura Veirs
  98: (  34) - JARV IS... & Jarvis Cocker

  99: (  32) - Laura Gibson
 100: (  32) - Young Marble Giants
 101: (  32) - Blondie

 102: (  30) - Hem
 103: (  30) - Alison Moyet
 104: (  30) - Rod Picott

 105: (  28) - Devine & Statton
 106: (  28) - The Style Council
 107: (  28) - The Clash
