Specified year (2021), specified month (1)
Total Tracks Unique Artists Unique albums Unique Tracks
     394            36            45           269
  1: ( 48) - Lissie








  2: ( 39) - Catatonia















  3: ( 23) - Piney Gir
  4: ( 23) - The Rolling Stones
  5: ( 22) - Echo & the Bunnymen
  6: ( 22) - Suzanne Vega
  7: ( 22) - U2
  8: ( 21) - Elvis Costello & the Attractions

  9: ( 19) - Fleet Foxes

 10: ( 17) - David Bowie
 11: ( 17) - Simple Minds


 12: ( 14) - Elvis Costello
 13: ( 13) - Emma Swift


 14: ( 10) - Bonnie Whitmore
 15: ( 10) - Paul McCartney
 16: (  9) - Orange Juice
 17: (  8) - Buffy Sainte-marie
 18: (  7) - The Jam
 19: (  6) - Orchestral Manoeuvres in the Dark
 20: (  5) - Paul Weller
 21: (  5) - The Velvet Underground
 22: (  4) - Aztec Camera
 23: (  4) - The Civil Wars
 24: (  4) - The Waterboys
 25: (  3) - Angie Palmer
 26: (  3) - Emmylou Harris
 27: (  3) - Laura Marling
 28: (  2) - Bob Dylan
 29: (  2) - Fleetwood Mac
 30: (  2) - Jimi Hendrix
 31: (  2) - The Piney Gir Country Roadshow
 32: (  1) - B.A. Robertson
 33: (  1) - Edwyn Collins
 34: (  1) - The Fall
 35: (  1) - The Style Council
 36: (  1) - Thepnutno2
