Specified year (2021), specified month (3)
Total Tracks Unique Artists Unique albums Unique Tracks
     211            34            23           154
   1: (  39) - The Smiths














   2: (  24) - The Rolling Stones




   3: (  19) - The Cure



   4: (  15) - Fleet Foxes
   5: (  15) - First Aid Kit

   6: (  13) - First Aid Kit, Nina Zanjani & Maia Hansson-Bergqvist

   7: (  11) - David Bowie
   8: (  10) - Doves
   9: (   9) - The Style Council
  10: (   7) - The Beatles
  11: (   6) - Lissie
  12: (   5) - Tift Merritt
  13: (   4) - Leonard Cohen
  14: (   3) - Bob Dylan
  15: (   3) - Gang of Four
  16: (   3) - First Aid Kit & Jesper Lindell
  17: (   2) - Siouxsie and the Banshees
  18: (   2) - Simple Minds
  19: (   2) - First Aid Kit & Frida Hyvönen
  20: (   2) - First Aid Kit & Loney Dear
  21: (   2) - First Aid Kit, Maia Hansson-Bergqvist & Nina Zanjani
  22: (   2) - First Aid Kit, Maja Francis & Nina Zanjani
  23: (   2) - First Aid Kit, Frida Hyvönen, Loney dear, Jesper Lindell, Annika Norlin, Maja Francis, Nina Zanjani and Maia Hansson-Bergqvist
  24: (   1) - Tintern Abbey
  25: (   1) - The End
  26: (   1) - The Accent
  27: (   1) - Curiosity Shoppe
  28: (   1) - The Syn
  29: (   1) - The Poets
  30: (   1) - The Attack
  31: (   1) - The Fairytale
  32: (   1) - Nacho Video
  33: (   1) - First Aid Kit & Annika Norlin
  34: (   1) - First Aid Kit, Annika Norlin
