Specified year (2021), specified month (4)
Total Tracks Unique Artists Unique albums Unique Tracks
     244            37            37           149
   1: (  29) - Doves

   2: (  27) - U2
   3: (  27) - Martin Stephenson
   4: (  26) - Bonnie Whitmore


   5: (  23) - Chip Taylor & Carrie Rodriguez











   6: (  11) - The Beatles
   7: (  10) - Siouxsie and the Banshees
   8: (  10) - Fleet Foxes
   9: (  10) - Eliza Gilkyson
  10: (   8) - The Weather Station
  11: (   7) - The Rolling Stones
  12: (   7) - Buffy Sainte-Marie
  13: (   6) - Paul Weller
  14: (   3) - New Order
  15: (   3) - T. Rex
  16: (   2) - Dry Cleaning
  17: (   2) - Angie Palmer
  18: (   2) - World Party
  19: (   2) - They Might Be Giants
  20: (   2) - The Church
  21: (   2) - The Go-Betweens
  22: (   2) - Cocteau Twins
  23: (   2) - Miracle Legion
  24: (   2) - Talking Heads
  25: (   2) - R.E.M.
  26: (   2) - The Housemartins
  27: (   2) - The Wedding Present
  28: (   2) - Prefab Sprout
  29: (   2) - The Feelies
  30: (   2) - The Weather Prophets
  31: (   1) - First Aid Kit & Jesper Lindell
  32: (   1) - First Aid Kit & Annika Norlin
  33: (   1) - Gang of Four
  34: (   1) - Slow Hands
  35: (   1) - Hüsker Dü
  36: (   1) - The Triffids
  37: (   1) - The Replacements
