Specified year (2021)
Total Tracks Unique Artists Unique albums Unique Tracks
    2697           180           282          1420
  1: (126) - Echo & the Bunnymen
  2: (108) - New Order
  3: (107) - The Rolling Stones
  4: ( 88) - Altered Images
  5: ( 74) - David Bowie
  6: ( 74) - U2
  7: ( 73) - Everything But the Girl
  8: ( 70) - Paul Weller
  9: ( 69) - Bob Dylan
 10: ( 66) - The Beatles
 11: ( 65) - Catatonia
 12: ( 56) - Wolf Alice
 13: ( 54) - Lissie
 14: ( 52) - Lloyd Cole and the Commotions
 15: ( 51) - Lloyd Cole
 16: ( 50) - Doves
 17: ( 49) - Bonnie Whitmore
 18: ( 49) - Orchestral Manoeuvres in the Dark
 19: ( 48) - Fleet Foxes
 20: ( 48) - Martin Stephenson
 21: ( 47) - First Aid Kit

 22: ( 45) - The Weather Station
 23: ( 44) - Chip Taylor & Carrie Rodriguez
 24: ( 44) - Talking Heads

 25: ( 42) - The Smiths


 26: ( 39) - Inhaler


 27: ( 36) - Simple Minds
 28: ( 35) - Cocteau Twins
 29: ( 35) - The Mighty Wah!

 30: ( 33) - The Velvet Underground
 31: ( 32) - The Cure
 32: ( 31) - T. Rex
 33: ( 31) - Yazoo


 34: ( 28) - Bill Frisell
 35: ( 27) - Roxy Music
 36: ( 26) - Buffy Sainte-marie
 37: ( 25) - Elvis Costello & the Attractions

 38: ( 23) - Piney Gir
 39: ( 23) - Siouxsie and the Banshees
 40: ( 23) - Suzanne Vega

 41: ( 21) - Laura Marling
 42: ( 20) - Led Zeppelin
 43: ( 19) - Jimi Hendrix

 44: ( 17) - Eliza Gilkyson
 45: ( 17) - Magazine
 46: ( 16) - Haim
 47: ( 16) - Hem
 48: ( 15) - Scott Walker
 49: ( 15) - The Fall
 50: ( 14) - Elvis Costello
 51: ( 14) - Prefab Sprout
 52: ( 14) - R.E.M.
 53: ( 14) - The Style Council
 54: ( 13) - Emma Swift
 55: ( 12) - Rosanne Cash
 56: ( 12) - Shelby Lynne
 57: ( 12) - The Go-Betweens
 58: ( 11) - Max Romeo
 59: ( 10) - B.E.F.
 60: ( 10) - David Byrne
 61: ( 10) - Natalie Prass
 62: ( 10) - Paul McCartney
 63: ( 10) - The Associates
 64: (  9) - Josh Ritter
 65: (  9) - Kurt Vile
 66: (  9) - Orange Juice
 67: (  8) - Bob Marley & the Wailers
 68: (  8) - Edwyn Collins
 69: (  8) - Various
 70: (  7) - Mike Oldfield
 71: (  7) - The Jam
 72: (  6) - Angie Palmer
 73: (  6) - Chrissie Hynde
 74: (  6) - Courtney Barnett
 75: (  6) - Iggy Pop
 76: (  6) - Leonard Cohen
 77: (  6) - Michael Stipe
 78: (  6) - Sing Karaoke Sing
 79: (  5) - Andrew Bird
 80: (  5) - Brigid Mae Power
 81: (  5) - Fontaines D.c.
 82: (  5) - King Princess
 83: (  5) - Matt Berninger
 84: (  5) - Nick Heyward
 85: (  5) - Sharon Van Etten
 86: (  5) - St. Vincent
 87: (  5) - The Waterboys
 88: (  5) - Thurston Moore
 89: (  5) - Tift Merritt
 90: (  4) - ABC
 91: (  4) - Aztec Camera
 92: (  4) - Gang of Four
 93: (  4) - Mark Knopfler & Emmylou Harris
 94: (  4) - Philscreen
 95: (  4) - Pixies
 96: (  4) - Roddy Frame
 97: (  4) - Spandau Ballet
 98: (  4) - The Civil Wars
 99: (  4) - Tom Robinson Band
100: (  3) - Chaka Khan
101: (  3) - Dawn Penn
102: (  3) - Emmylou Harris
103: (  3) - Gregory Isaacs
104: (  3) - Jan Garbarek
105: (  3) - Joy Division
106: (  3) - Lyle Lovett
107: (  3) - Madness
108: (  3) - Peter Tosh
109: (  3) - Pretenders
110: (  3) - Prince
111: (  3) - The Piney Gir Country Roadshow
112: (  3) - Toots and the Maytals
113: (  2) - Dry Cleaning
114: (  2) - Elton John
115: (  2) - Fleetwood Mac
116: (  2) - Marc Almond
117: (  2) - Mel & Kim
118: (  2) - Miracle Legion
119: (  2) - Sam Fender
120: (  2) - Soft Cell
121: (  2) - The Church
122: (  2) - The Clash
123: (  2) - The Feelies
124: (  2) - The Housemartins
125: (  2) - The Jesus and Mary Chain
126: (  2) - The Psychedelic Furs
127: (  2) - The Sugarcubes
128: (  2) - The Weather Prophets
129: (  2) - The Wedding Present
130: (  2) - They Might Be Giants
131: (  2) - World Party
132: (  2) - Yoko Ono
133: (  1) - Afel Bocoum
134: (  1) - Andy Bell
135: (  1) - B.A. Robertson
136: (  1) - Bandsplain
137: (  1) - Bonnie Tyler
138: (  1) - Courtney Marie Andrews
139: (  1) - Cristina
140: (  1) - David Essex
141: (  1) - Depeche Mode
142: (  1) - Destroyer
143: (  1) - Deutsch Amerikanische Freundschaft
144: (  1) - Dinosaur Jr.
145: (  1) - Electric Light Orchestra
146: (  1) - Hüsker Dü
147: (  1) - Jason Isbell and the 400 Unit
148: (  1) - Joe Jackson
149: (  1) - Kate Bush
150: (  1) - Kevin Morby
151: (  1) - Lou Reed
152: (  1) - Lucinda Williams
153: (  1) - Lump
154: (  1) - Manfred Mann
155: (  1) - Martha and the Muffins
156: (  1) - My Bloody Valentine
157: (  1) - Nacho Video
158: (  1) - Peter Gabriel
159: (  1) - Phoebe Bridgers
160: (  1) - Rose City Band
161: (  1) - Scritti Politti
162: (  1) - Slow Hands
163: (  1) - Stealers Wheel
164: (  1) - Stephen Malkmus
165: (  1) - Steve Harley
166: (  1) - Suzi Quatro
167: (  1) - The Allman Brothers Band
168: (  1) - The Chameleons
169: (  1) - The Human League
170: (  1) - The Lemonheads
171: (  1) - The Replacements
172: (  1) - The Stooges
173: (  1) - The Triffids
174: (  1) - The Who
175: (  1) - Thepnutno2
176: (  1) - This Mortal Coil
177: (  1) - Throwing Muses
178: (  1) - Thundercat
179: (  1) - Waxahatchee
180: (  1) - Young Marble Giants
