Specified year (2022)
Total Tracks Unique Artists Unique albums Unique Tracks
    3438           160           227          1676
  1: (330) - Lloyd Cole
  2: (294) - Altered Images
  3: (206) - St. Vincent
  4: (133) - The Rolling Stones
  5: (111) - Orange Juice
  6: (108) - Cowboy Junkies
  7: ( 95) - Lloyd Cole and the Commotions
  8: ( 83) - Bob Dylan
  9: ( 78) - Beabadoobee
 10: ( 75) - Johnny Marr
 11: ( 68) - Wet Leg
 12: ( 65) - Martin Stephenson
 13: ( 65) - The Cure
 14: ( 64) - The Waterboys
 15: ( 63) - Paul McCartney
 16: ( 63) - Scott Walker
 17: ( 59) - Simple Minds
 18: ( 58) - The Corrs
 19: ( 48) - Talking Heads
 20: ( 45) - Michael Head & the Red Elastic Band
 21: ( 42) - Bruce Springsteen
 22: ( 41) - Echo & the Bunnymen
 23: ( 40) - Prefab Sprout
 24: ( 39) - Father John Misty
 25: ( 39) - Kate Bush
 26: ( 38) - Blondie
 27: ( 38) - The Fall
 28: ( 37) - Martin Stephenson and the Daintees
 29: ( 37) - Robert Plant
 30: ( 34) - The Linda Lindas
 31: ( 32) - Sea Power
 32: ( 31) - Amanda Shires
 33: ( 31) - Siouxsie and the Banshees
 34: ( 31) - T. Rex
 35: ( 31) - Yo La Tengo
 36: ( 26) - That Petrol Emotion
 37: ( 25) - A Certain Ratio
 38: ( 25) - Arcade Fire
 39: ( 25) - Chip Taylor & Carrie Rodriguez
 40: ( 24) - Margo Cilker
 41: ( 23) - David Bowie
 42: ( 20) - The Blue Nile
 43: ( 19) - Manfred Mann's Earth Band
 44: ( 19) - Paul & Linda Mccartney
 45: ( 19) - Suzanne Vega
 46: ( 19) - The Burning Hell
 47: ( 19) - U2
 48: ( 18) - Roxy Music
 49: ( 18) - The Cool Greenhouse
 50: ( 17) - Lou Reed
 51: ( 16) - Eliza Gilkyson
 52: ( 16) - Leonard Cohen
 53: ( 16) - Patti Smith
 54: ( 16) - Paul Haig
 55: ( 16) - The Undertones
 56: ( 15) - Aswad
 57: ( 15) - Martin Stephenson, John Perry
 58: ( 14) - Emma Swift
 59: ( 14) - The Fire Engines
 60: ( 13) - B.E.F.
 61: ( 12) - It'S Immaterial
 62: ( 12) - The Associates
 63: ( 12) - The Pale Fountains
 64: ( 11) - Josh Ritter
 65: ( 10) - Edwyn Collins
 66: ( 10) - Laura Marling
 67: ( 10) - Love
 68: ( 10) - Steely Dan
 69: ( 10) - The Church
 70: (  9) - Dry Cleaning
 71: (  8) - Bob Marley & the Wailers
 72: (  7) - Della Mae
 73: (  7) - Duke Garwood
 74: (  7) - New Order
 75: (  7) - Orchestral Manoeuvres in the Dark
 76: (  6) - Eilen Jewell
 77: (  6) - Hawkwind
 78: (  6) - Heaven 17
 79: (  6) - Josef K
 80: (  6) - Sharon Van Etten
 81: (  5) - Beabadoobee, Pinkpantheress
 82: (  5) - Scritti Politti
 83: (  5) - Spandau Ballet
 84: (  5) - The Smile
 85: (  4) - Paul Weller
 86: (  4) - Queen
 87: (  3) - Aztec Camera
 88: (  3) - Cara Dillon
 89: (  3) - Marc Bolan
 90: (  3) - Tift Merritt
 91: (  2) - Aoife Nessa Frances
 92: (  2) - Beth Orton
 93: (  2) - Blancmange
 94: (  2) - Blue Orchids
 95: (  2) - Buzzcocks
 96: (  2) - Børns
 97: (  2) - Cabaret Voltaire
 98: (  2) - Cass McCombs
 99: (  2) - Deutsch Amerikanische Freundschaft
100: (  2) - Devendra Banhart
101: (  2) - Essential Logic
102: (  2) - Fun Boy Three
103: (  2) - Furious Pig
104: (  2) - Gaby Moreno
105: (  2) - Ian Dury
106: (  2) - Inhaler
107: (  2) - James Blood Ulmer
108: (  2) - Joan Jett
109: (  2) - King Khan
110: (  2) - Lucinda Williams
111: (  2) - Nick Cave
112: (  2) - Panther Burns
113: (  2) - Peaches
114: (  2) - Pere Ubu
115: (  2) - Red Crayola
116: (  2) - Robert Wyatt
117: (  2) - Subway Sect
118: (  2) - Television Personalities
119: (  2) - The Beat
120: (  2) - The Beatles
121: (  2) - The Gist
122: (  2) - The Masses Carnaby St. John Co
123: (  2) - The Raincoats
124: (  2) - Virgin Prunes
125: (  2) - Wah! Heat
126: (  2) - Waylon Jennings
127: (  2) - Yonder Mountain String Band
128: (  1) - Andrew Bird, Lucius
129: (  1) - Bastille
130: (  1) - Blooms & Barnacles
131: (  1) - Eliza Gilkyson, Darryl Purpose
132: (  1) - Elysian Fields
133: (  1) - Emily Haines
134: (  1) - Feist
135: (  1) - Fiona Apple
136: (  1) - Furniture
137: (  1) - Gavin Friday
138: (  1) - Howard Jones
139: (  1) - Human League
140: (  1) - Japan
141: (  1) - Jimi Hendrix
142: (  1) - Joan Shelley
143: (  1) - John Cameron Mitchell
144: (  1) - Kesha
145: (  1) - Kim Carnes
146: (  1) - Marc Almond
147: (  1) - Matt Berninger
148: (  1) - Michael Stipe
149: (  1) - Nancy Sinatra, Lee Hazlewood
150: (  1) - Nena
151: (  1) - Perry Farrell
152: (  1) - Phoenix
153: (  1) - Placebo
154: (  1) - Porridge Radio
155: (  1) - Revelators Sound System
156: (  1) - The Black Keys
157: (  1) - The Doors
158: (  1) - The New Wave Music Podcast
159: (  1) - The War on Drugs
160: (  1) - Waxahatchee
