Since 2023
Total Tracks Unique Artists Unique albums Unique Tracks
    9168           351           427          3282
  1: (431) - Various











































  2: (387) - Bob Dylan




















  3: (366) - Tift Merritt

























  4: (340) - Lloyd Cole









































  5: (298) - Rosanne Cash

































































  6: (232) - Emmylou Harris
  7: (232) - Hem








  8: (223) - Roxy Music














  9: (208) - U2

 10: (206) - Eilen Jewell
 11: (206) - Gretchen Peters
 12: (205) - Orchestral Manoeuvres in the Dark





 13: (199) - Shelby Lynne
 14: (198) - The Redlands Palomino Company







 15: (190) - Edwyn Collins










 16: (179) - David Bowie

 17: (177) - Hayes Carll







 18: (169) - Elvis Costello & the Attractions
 19: (169) - Justin Townes Earle







 20: (161) - Allison Moorer

















 21: (143) - Jason Isbell












 22: (130) - Scott Walker
 23: (129) - Kacey Musgraves



 24: (125) - Carrie Rodriguez





 25: (119) - Laura Marling
 26: (118) - Heaven 17
 27: (117) - Sarah MacDougall







 28: (109) - Angie Palmer
 29: (108) - Freakwater


 30: (105) - The Beach Boys



 31: (101) - Eliza Gilkyson



 32: ( 97) - Paul Weller














 33: ( 82) - Roddy Frame

 34: ( 80) - The Beatles
 35: ( 79) - The Decemberists

 36: ( 77) - Prefab Sprout



 37: ( 73) - Lera Lynn

 38: ( 71) - Hackensaw Boys
 39: ( 70) - JT and the Clouds
 40: ( 70) - Robert Forster

 41: ( 68) - Corb Lund
 42: ( 68) - Patty Griffin
 43: ( 67) - JT Nero

 44: ( 65) - Birds of Chicago




 45: ( 60) - Elton John
 46: ( 60) - Julia Holter


 47: ( 57) - Talking Heads
 48: ( 57) - The Cure




 49: ( 52) - Orange Juice

 50: ( 50) - Aztec Camera
 51: ( 49) - Martin Stephenson and the Daintees
 52: ( 48) - The Go-Betweens
 53: ( 47) - Altered Images
 54: ( 47) - Cowboy Junkies
 55: ( 46) - The Jam
 56: ( 45) - Rachel Harrington
 57: ( 44) - Rodney Crowell


 58: ( 41) - The Jayhawks


 59: ( 38) - School of Seven Bells


 60: ( 35) - Simple Minds


 61: ( 32) - The Wailers
 62: ( 31) - UB40
 63: ( 30) - Dave Rawlings Machine
 64: ( 30) - Lloyd Cole and the Commotions
 65: ( 29) - B.E.F.


 66: ( 26) - Rod Stewart
 67: ( 26) - T. Rex
 68: ( 25) - Martin Stephenson
 69: ( 25) - New Order
 70: ( 25) - The Mavericks
 71: ( 25) - Tom Tom Club
 72: ( 24) - The Velvet Underground
 73: ( 23) - The Sundays

 74: ( 21) - Ian McCulloch
 75: ( 20) - Andrew Combs
 76: ( 20) - Cocteau Twins
 77: ( 20) - Gillian Welch
