Since 2023
Total Tracks Unique Artists Unique albums Unique Tracks
    9652           357           440          3376
  1: (431) - Various
























  2: (406) - Bob Dylan



























  3: (378) - Tift Merritt

























  4: (352) - Lloyd Cole





















































  5: (298) - Rosanne Cash





























  6: (268) - Emmylou Harris

































  7: (234) - Eilen Jewell

  8: (232) - Hem







  9: (224) - Roxy Music







 10: (216) - Orchestral Manoeuvres in the Dark






 11: (209) - Edwyn Collins
 12: (208) - U2

 13: (206) - Gretchen Peters






 14: (199) - Shelby Lynne
 15: (198) - The Redlands Palomino Company










 16: (187) - Hayes Carll







 17: (179) - David Bowie









 18: (169) - Elvis Costello & the Attractions
 19: (169) - Justin Townes Earle
 20: (169) - Laura Marling







 21: (161) - Allison Moorer

















 22: (143) - Jason Isbell












 23: (130) - Angie Palmer
 24: (130) - Scott Walker
 25: (129) - Kacey Musgraves



 26: (125) - Carrie Rodriguez






 27: (118) - Heaven 17
 28: (117) - Sarah MacDougall








 29: (108) - Freakwater

 30: (106) - Paul Weller
 31: (105) - The Beach Boys



 32: (101) - Eliza Gilkyson






 33: ( 94) - The Beatles




 34: ( 89) - Birds of Chicago






 35: ( 82) - Roddy Frame


 36: ( 79) - The Decemberists

 37: ( 77) - Prefab Sprout



 38: ( 73) - Lera Lynn

 39: ( 71) - Hackensaw Boys
 40: ( 70) - JT and the Clouds
 41: ( 70) - Robert Forster

 42: ( 68) - Corb Lund
 43: ( 68) - Patty Griffin
 44: ( 68) - The Cure
 45: ( 67) - JT Nero






 46: ( 60) - Elton John
 47: ( 60) - Julia Holter
 48: ( 59) - Talking Heads
 49: ( 58) - Aztec Camera
 50: ( 57) - Cowboy Junkies




 51: ( 52) - Orange Juice
 52: ( 52) - case/lang/veirs

 53: ( 50) - Lloyd Cole and the Commotions
 54: ( 50) - Martin Stephenson and the Daintees

 55: ( 48) - Altered Images
 56: ( 48) - The Go-Betweens

 57: ( 46) - The Jam
 58: ( 45) - Rachel Harrington
 59: ( 44) - Rodney Crowell
 60: ( 43) - The Jayhawks




 61: ( 38) - School of Seven Bells

 62: ( 36) - Simple Minds


 63: ( 33) - The Civil Wars
 64: ( 32) - The Wailers
 65: ( 31) - UB40
 66: ( 30) - Dave Rawlings Machine
 67: ( 29) - B.E.F.
 68: ( 29) - Echo & the Bunnymen
 69: ( 28) - New Order

 70: ( 26) - Rod Stewart
 71: ( 26) - T. Rex
 72: ( 25) - Martin Stephenson
 73: ( 25) - The Mavericks
 74: ( 25) - Tom Tom Club
 75: ( 24) - Christine and the Queens
