Since 2023
Total Tracks Unique Artists Unique albums Unique Tracks
   13359           203           375          3566
  1: (408) - Various



  2: (404) - Laura Marling
  3: (403) - Leonard Cohen






























  4: (372) - Bob Dylan




  5: (367) - Tift Merritt
  6: (366) - Lloyd Cole













  7: (352) - David Bowie
































  8: (319) - Simple Minds












  9: (306) - Emmylou Harris
















 10: (289) - Rosanne Cash


 11: (286) - The Style Council


























 12: (259) - Edwyn Collins

 13: (257) - Roxy Music






 14: (250) - Orchestral Manoeuvres in the Dark







 15: (242) - Echo & the Bunnymen


 16: (239) - Hem














 17: (224) - U2










 18: (213) - The Undertones









 19: (203) - The Redlands Palomino Company



 20: (199) - Hayes Carll














 21: (184) - case/lang/veirs



 22: (180) - Roddy Frame










 23: (169) - Christine and the Queens
 24: (169) - Justin Townes Earle

 25: (167) - Eilen Jewell
 26: (167) - Yazoo



 27: (163) - Birds of Chicago

 28: (161) - Shelby Lynne





 29: (155) - Devine & Statton

 30: (153) - ABC
 31: (153) - Rodney Crowell
 32: (152) - Lera Lynn
 33: (151) - Mary Chapin Carpenter
 34: (150) - Sarah MacDougall


 35: (147) - The Jayhawks













 36: (133) - Spandau Ballet




 37: (128) - Martin Stephenson

 38: (126) - The Wailers

 39: (124) - Cowboy Junkies




 40: (119) - Scott Walker


 41: (116) - Angie Palmer
 42: (115) - It'S Immaterial





 43: (109) - Eliza Gilkyson





 44: (103) - Aztec Camera
 45: (102) - Lizanne Knott


 46: ( 99) - Heaven 17


 47: ( 96) - The Pale Fountains

 48: ( 94) - Margo Price
 49: ( 94) - T. Rex

 50: ( 92) - Amy LaVere
 51: ( 92) - Haircut 100
 52: ( 92) - The Jesus and Mary Chain

 53: ( 90) - The Beach Boys
 54: ( 90) - The Beatles









 55: ( 80) - Amanda Shires

 56: ( 78) - Allison Moorer


 57: ( 75) - Hackensaw Boys
 58: ( 74) - Ryan Adams
 59: ( 74) - The Cure
 60: ( 73) - Jack Harris
 61: ( 72) - Freakwater
 62: ( 72) - Talking Heads
 63: ( 71) - Gillian Welch


 64: ( 68) - Lloyd Cole and the Commotions
 65: ( 68) - Orange Juice
 66: ( 67) - Cocteau Twins

 67: ( 65) - Bob Marley & the Wailers

 68: ( 63) - Altered Images
 69: ( 63) - Nick Heyward
 70: ( 63) - Paul Weller


 71: ( 60) - Colvin & Earle
 72: ( 60) - Elvis Costello & the Attractions

 73: ( 58) - Carrie Rodriguez
 74: ( 58) - UB40

 75: ( 56) - The Smiths
 76: ( 55) - Dire Straits
 77: ( 55) - Rod Stewart
 78: ( 54) - Jason Isbell




 79: ( 49) - Prefab Sprout

 80: ( 47) - Corb Lund
 81: ( 47) - The Go-Betweens
 82: ( 46) - Jimi Hendrix


 83: ( 43) - Kacey Musgraves
 84: ( 43) - New Order
 85: ( 43) - Young Marble Giants


 86: ( 40) - JT Nero

 87: ( 38) - JT and the Clouds
 88: ( 38) - The Sundays

 89: ( 36) - The Piney Gir Country Roadshow


 90: ( 33) - Haley Bonar


 91: ( 30) - The Police
 92: ( 30) - Walter Salas-Humara


 93: ( 27) - Shovels & Rope



 94: ( 23) - The Civil Wars
 95: ( 22) - Noah and the Whale
 96: ( 22) - Sarah Jarosz
 97: ( 22) - Small Faces
 98: ( 22) - Suzanne Vega
 99: ( 22) - The Jam
100: ( 21) - Brigid Mae Power
101: ( 21) - Martha Wainwright
102: ( 20) - Joy Division
103: ( 20) - Laura Gibson
104: ( 20) - Robert Forster
105: ( 20) - Rod Picott and Amanda Shires
106: ( 19) - Jim Lauderdale
107: ( 19) - Striking Matches
108: ( 19) - Tower of Song
109: ( 18) - Artery
110: ( 18) - Elvis Costello
111: ( 18) - Focus
112: ( 18) - Margaret Glaspy
113: ( 18) - The French Impressionists

114: ( 16) - School of Seven Bells
115: ( 15) - The Mighty Wah!
116: ( 14) - Brian Eno
117: ( 14) - Chip Taylor & Carrie Rodriguez
118: ( 14) - Sara Watkins
119: ( 13) - Kristin Hersh
120: ( 12) - Laura Cantrell
121: ( 12) - Loretta Lynn
122: ( 12) - Marc Bolan
123: ( 12) - Mindy Smith
124: ( 12) - Myrtle Park's Fishing Club
125: ( 12) - The Velvet Underground
126: ( 11) - Elizabeth Cook
127: ( 11) - Guy Clark
128: ( 10) - B.E.F.
129: ( 10) - Jan Garbarek
130: ( 10) - Jason Isbell and the 400 Unit
131: ( 10) - Kathleen Edwards
132: ( 10) - Kraftwerk
133: ( 10) - Mount Moriah
134: ( 10) - Samantha Crain
135: (  9) - Natalie Prass
136: (  9) - Nick Cave & the Bad Seeds
137: (  9) - The Waterboys
138: (  8) - Anne Mccue
139: (  8) - Bob Marley
140: (  8) - Tracey Thorn
141: (  7) - Black Marble
142: (  6) - Ultravox

143: (  4) - Kathryn Williams, Anthony Kerr
144: (  4) - The Fall
145: (  3) - Alex De Grassi
146: (  3) - Weekend
147: (  2) - Cage the Elephant
148: (  2) - Furniture
149: (  2) - Martin Stephenson and the Daintees
150: (  2) - Rhyton
151: (  2) - Slade
152: (  2) - Spizz Energi
153: (  2) - Wham!
154: (  1) - Aoife O'Donovan
155: (  1) - Barna Howard
156: (  1) - Bay City Rollers
157: (  1) - Beck & Emmylou Harris
158: (  1) - Brotherhood of Man
159: (  1) - Chip & Carrie
160: (  1) - Chris Hillman & Steve Earle
161: (  1) - Christie
162: (  1) - Dolly Parton
163: (  1) - Evan Dando & Julianna Hatfield
164: (  1) - Frank Sinatra
165: (  1) - Frankie Goes to Hollywood
166: (  1) - Fraser A. Gorman
167: (  1) - George McCrae
168: (  1) - George Strait
169: (  1) - Houndmouth
170: (  1) - Jamestown Revival
171: (  1) - Japan
172: (  1) - John Denver
173: (  1) - John Fullbright
174: (  1) - John Lennon
175: (  1) - Jona Lewie
176: (  1) - Lucinda Williams
177: (  1) - Lucinda Williams & David Crosby
178: (  1) - Martha and the Muffins
179: (  1) - Marvin Gaye
180: (  1) - Mike Oldfield
181: (  1) - Mud
182: (  1) - Nat King Cole
183: (  1) - Paul McCartney
184: (  1) - Pilot
185: (  1) - Shakey Graves
186: (  1) - Shania Twain
187: (  1) - Sharon Van Etten
188: (  1) - Sheryl Crow & Emmylou Harris
189: (  1) - Soft Cell
190: (  1) - Steve Harley & Cockney Rebel
191: (  1) - Stevie Nicks
192: (  1) - Sufjan Stevens
193: (  1) - Suzi Quatro
194: (  1) - The Chameleons
195: (  1) - The Mavericks
196: (  1) - The New Basement Tapes
197: (  1) - The Passions
198: (  1) - The Pogues
199: (  1) - The Pretenders & Emmylou Harris
200: (  1) - The Rolling Creekdippers
201: (  1) - Whiskeytown
202: (  1) - Wilco
203: (  1) - Wizzard
