  1 [  2]: (199) - Something More Than Free - Jason Isbell (197)
  4 [  4]: (195) * Grand Canyon - Sarah MacDougall (189)
  5 [ 12]: (187) - Acoustic - Simple Minds (164)
  6 [  9]: (181) - Cafe Bleu - The Style Council (172)
 12 [ 25]: (169) - Pale Sun Crescent Moon - Cowboy Junkies (149)
 13 [ 22]: (168) - Once I Was An Eagle - Laura Marling (152)
 16 [ 19]: (163) - Burnin' - The Wailers (158)
 19 [ 17]: (161) - A Creature I Don't Know - Laura Marling (158)
 20 [ 20]: (161) - Tambourine - Tift Merritt (157)
 24 [ 29]: (154) - Stitch Of The World - Tift Merritt (144)
 26 [ 30]: (151) - Saturns Pattern - Paul Weller (142)
 31 [ 38]: (144) * Eveningland - Hem (128)
 33 [ 34]: (139) - Journeys To Glory - Spandau Ballet (134)
 35 [ 42]: (139) - The Smiths - The Smiths (117)
 41 [ 66]: (123) - Introducing The Style Council - The Style Council (100)
 43 [ 95]: (120) - The Joshua Tree - U2 (77)
 45 [ 58]: (118) - Pelican West Plus - Haircut 100 (103)
 46 [ 61]: (114) - Excellent Day - Lizanne Knott (102)
 53 [ 76]: (108) * Signing Off - UB40 (89)
 74 [148]: ( 94) - Tangled - Nick Heyward (52)
 76 [ 85]: ( 93) * Roxy Music - Roxy Music (83)
 77 [167]: ( 93) - The Luxury Gap - Heaven 17 (45)
 78 [ 99]: ( 92) * Funnel Cloud (Bonus Track Version) - Hem (74)
 81 [ 82]: ( 90) * Live At Brooklyn Bowl 2016 - Lloyd Cole (85)
 86 [133]: ( 86) * New Gold Dream (81-82-83-84) - Simple Minds (57)
 97 [ 94]: ( 78) - Head Over Heels - Cocteau Twins (77)
104 [112]: ( 72) * Caledonia - JT and the Clouds (68)
116 [144]: ( 68) - Americana - Ray Davies (53)
117 [123]: ( 68) * By the Time You Hear This ...We'll Be Gone - The Redlands Palomino Company (63)
118 [175]: ( 68) - If You Wait - London Grammar (43)
119 [137]: ( 68) * Scott 2 - Scott Walker (56)
130 [179]: ( 64) - Emotions And Math - Margaret Glaspy (42)
131 [229]: ( 64) * Lay It Down - Cowboy Junkies (28)
132 [251]: ( 64) - Our Favourite Shop (Digitally Remastered) - The Style Council (23)
133 [135]: ( 62) - Let's Dance - David Bowie (56)
142 [265]: ( 58) - Solitude Standing - Suzanne Vega (21)
152 [150]: ( 54) * Hope And Despair - Edwyn Collins (51)
161 [162]: ( 49) - Are You Experienced - Jimi Hendrix (46)
166 [  -]: ( 47) - Crush - Orchestral Manoeuvres in the Dark (0)
167 [  -]: ( 47) - Days Of Open Hand - Suzanne Vega (0)
173 [216]: ( 46) * Happy Birthday - Altered Images (32)
187 [  -]: ( 41) - Tempest - Bob Dylan (0)
188 [203]: ( 41) - The Gift (Remastered Version) - The Jam (36)
226 [  -]: ( 31) - Close Ties - Rodney Crowell (0)
227 [577]: ( 31) - Suzanne Vega - Suzanne Vega (1)
231 [  -]: ( 30) - Lodger - David Bowie (0)
246 [  -]: ( 26) - UNCUT 2017-05 - Dreams - Various (0)
260 [264]: ( 23) * Rattlesnakes - Lloyd Cole and the Commotions (21)
283 [537]: ( 19) * Little Creatures - Talking Heads (1)
314 [  -]: ( 15) - Love In The 4Th Dimension - The Big Moon (0)
315 [368]: ( 15) - Mainstream - Lloyd Cole and the Commotions (10)
326 [  -]: ( 14) - Sweet Fanny Adams - Sweet (0)
365 [  -]: ( 11) - Pollinator - Blondie (0)
385 [  -]: ( 10) - Starsailor - Tim Buckley (0)
386 [  -]: ( 10) - Tales From The Realm Of The Queen Of Pentacles - Suzanne Vega (0)
404 [  -]: (  8) - Magical Mystery Tour (Remastered) - The Beatles (0)
409 [439]: (  8) - Treasure - Cocteau Twins (4)
433 [  -]: (  5) - San Francisco - Scott Mckenzie (0)
439 [  -]: (  4) - Between The Buttons (Remastered) - The Rolling Stones (0)
442 [  -]: (  4) - Easter Everywhere - 13Th Floor Elevators (0)
458 [  -]: (  3) - Buffalo Springfield - Buffalo Springfield (0)
460 [  -]: (  3) - Forever Changes - Love (0)
461 [  -]: (  3) - Garage Band Classics - The Chocolate Watch Band (0)
462 [  -]: (  3) - Gorilla - The Bonzo Dog Band (0)
464 [  -]: (  3) - Happy Together - Procol Harum (0)
465 [  -]: (  3) - I Never Loved A Man The Way I Love You - Aretha Franklin (0)
467 [  -]: (  3) - It's Smoke Time - The Smoke (0)
470 [  -]: (  3) - Move (2007 Remaster) - The Move (0)
471 [  -]: (  3) - Playing In The Hall - The Charlatans (0)
472 [  -]: (  3) - S.F. Sorrow - The Pretty Things (0)
474 [  -]: (  3) - Sgt. Pepper's Lonely Hearts Club Band - The Beatles (0)
475 [  -]: (  3) - Something Else By The Kinks (Bonus Track Edition) - The Kinks (0)
477 [488]: (  3) * The Collection - Altered Images (2)
479 [  -]: (  3) - The Mamas & The Papas - The Mamas & the Papas (0)
480 [  -]: (  3) - The Original Psychedelic Album - Keith West (0)
481 [  -]: (  3) - The Seeds - The Seeds (0)
482 [  -]: (  3) - The Soft Machine (Remastered And Expanded) - Soft Machine (0)
484 [  -]: (  3) - Tomorrow - Tomorrow (0)
496 [  -]: (  2) - A Whole New Thing - Sly & the Family Stone (0)
498 [  -]: (  2) - Bee Gees' 1St - Bee Gees (0)
503 [  -]: (  2) - Disraeli Gears (Remastered) - Cream (0)
504 [  -]: (  2) - Electric Ladyland - The Jimi Hendrix Experience (0)
507 [  -]: (  2) - Greatest Hits - Eric Burdon & the Animals (0)
511 [  -]: (  2) - I-Feel-Like-I'm-Fixin'-To-Die - Country Joe & the Fish (0)
512 [  -]: (  2) - In Case You're In Love - Sonny & Cher (0)
513 [  -]: (  2) - Insight Out - The Association (0)
519 [  -]: (  2) - More Hot Rocks (Big Hits & Fazed Cookies) - The Rolling Stones (0)
520 [  -]: (  2) - Mr. Fantasy - Traffic (0)
521 [  -]: (  2) - Ode To Billie Joe - Bobbie Gentry (0)
530 [562]: (  2) - Script Of The Bridge (Remastered) - The Chameleons (1)
534 [  -]: (  2) - Smiley Smile - The Beach Boys (0)
536 [  -]: (  2) - The 5000 Spirits Or The Layers Of The Onion - The Incredible String Band (0)
537 [  -]: (  2) - The Birds, The Bees, & The Monkees - The Monkees (0)
538 [  -]: (  2) - The Byrds - The Byrds (0)
541 [  -]: (  2) - The Singles Collection - Small Faces (0)
542 [  -]: (  2) - The Velvet Underground & Nico - The Velvet Underground (0)
543 [  -]: (  2) - The Very Best Of Moby Grape Vintage - Moby Grape (0)
544 [  -]: (  2) - The Who Sell Out (Deluxe Edition) - The Who (0)
562 [  -]: (  1) - Big Brother & The Holding Company - Big Brother & the Holding Company (0)
587 [  -]: (  1) - Hits'n'flips - The Move (0)
592 [  -]: (  1) - It'll End In Tears (Remastered) - This Mortal Coil (0)
600 [  -]: (  1) - Mindrocker - A Us-Punk Anthology Vol. 4 (Digitally Remastered) - The Moving Sidewalks (0)
604 [  -]: (  1) - Music In A Doll's House / Family Entertainment - Family (0)
634 [  -]: (  1) - Sunshine Superman (Stereo Special Edition) - Donovan (0)
635 [  -]: (  1) - Surrealistic Pillow - Jefferson Airplane (0)
