   2 [   2]: (272) - Sermon On The Rocks - Josh Ritter (252)
  27 [  29]: (186) * Jordan: The Comeback - Prefab Sprout (182)
  45 [  61]: (162) - On Sunset (Deluxe) - Paul Weller (148)
  81 [ 116]: (134) - Rough And Rowdy Ways - Bob Dylan (114)
  82 [ 130]: (131) * Swoon - Prefab Sprout (107)
 102 [ 204]: (123) - You Can't Hide Your Love Forever - Orange Juice (91)
 131 [ 343]: (108) - Song For Our Daughter - Laura Marling (68)
 153 [ 189]: (102) - Hate For Sale - Pretenders (92)
 155 [   -]: (102) - Xoxo - The Jayhawks (0)
 157 [ 270]: (101) * Knife - Aztec Camera (77)
 172 [ 211]: ( 98) - The Haunted Man - Bat for Lashes (90)
 185 [ 206]: ( 94) - Elevation Days - Edwyn Collins (90)
 199 [ 307]: ( 92) - Salutation Road - Martin Stephenson and the Daintees (72)
 229 [ 600]: ( 86) - Blonde On The Tracks - Emma Swift (32)
 244 [ 547]: ( 84) - Young In All The Wrong Ways - Sara Watkins (52)
 246 [ 465]: ( 83) * Love Story - Lloyd Cole (59)
 250 [ 254]: ( 82) * Little Creatures - Talking Heads (80)
 260 [ 536]: ( 80) - Beyond The Pale - Jarv Is... (52)
 265 [ 264]: ( 80) * Road - Angie Palmer (78)
 272 [ 596]: ( 78) - Coals To Newcastle - Orange Juice (44)
 283 [ 288]: ( 76) - Colossal Youth - Young Marble Giants (74)
 300 [ 396]: ( 74) - Lodger (Tony Visconti 2017 Mix) - David Bowie (64)
 308 [ 566]: ( 73) * High 7 Moon 5 - Martin Stephenson (49)
 338 [ 347]: ( 69) - A New World Record - Electric Light Orchestra (67)
 391 [ 490]: ( 65) * The Man Who Sold The World - David Bowie (57)
 411 [ 419]: ( 64) - Speaking In Tongues - Talking Heads (62)
 454 [ 573]: ( 60) - Easy Pieces - Lloyd Cole and the Commotions (48)
 566 [ 578]: ( 50) * Rattlesnakes - Lloyd Cole and the Commotions (48)
 572 [ 582]: ( 49) - Armed Forces - Elvis Costello & the Attractions (47)
 598 [   -]: ( 46) - Gaslighter - The Chicks (0)
 604 [ 607]: ( 33) - The Wrong People - Furniture (17)
 605 [   -]: ( 26) - Good Luck, Seeker - The Waterboys (0)
 756 [   -]: (  6) - Don Letts And Turtle Bay Present Reggae 45 - Don Letts and Turtle Bay Present Reggae 45 (0)
 848 [   -]: (  4) - Good As I Been To You - Bob Dylan (0)
1000 [   -]: (  2) - (The Microcosm) : Visionary Music Of Continental Europe, 1970-1986 - Karl Schaffner (0)
1003 [   -]: (  2) - 1992 - 2001 - Acetone (0)
1011 [   -]: (  2) - A House Safe For Tigers Soundtrack - Lee Hazlewood (0)
1013 [   -]: (  2) - An Innocent Man - Billy Joel (0)
1017 [   -]: (  2) - Beautiful Rivers And Mountains: The Psychedelic Rock Sound Of South Korea's Shin Joong Hyun 1958-1974 - Shin Joong Hyun & the Men (0)
1037 [   -]: (  2) - Definitely Dylan - Definitely Dylan (0)
1039 [   -]: (  2) - Don't Just Sing: A Karin Krog Anthology 1963-1999 - Karin Krog (0)
1041 [   -]: (  2) - Dreamin' Wild - Donnie & Joe Emerson (0)
1042 [   -]: (  2) - Dropping Bombs On The Whitehouse (Extended Version) - The Style Council (0)
1051 [   -]: (  2) - Fisherman's Blues - The Waterboys (0)
1052 [   -]: (  2) - Freeze Frame - The J. Geils Band (0)
1054 [   -]: (  2) - Goodbye Yellow Brick Road (Remastered) - Elton John (0)
1058 [   -]: (  2) - Green River - Eilen Jewell (0)
1059 [   -]: (  2) - Gremlins Have Pictures - Roky Erickson (0)
1076 [   -]: (  2) - It'll All Be Over - Supreme Jubilees (0)
1079 [   -]: (  2) - Les Nouvelles Musiques De Chambre, Vol. 2 - Gigi Masin (0)
1100 [   -]: (  2) - Never Mind The Bollocks, Here’S The Sex Pistols - Sex Pistols (0)
1105 [   -]: (  2) - On The Level - Status Quo (0)
1112 [   -]: (  2) - Out Of The Blue - Electric Light Orchestra (0)
1127 [   -]: (  2) - Running On Empty / Nothing But Time (Digital 45) - Jackson Browne (0)
1143 [   -]: (  2) - Stone Crush: Memphis Modern Soul 1977-1987 - Greg Mason (0)
1177 [   -]: (  2) - They Say I'm Different - Betty Davis (0)
1179 [   -]: (  2) - U.F.O. - Jim Sullivan (0)
1187 [   -]: (  2) - We've Only Just Begun - Bat for Lashes (0)
1190 [   -]: (  2) - Who Do We Think We Are (Remastered) - Deep Purple (0)
