   3 [   2]: (276) - Head Over Heels - Cocteau Twins (266)
  36 [  39]: (175) - On Sunset (Deluxe) - Paul Weller (173)
  55 [  56]: (156) * Seven Dials - Roddy Frame (155)
  56 [  57]: (156) * Various Positions - Leonard Cohen (154)
  70 [  81]: (144) - Manifesto - Roxy Music (134)
  73 [  83]: (143) * Swoon - Prefab Sprout (131)
  75 [  85]: (142) - Identity Crisis - Shelby Lynne (130)
  81 [ 101]: (138) - True Meanings - Paul Weller (124)
  89 [ 113]: (129) * Heaven Up Here - Echo & the Bunnymen (118)
 101 [ 119]: (125) - Song For Our Daughter - Laura Marling (116)
 158 [ 180]: (103) - Elevation Days - Edwyn Collins (98)
 160 [ 206]: (103) * Tallulah - The Go-Betweens (93)
 162 [ 164]: (103) - Treasure - Cocteau Twins (102)
 223 [ 246]: ( 91) - Stage (2017) [Live] - David Bowie (86)
 244 [ 252]: ( 87) * Young Americans - David Bowie (85)
 271 [ 275]: ( 81) * Bringing It All Back Home - Bob Dylan (80)
 323 [ 408]: ( 74) * The Man Who Sold The World - David Bowie (65)
 336 [ 481]: ( 72) - Mainstream - Lloyd Cole and the Commotions (60)
 344 [ 354]: ( 70) - A New World Record - Electric Light Orchestra (69)
 350 [ 369]: ( 70) * Hope And Despair - Edwyn Collins (68)
 376 [ 406]: ( 68) - Surf - Roddy Frame (65)
 395 [ 572]: ( 66) - Revolver - The Beatles (52)
 405 [ 411]: ( 65) * Blonde On Blonde - Bob Dylan (64)
 407 [ 417]: ( 65) * Closer - Joy Division (64)
 465 [ 496]: ( 61) * Rattlesnakes - Lloyd Cole and the Commotions (59)
 501 [ 511]: ( 59) - Suzanne Vega - Suzanne Vega (58)
 531 [ 545]: ( 56) * Highway 61 Revisited - Bob Dylan (54)
 572 [ 600]: ( 52) * I Took Up The Runes - Jan Garbarek (49)
 618 [ 619]: ( 47) - Who By Fire - Live Tribute To Leonard Cohen - First Aid Kit (45)
 622 [ 625]: ( 43) - Under A Blood Red Sky - U2 (27)
 625 [ 632]: ( 37) - Reconnected - Yazoo (18)
 626 [ 623]: ( 34) - Ignorance - The Weather Station (28)
 628 [ 626]: ( 27) - Maverick Years 80-81 - The Mighty Wah! (26)
 631 [ 676]: ( 22) - Fat Pop - Paul Weller (10)
 633 [   -]: ( 21) - Fat Pop (Deluxe) - Paul Weller (0)
 638 [ 859]: ( 14) - American Utopia - David Byrne (4)
 640 [   -]: ( 14) - Hunky Dory (2015 Remaster) - David Bowie (0)
 647 [ 652]: ( 13) - Tubular Bells - Mike Oldfield (12)
 672 [ 683]: ( 11) * Songs To Remember - Scritti Politti (10)
 675 [   -]: ( 11) - V.U. - The Velvet Underground (0)
 764 [   -]: (  7) - Sulk - The Associates (0)
 816 [   -]: (  6) - War Ina Babylon (Expanded Edition) - Max Romeo (0)
 908 [   -]: (  4) - Ommadawn - Mike Oldfield (0)
 925 [   -]: (  4) - Surfer Rosa (Remastered) - Pixies (0)
 956 [   -]: (  3) - Complete Madness - Madness (0)
 968 [   -]: (  3) - Fourth Drawer Down - The Associates (0)
 971 [   -]: (  3) - Get Close (Expanded & Remastered) - Pretenders (0)
 979 [   -]: (  3) - I Feel For You - Chaka Khan (0)
1013 [   -]: (  3) - Sign "O" The Times - Prince (0)
1015 [   -]: (  3) - Singles (2016 Remaster) - New Order (0)
1082 [   -]: (  2) - Catch A Fire - Bob Marley & the Wailers (0)
1107 [   -]: (  2) - F.L.M. (Deluxe Edition) - Mel & Kim (0)
1131 [   -]: (  2) - Hyaena (Remastered And Expanded) - Siouxsie and the Banshees (0)
1143 [   -]: (  2) - In The Dark - Toots and the Maytals (0)
1148 [   -]: (  2) - Lennon Bermuda - Yoko Ono (0)
1152 [   -]: (  2) - Life's Too Good - The Sugarcubes (0)
1167 [   -]: (  2) - Mirror Moves - The Psychedelic Furs (0)
1185 [   -]: (  2) - No, No, No - Dawn Penn (0)
1186 [   -]: (  2) - Non-Stop Erotic Cabaret - Soft Cell (0)
1194 [   -]: (  2) - Out Deh - Gregory Isaacs (0)
1207 [   -]: (  2) - Rastaman Vibration - Bob Marley & the Wailers (0)
1260 [   -]: (  2) - The Look Of Love - ABC (0)
1274 [   -]: (  2) - The Toughest - Peter Tosh (0)
1331 [   -]: (  1) - 100% 80's (100 Classic Hits) - Sing Karaoke Sing (0)
1370 [   -]: (  1) - Bug (Remastered) - Dinosaur Jr. (0)
1372 [   -]: (  1) - Burnin' (Deluxe Edition) - Bob Marley & the Wailers (0)
1376 [   -]: (  1) - Car Button Cloth - The Lemonheads (0)
1393 [   -]: (  1) - Coney Island Baby - Lou Reed (0)
1396 [   -]: (  1) - Crash - The Human League (0)
1401 [   -]: (  1) - Darklands (Expanded Version) - The Jesus and Mary Chain (0)
1404 [   -]: (  1) - David Essex - David Essex (0)
1415 [   -]: (  1) - Dreams - The Allman Brothers Band (0)
1430 [   -]: (  1) - Gold Und Liebe - Deutsch Amerikanische Freundschaft (0)
1440 [   -]: (  1) - Hergest Ridge - Mike Oldfield (0)
1442 [   -]: (  1) - Hounds Of Love - Kate Bush (0)
1447 [   -]: (  1) - I'm The Man - Joe Jackson (0)
1456 [   -]: (  1) - It's A Heartache - Bonnie Tyler (0)
1463 [   -]: (  1) - Let's Dance (1999 Remaster) - David Bowie (0)
1467 [   -]: (  1) - London Calling (Remastered) - The Clash (0)
