  14 [  28]: (205) * Jordan: The Comeback - Prefab Sprout (186)
  26 [  31]: (190) - Tambourine - Tift Merritt (186)
  35 [  35]: (178) * The Unforgettable Fire - U2 (177)
  40 [  46]: (175) - Sons And Fascination/Sister Feelings Call - Simple Minds (163)
  49 [  58]: (162) * Sparkle In The Rain - Simple Minds (156)
 121 [ 173]: (117) - Achtung Baby - U2 (101)
 175 [ 235]: (101) * Hellbent On Compromise - Edwyn Collins (90)
 189 [ 234]: ( 98) - Easy Pieces - Lloyd Cole and the Commotions (90)
 213 [ 225]: ( 93) - Disintegration - The Cure (91)
 236 [ 253]: ( 91) * Young Americans - David Bowie (87)
 310 [ 405]: ( 77) * Stumble Into Grace - Emmylou Harris (66)
 386 [ 475]: ( 68) - Something On My Mind - The Pale Fountains (61)
 404 [ 597]: ( 66) - Pacific Street - The Pale Fountains (51)
 407 [ 452]: ( 66) * Station To Station - David Bowie (63)
 419 [ 570]: ( 65) - Ignorance - The Weather Station (53)
 426 [ 500]: ( 65) - Under A Blood Red Sky - U2 (60)
 514 [   -]: ( 59) - Things Take Time, Take Time - Courtney Barnett (0)
 605 [ 611]: ( 50) - Rattle And Hum - U2 (49)
 638 [ 637]: ( 29) - From Dreams To Dust - The Felice Brothers (28)
 639 [ 644]: ( 28) - Raise The Roof (Deluxe Edition) - Robert Plant (17)
 650 [ 660]: ( 14) - Document (R.E.M. No. 5) - R.E.M. (12)
 665 [   -]: ( 12) - High Land, Hard Rain (Expanded) - Aztec Camera (0)
 722 [   -]: (  9) - The Clash (Remastered) - The Clash (0)
 748 [   -]: (  8) - Serious Moonlight (Live '83, 2018 Remaster) - David Bowie (0)
 774 [   -]: (  7) - Kiss Me, Kiss Me, Kiss Me - The Cure (0)
 790 [ 833]: (  7) - War Baby - Hope & Glory - Tom Robinson (6)
 903 [   -]: (  4) - Grotesque (After The Gramme) [Expanded Edition] - The Fall (0)
 955 [   -]: (  4) - The Mike Oldfield Collection - Mike Oldfield (0)
 968 [   -]: (  4) - White Christmas - Bing Crosby (0)
 978 [1377]: (  3) - Avalon - Roxy Music (1)
1053 [   -]: (  3) - Stretchy Pants - Carrie Underwood (0)
1121 [   -]: (  2) - Caribou (Remastered) - Elton John (0)
1127 [1408]: (  2) - Christmas In The Heart - Bob Dylan (1)
1128 [   -]: (  2) - Christmas Jukebox - Slade (0)
1129 [   -]: (  2) - Christmas Tree Farm - Taylor Swift (0)
1130 [   -]: (  2) - Christmas With Nat, Dean And Bing - Nat King Cole (0)
1140 [   -]: (  2) - Do They Know Its Christmas? - Band Aid (0)
1151 [   -]: (  2) - Everyday Is Christmas - Sia (0)
1156 [   -]: (  2) - Feliz Navidad - José Feliciano (0)
1173 [   -]: (  2) - Have Yourself A Merry Little Christmas - Sam Smith (0)
1177 [   -]: (  2) - Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition] - Mykola Dmytrovych Leontovych (0)
1178 [   -]: (  2) - Home Alone - Soundtrack - John Williams (0)
1189 [   -]: (  2) - Icon - A Very Special Christmas - John Lennon (0)
1190 [   -]: (  2) - If I Should Fall From Grace With God (Expanded Edition) - The Pogues (0)
1210 [   -]: (  2) - Loner - Caroline Rose (0)
1224 [   -]: (  2) - Missing You - The Collection - Chris De Burgh (0)
1241 [   -]: (  2) - On All Fours - Goat Girl (0)
1266 [   -]: (  2) - Santa Baby - Eartha Kitt (0)
1267 [   -]: (  2) - Santa Tell Me - Ariana Grande (0)
1281 [   -]: (  2) - Social Studies - Loudon Wainwright III (0)
1305 [1582]: (  2) - Tell Me How You Really Feel - Courtney Barnett (1)
1331 [   -]: (  2) - The Very Best Of Mud - Mud (0)
1343 [   -]: (  2) - True Love Stories - Jilted John (0)
1361 [   -]: (  2) - ÇA Plane Pour Moi - Plastic Bertrand (0)
1391 [   -]: (  1) - 7 Seconds - Porridge Radio (0)
1397 [   -]: (  1) - A Kind Of Magic (2011 Remaster) - Queen (0)
1438 [   -]: (  1) - Certainty - Big Thief (0)
1447 [   -]: (  1) - Clues - Robert Palmer (0)
1475 [   -]: (  1) - Don't Let Your Son Grow Up To Be A Cowboy: Unreleased Recordings 1981-82 - Jazzateers (0)
1481 [   -]: (  1) - Essential Christmas - Brenda Lee (0)
1482 [   -]: (  1) - Essential Christmas - Johnny Marks (0)
1503 [   -]: (  1) - Halcyon Digest - Deerhunter (0)
1531 [   -]: (  1) - Kimono My House - Sparks (0)
1533 [   -]: (  1) - Learning To Crawl (Expanded & Remastered) - Pretenders (0)
1541 [   -]: (  1) - Love - The Cult (0)
1562 [   -]: (  1) - No Burden - Lucy Dacus (0)
1607 [   -]: (  1) - Some Guys Have All The Luck - Rod Stewart (0)
1615 [   -]: (  1) - Steam - East 17 (0)
1616 [   -]: (  1) - Strange Cacti - Angel Olsen (0)
1643 [   -]: (  1) - The Double Ep: A Sea Of Split Peas - Courtney Barnett (0)
1653 [   -]: (  1) - The Man Who - Travis (0)
1673 [   -]: (  1) - Tramp - Sharon Van Etten (0)
