   3 [   3]: (288) - Head Over Heels - Cocteau Twins (281)
   9 [  13]: (240) - Acoustic - Simple Minds (228)
  39 [  45]: (184) * I Speak Because I Can - Laura Marling (175)
  50 [ 119]: (173) - Sorry For Laughing - Josef K (126)
  53 [  66]: (169) * Eveningland - Hem (160)
  70 [  76]: (159) - Stranded - Roxy Music (151)
 102 [ 118]: (136) - Junk Culture - Orchestral Manoeuvres in the Dark (126)
 191 [ 253]: (106) - 66 - Paul Weller (95)
 224 [ 294]: (101) - Madra - Newdad (89)
 227 [ 281]: (101) * Young Americans - David Bowie (91)
 315 [ 390]: ( 85) - Here In The Pitch - Jessica Pratt (73)
 365 [ 698]: ( 76) - Souvlaki - Slowdive (32)
 378 [ 386]: ( 75) * The Man Who Sold The World - David Bowie (74)
 591 [ 600]: ( 56) - Blue - Joni Mitchell (55)
 679 [   -]: ( 42) - Name Your Sorrow - Pillow Queens (0)
 681 [   -]: ( 42) - X's - Cigarettes After Sex (0)
 798 [ 822]: ( 11) - Get It On: The Collection - T. Rex (10)
 828 [   -]: ( 10) - Live In London 1980: The Legendary Chaos Tape - The Fall (0)
 853 [   -]: (  9) - Kelvingrove Baby - The Bathers (0)
1580 [   -]: (  1) - All Things Must Pass (50Th Anniversary) - George Harrison (0)
1676 [   -]: (  1) - Elton John - Elton John (0)
1694 [   -]: (  1) - Fragile (Deluxe Edition) - Yes (0)
1697 [   -]: (  1) - Get Carter (Original Motion Picture Soundtrack) - Roy Budd (0)
1716 [   -]: (  1) - His Band And The Street Choir - Van Morrison (0)
1745 [   -]: (  1) - Loaded - The Velvet Underground (0)
1766 [   -]: (  1) - Mud Slide Slim And The Blue Horizon - James Taylor (0)
1778 [   -]: (  1) - No Dice (Remastered 2010 / Deluxe Edition) - Badfinger (0)
1794 [   -]: (  1) - Pearl - Janis Joplin (0)
1810 [   -]: (  1) - Runt - Todd Rundgren (0)
1820 [   -]: (  1) - Sky's The Limit - The Temptations (0)
1821 [   -]: (  1) - Sladest (Expanded) - Slade (0)
1853 [   -]: (  1) - Tapestry - Carole King (0)
1869 [   -]: (  1) - The Complete Pye Collection - Status Quo (0)
