  15 [  24]: (214) * The Unforgettable Fire - U2 (197)
  27 [  28]: (193) - Once I Was An Eagle - Laura Marling (190)
  32 [  47]: (189) - The Prince Of Wales - Devine & Statton (176)
  40 [  41]: (186) - Short Movie - Laura Marling (182)
  46 [  46]: (180) - Sorry For Laughing - Josef K (176)
 138 [ 167]: (122) - All Born Screaming - St. Vincent (113)
 162 [ 181]: (115) - Waves - Newdad (110)
 173 [ 217]: (112) * Tallulah - The Go-Betweens (103)
 256 [ 304]: ( 96) - Souvlaki - Slowdive (87)
 307 [ 362]: ( 86) - Aladdin Sane - David Bowie (77)
 378 [ 565]: ( 75) - Songs Of A Lost World - The Cure (59)
 400 [ 627]: ( 73) - No Obligation - The Linda Lindas (53)
 431 [ 578]: ( 70) - Patterns In Repeat - Laura Marling (58)
 469 [ 675]: ( 66) - Born Horses - Mercury Rev (46)
 788 [   -]: ( 13) - This Year's Model (2021 Remaster) - Elvis Costello (0)
1156 [   -]: (  3) - Dancing With Strangers (Deluxe Edition) [2019 Remaster] - Chris Rea (0)
1592 [   -]: (  1) - All Born Screaming - St. Vincent, Cate Le Bon (0)
1634 [   -]: (  1) - Candlelit Keys: Christmas Classics - Best Christmas Songs (0)
1637 [   -]: (  1) - Caribou (Remastered 1995) - Elton John (0)
1647 [   -]: (  1) - Christmas Jams - Michael Bublé (0)
1705 [   -]: (  1) - Fairytale Of New York - The Pogues (0)
1737 [   -]: (  1) - Holiday Pop - The Ronettes (0)
1780 [   -]: (  1) - Merry Christmas - Mariah Carey (0)
1801 [   -]: (  1) - No Obligation - The Linda Lindas, Weird Al Yankovic (0)
1860 [   -]: (  1) - Stay Another Day - Jorja Smith (0)
1883 [   -]: (  1) - The Andy Williams Christmas Album - Andy Williams (0)
1910 [   -]: (  1) - The Platinum Collection (2011 Remaster) - Queen (0)
1952 [   -]: (  1) - Weihnachten Workout - The Ronettes (0)
