2016-07-01 07:53:08	Lloyd Cole and The Commotions	Lloyd Cole and The Commotions	Rich
2016-07-01 07:56:39	Christine and the Queens	Christine and the Queens	It
2016-07-01 08:00:21	Christine and the Queens	Christine and the Queens	Saint Claude
2016-07-01 08:04:23	Christine and the Queens	Christine and the Queens	Tilted
2016-07-01 08:08:16	Christine and the Queens	Christine and the Queens	No Harm Is Done (feat. Tunji Ige)
2016-07-01 08:11:46	Christine and the Queens	Christine and the Queens	Science Fiction
2016-07-01 08:15:24	Christine and the Queens	Christine and the Queens	Paradis Perdus
2016-07-01 08:19:00	Christine and the Queens	Christine and the Queens	Half Ladies
2016-07-01 08:23:19	Christine and the Queens	Christine and the Queens	Jonathan (feat. Perfume Genius)
2016-07-01 08:26:43	Christine and the Queens	Christine and the Queens	Narcissus is back
2016-07-01 08:30:13	Christine and the Queens	Christine and the Queens	Safe and Holy
2016-07-01 08:34:20	Christine and the Queens	Christine and the Queens	Night 52
2016-07-01 17:25:17	Christine and the Queens	Christine and the Queens	Night 52
2016-07-01 17:26:59	Christine and the Queens	Christine and the Queens	Here
2016-07-01 17:31:27	Eilen Jewell	Eilen Jewell	Worried Mind
2016-07-01 17:34:42	Eilen Jewell	Eilen Jewell	Hallelujah Band
2016-07-01 17:37:37	Eilen Jewell	Eilen Jewell	Rio Grande
2016-07-01 17:41:00	Eilen Jewell	Eilen Jewell	Half-Broke Horse
2016-07-01 17:44:27	Eilen Jewell	Eilen Jewell	My Hometown
2016-07-01 17:47:50	Eilen Jewell	Eilen Jewell	Needle & Thread
2016-07-01 17:51:32	Eilen Jewell	Eilen Jewell	Down the Road
2016-07-01 17:54:08	Eilen Jewell	Eilen Jewell	Somethings Weren't Meant to Be
2016-07-02 18:51:57	Eilen Jewell	Eilen Jewell	Somethings Weren't Meant to Be
2016-07-02 18:56:30	Small Faces	Small Faces	Ogden's Nut Gone Flake
2016-07-02 18:59:24	Small Faces	Small Faces	Afterglow (Of Your Love)
2016-07-02 19:02:54	Small Faces	Small Faces	Long Agos And Worlds Apart
2016-07-02 19:05:29	Small Faces	Small Faces	Rene
2016-07-02 19:09:59	Small Faces	Small Faces	Song Of A Baker
2016-07-02 19:13:14	Small Faces	Small Faces	Lazy Sunday
2016-07-02 19:16:25	Small Faces	Small Faces	Happiness Stan
2016-07-02 19:19:59	Small Faces	Small Faces	Rollin' Over
2016-07-02 19:28:16	Small Faces	Small Faces	The Hungry Intruder
2016-07-02 19:30:32	Small Faces	Small Faces	The Journey
2016-07-02 19:32:34	Brigid Mae Power	Brigid Mae Power	It's Clearing Now
2016-07-02 23:18:31	Brigid Mae Power	Brigid Mae Power	It's Clearing Now
2016-07-02 23:29:14	Brigid Mae Power	Brigid Mae Power	Sometimes
2016-07-03 16:43:14	Brigid Mae Power	Brigid Mae Power	Sometimes
2016-07-03 16:44:14	Marvin Gaye	Marvin Gaye	I Heard It Through the Grapevine
2016-07-03 16:51:10	Roxy Music	Roxy Music	Love Is the Drug
2016-07-04 09:28:56	Brigid Mae Power	Brigid Mae Power	It's Clearing Now
2016-07-04 09:36:34	Brigid Mae Power	Brigid Mae Power	Sometimes
2016-07-04 09:41:41	Brigid Mae Power	Brigid Mae Power	Let Me Hold You Through This
2016-07-04 09:45:12	Brigid Mae Power	Brigid Mae Power	Is It My Low or Yours
2016-07-04 09:48:57	Brigid Mae Power	Brigid Mae Power	Lookin at You In a Photo
2016-07-04 09:53:27	Brigid Mae Power	Brigid Mae Power	I Left Myself for a While
2016-07-04 09:58:38	Brigid Mae Power	Brigid Mae Power	Watching the Horses
2016-07-04 10:03:44	Brigid Mae Power	Brigid Mae Power	How You Feel
2016-07-04 10:45:48	Guy Clark	Guy Clark	Cornmeal Waltz
2016-07-04 10:51:27	Guy Clark	Guy Clark	My Favorite Picture of You
2016-07-04 10:55:00	Guy Clark	Guy Clark	Hell Bent On A Heatache
2016-07-04 10:58:34	Guy Clark	Guy Clark	El Coyote
2016-07-04 11:02:28	Guy Clark	Guy Clark	Heroes
2016-07-04 11:06:09	Guy Clark	Guy Clark	Rain in Durango
2016-07-04 11:10:55	Guy Clark	Guy Clark	Good Advice
2016-07-04 11:14:10	Guy Clark	Guy Clark	Death Of Sis Draper
2016-07-04 11:17:57	Guy Clark	Guy Clark	Waltzing Fool
2016-07-04 11:22:06	Guy Clark	Guy Clark	The High Price of Inspiration
2016-07-04 11:25:17	Guy Clark	Guy Clark	I'll Show Me
2016-07-04 16:16:05	case/lang/veirs	case/lang/veirs	Atomic Number
2016-07-04 16:19:03	case/lang/veirs	case/lang/veirs	Honey and Smoke
2016-07-04 16:22:05	case/lang/veirs	case/lang/veirs	Song for Judee
2016-07-04 16:25:19	case/lang/veirs	case/lang/veirs	Blue Fires
2016-07-04 16:28:15	case/lang/veirs	case/lang/veirs	Delirium
2016-07-04 16:31:02	case/lang/veirs	case/lang/veirs	Greens Of June
2016-07-04 16:35:14	case/lang/veirs	case/lang/veirs	Behind the Armory
2016-07-04 16:37:36	case/lang/veirs	case/lang/veirs	Best Kept Secret
2016-07-04 16:40:53	case/lang/veirs	case/lang/veirs	1000 Miles Away
2016-07-04 16:43:50	case/lang/veirs	case/lang/veirs	Supermoon
2016-07-04 16:47:38	case/lang/veirs	case/lang/veirs	I Want To Be Here
2016-07-04 16:50:25	case/lang/veirs	case/lang/veirs	Down
2016-07-04 16:53:28	case/lang/veirs	case/lang/veirs	Why Do We Fight
2016-07-04 16:56:02	case/lang/veirs	case/lang/veirs	Georgia Stars
2016-07-05 08:46:14	Laura Marling	Laura Marling	The Muse
2016-07-05 08:49:54	Laura Marling	Laura Marling	I Was Just a Card
2016-07-05 08:53:24	Laura Marling	Laura Marling	Don't Ask Me Why
2016-07-05 08:57:24	Laura Marling	Laura Marling	Salinas
2016-07-05 09:02:01	Laura Marling	Laura Marling	The Beast
2016-07-05 09:38:44	Laura Marling	Laura Marling	Night After Night
2016-07-05 09:43:53	Laura Marling	Laura Marling	My Friends
2016-07-05 09:47:51	Laura Marling	Laura Marling	Rest in the Bed
2016-07-05 09:51:00	Laura Marling	Laura Marling	Sophia
2016-07-05 09:55:52	Laura Marling	Laura Marling	All My Rage
2016-07-05 10:56:35	Hayes Carll	Hayes Carll	Drive
2016-07-05 10:59:54	Hayes Carll	Hayes Carll	Sake of the Song
2016-07-05 11:04:38	Hayes Carll	Hayes Carll	Good While It Lasted
2016-07-05 11:07:54	Hayes Carll	Hayes Carll	You Leave Alone
2016-07-05 11:11:54	Hayes Carll	Hayes Carll	My Friends
2016-07-05 11:15:47	Hayes Carll	Hayes Carll	The Love That We Need
2016-07-05 11:19:56	Hayes Carll	Hayes Carll	Love Don't Let Me Down
2016-07-05 11:23:13	Hayes Carll	Hayes Carll	The Magic Kid
2016-07-05 11:27:21	Hayes Carll	Hayes Carll	Love Is so Easy
2016-07-05 11:30:27	Hayes Carll	Hayes Carll	Jealous Moon
2016-07-05 23:41:16	Eilen Jewell	Eilen Jewell	Pages
2016-07-06 00:04:01	Prefab Sprout	Prefab Sprout	The World Awake
2016-07-06 00:09:02	Prefab Sprout	Prefab Sprout	Life Of Surprises
2016-07-06 00:13:13	Prefab Sprout	Prefab Sprout	Horsechimes
2016-07-06 09:14:54	Prefab Sprout	Prefab Sprout	The World Awake
2016-07-06 09:19:20	Prefab Sprout	Prefab Sprout	Life Of Surprises
2016-07-06 09:23:25	Prefab Sprout	Prefab Sprout	Horsechimes
2016-07-06 09:27:46	Prefab Sprout	Prefab Sprout	Wicked Things
2016-07-06 09:30:55	Prefab Sprout	Prefab Sprout	Dublin
2016-07-06 09:50:23	Prefab Sprout	Prefab Sprout	Tiffanys
2016-07-06 09:54:13	Prefab Sprout	Prefab Sprout	Diana
2016-07-06 09:58:21	Prefab Sprout	Prefab Sprout	Talkin Scarlet
2016-07-06 10:02:54	Prefab Sprout	Prefab Sprout	'Til The Cows Come Home
2016-07-06 10:07:06	Prefab Sprout	Prefab Sprout	Pearly Gates
