2018-09-01 18:14:52	The Teardrop Explodes	The Teardrop Explodes	Passionate Friend
2018-09-01 18:18:23	Faces	Faces	Cindy Incidentally
2018-09-01 18:21:02	Simple Minds	Simple Minds	Celebrate
2018-09-03 08:47:34	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Last of My Kind
2018-09-03 08:51:57	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Cumberland Gap
2018-09-03 08:55:21	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Tupelo
2018-09-03 08:59:23	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	White Man's World
2018-09-03 09:03:19	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	If We Were Vampires
2018-09-03 09:06:55	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Anxiety
2018-09-03 09:13:53	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Molotov
2018-09-03 09:17:39	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Chaos and Clothes
2018-09-03 09:21:14	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Hope the High Road
2018-09-03 09:24:18	Jason Isbell and The 400 Unit	Jason Isbell and The 400 Unit	Something to Love
2018-09-03 15:51:38	Cocteau Twins	Cocteau Twins	Lazy Calm
2018-09-03 16:01:21	Cocteau Twins	Cocteau Twins	Throughout the Dark Months of April and May
2018-09-03 16:04:25	Cocteau Twins	Cocteau Twins	Whales Tails
2018-09-03 16:07:42	Cocteau Twins	Cocteau Twins	Oomingmak
2018-09-03 16:10:24	Cocteau Twins	Cocteau Twins	Little Spacey
2018-09-03 16:13:50	Cocteau Twins	Cocteau Twins	Feet-Like Fins
2018-09-03 16:17:17	Cocteau Twins	Cocteau Twins	How to Bring a Blush to the Snow
2018-09-03 16:21:07	Cocteau Twins	Cocteau Twins	The Thinner the Air
2018-09-03 17:22:25	Rodney Crowell	Rodney Crowell	East Houston Blues
2018-09-03 17:26:02	Rodney Crowell	Rodney Crowell	Reckless
2018-09-03 17:34:23	Rodney Crowell	Rodney Crowell	Life Without Susanna
2018-09-03 17:38:34	Rodney Crowell	Rodney Crowell	It Ain't Over Yet
2018-09-03 17:43:48	Rodney Crowell	Rodney Crowell	I Don't Care Anymore
2018-09-03 17:48:16	Rodney Crowell	Rodney Crowell	I'm Tied To Ya'
2018-09-03 17:52:16	Rodney Crowell	Rodney Crowell	Forgive Me Annabelle
2018-09-03 17:56:26	Rodney Crowell	Rodney Crowell	Forty Miles From Nowhere
2018-09-03 18:02:25	Rodney Crowell	Rodney Crowell	Storm Warning
