2021-07-01 09:31:42	Roxy Music	Manifesto	Manifesto
2021-07-03 10:22:21	Lloyd Cole and The Commotions	Mainstream	My Bag
2021-07-03 10:26:23	Lloyd Cole and The Commotions	Mainstream	From The Hip
2021-07-03 10:30:21	Lloyd Cole and The Commotions	Mainstream	29
2021-07-03 10:35:49	Lloyd Cole and The Commotions	Mainstream	Mainstream
2021-07-03 10:39:04	Lloyd Cole and The Commotions	Mainstream	Jennifer She Said
2021-07-04 12:48:47	David Bowie	Hunky Dory (2015 Remaster)	Changes - 2015 Remaster
2021-07-04 12:52:25	David Bowie	Hunky Dory (2015 Remaster)	Oh! You Pretty Things - 2015 Remaster
2021-07-06 15:43:28	R.E.M.	Document (R.E.M. No. 5)	Finest Worksong
2021-07-06 15:47:19	R.E.M.	Document (R.E.M. No. 5)	Welcome to the Occupation
2021-07-06 15:50:07	R.E.M.	Document (R.E.M. No. 5)	Exhuming McCarthy
2021-07-06 15:53:29	R.E.M.	Document (R.E.M. No. 5)	Disturbance at the Heron House
2021-07-06 15:57:18	R.E.M.	Document (R.E.M. No. 5)	Strange
2021-07-06 15:59:51	R.E.M.	Document (R.E.M. No. 5)	It's the End of the World as We Know It (and I Feel Fine)
2021-07-06 16:03:58	R.E.M.	Document (R.E.M. No. 5)	The One I Love
2021-07-06 16:07:36	R.E.M.	Document (R.E.M. No. 5)	Fireplace
2021-07-09 13:47:48	R.E.M.	Document (R.E.M. No. 5)	Lightnin' Hopkins
2021-07-09 14:03:47	Tom Robinson Band	Power in the Darkness	Up Against The Wall
2021-07-09 14:07:22	Tom Robinson Band	Power in the Darkness	Grey Cortina
2021-07-09 14:09:33	Tom Robinson Band	Power in the Darkness	Too Good To Be True
2021-07-09 14:13:08	Tom Robinson Band	Power in the Darkness	Ain't Gonna Take It
2021-07-15 12:14:15	Lloyd Cole	Etc	Backwoods
2021-07-15 12:17:02	Lloyd Cole	Etc	Old Enough To Know Better
2021-07-15 12:21:02	Lloyd Cole	Etc	Another Lover
2021-07-15 12:23:25	Lloyd Cole	Etc	39 Down
2021-07-15 12:24:50	Lloyd Cole	Etc	Sunburst
2021-07-15 12:49:43	Lloyd Cole	Etc	Memphis
2021-07-15 12:54:13	Lloyd Cole	Etc	You're A Big Girl Now
2021-07-15 12:58:03	Lloyd Cole	Etc	Alright People
2021-07-15 12:58:55	Lloyd Cole	Etc	Santa Cruz
2021-07-15 13:01:08	Lloyd Cole	Etc	Love Like This Can't Last
2021-07-15 13:03:27	Lloyd Cole	Etc	Went To Woodstock
2021-07-15 13:06:44	Lloyd Cole	Etc	Fool You Are (Demo)
2021-07-15 13:09:52	Lloyd Cole	Etc	Weakness
2021-07-15 13:10:57	Lloyd Cole	Etc	Backwoods (Reprise)
2021-07-15 13:14:48	Lloyd Cole	Live At Brooklyn Bowl 2016	Rattlesnakes (Live Brooklyn Bowl 2016)
2021-07-15 13:17:42	Lloyd Cole	Live At Brooklyn Bowl 2016	Jennifer She Said (Live Brooklyn Bowl 2016)
2021-07-15 13:21:17	Lloyd Cole	Live At Brooklyn Bowl 2016	So You'd Like To Save The World (Live Brooklyn Bowl 2016)
2021-07-15 13:23:55	Lloyd Cole	Live At Brooklyn Bowl 2016	Weeping Wine (Live Brooklyn Bowl 2016)
2021-07-15 13:27:53	Lloyd Cole	Live At Brooklyn Bowl 2016	No Blue Skies (Live Brooklyn Bowl 2016)
2021-07-15 13:31:25	Lloyd Cole	Live At Brooklyn Bowl 2016	Everyone's Complaining (Live Brooklyn Bowl 2016)
2021-07-15 13:34:58	Lloyd Cole	Live At Brooklyn Bowl 2016	Ice Cream Girl (Live Brooklyn Bowl 2016)
2021-07-15 13:40:08	Lloyd Cole	Live At Brooklyn Bowl 2016	Downtown (Live Brooklyn Bowl 2016)
2021-07-15 13:44:18	Lloyd Cole	Live At Brooklyn Bowl 2016	Perfect Blue (Live Brooklyn Bowl 2016)
2021-07-15 13:48:22	Lloyd Cole	Live At Brooklyn Bowl 2016	Sweetheart (Live Brooklyn Bowl 2016)
2021-07-15 13:53:18	Lloyd Cole	Live At Brooklyn Bowl 2016	Brand New Friend (Live Brooklyn Bowl 2016)
2021-07-15 13:56:27	Lloyd Cole	Live At Brooklyn Bowl 2016	2CV (Live Brooklyn Bowl 2016)
2021-07-15 13:59:29	Lloyd Cole	Live At Brooklyn Bowl 2016	Are You Ready To Be Heartbroken (Live Brooklyn Bowl 2016)
2021-07-15 14:03:20	Lloyd Cole	Live At Brooklyn Bowl 2016	Like Lovers Do  (Live Brooklyn Bowl 2016)
2021-07-15 14:06:36	Lloyd Cole	Live At Brooklyn Bowl 2016	Perfect Skin  (Live Brooklyn Bowl 2016)
2021-07-15 14:10:26	Lloyd Cole	Live At Brooklyn Bowl 2016	Charlotte Street  (Live Brooklyn Bowl 2016)
2021-07-15 14:15:02	Lloyd Cole	Live At Brooklyn Bowl 2016	My Bag  (Live Brooklyn Bowl 2016)
2021-07-15 14:28:18	Lloyd Cole	Live At Brooklyn Bowl 2016	Lost Weekend  (Live Brooklyn Bowl 2016)
2021-07-16 10:42:02	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	The 'L' Word
2021-07-16 10:46:12	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Mannish Girl
2021-07-16 10:49:56	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	The Witching Hour
2021-07-16 10:53:39	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Wild Orphan
2021-07-16 10:57:15	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Don't Look Back (Original Mix)
2021-07-16 11:01:16	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	No Blue Skies (Skyline Mix)
2021-07-16 11:04:56	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Blame Mary Jane
2021-07-16 11:08:10	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Everyone's Complaining
2021-07-16 11:11:01	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Shelly I Do
2021-07-16 11:13:15	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Somewhere Out In The East
2021-07-16 11:16:33	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Chelsea Hotel #2
2021-07-16 11:23:24	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Pay For It (Long Version)
2021-07-16 11:25:55	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Weeping Wine (Original Mix)
2021-07-16 11:29:30	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Weird On Me
2021-07-16 11:32:07	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	Children Of The Revolution
2021-07-16 11:36:21	Lloyd Cole	Cleaning Out The Ashtrays CD1 - One Red Wine Glass	She's A Girl And I'm A Man (Pre-Op)
2021-07-16 12:05:57	Yazoo	Reconnected	Situation - Hercules & Love Affair Remix
2021-07-16 12:11:09	Yazoo	Reconnected	Goodbye 70's - Black Light Odyssey Remix
2021-07-16 12:16:15	Yazoo	Reconnected	Ode To Boy (Das Shadow Re-work)
2021-07-16 12:24:40	Yazoo	Reconnected	Winter Kills - Electronic Periodic's Sub Piano Mix
2021-07-16 13:17:52	Yazoo	Reconnected	Bad Connection - Subway Collective Broadband Remix
2021-07-16 13:22:55	Yazoo	Reconnected	State Farm (Madhouse Mix)
2021-07-16 14:47:42	Inhaler	It Won't Always Be Like This	It Won't Always Be Like This
2021-07-16 14:51:45	Inhaler	It Won't Always Be Like This	My Honest Face
2021-07-16 14:56:18	Inhaler	It Won't Always Be Like This	Slide Out the Window
2021-07-16 15:00:54	Inhaler	It Won't Always Be Like This	Cheer Up Baby
