2022-06-03 18:53:17	Nancy Sinatra, Lee Hazlewood	Nancy & Lee	You've Lost That Lovin' Feelin'
2022-06-03 18:59:34	Joan Shelley	The Spur	The Spur
2022-06-03 20:03:34	Yo La Tengo	I Can Hear the Heart Beating as One	Sugarcube
2022-06-04 10:02:42	Yo La Tengo	I Can Hear the Heart Beating as One	Sugarcube
2022-06-04 10:07:16	Siouxsie and the Banshees	The Scream	Pure
2022-06-04 10:09:09	Siouxsie and the Banshees	The Scream	Jigsaw Feeling
2022-06-04 10:13:49	Siouxsie and the Banshees	The Scream	Overground
2022-06-05 17:25:49	Siouxsie and the Banshees	The Scream	Carcass
2022-06-05 17:29:50	Siouxsie and the Banshees	The Scream	Helter Skelter
2022-06-05 17:33:37	Siouxsie and the Banshees	The Scream	Mirage
2022-06-05 17:36:28	Siouxsie and the Banshees	The Scream	Metal Postcard (Mittageisen)
2022-06-05 17:40:43	Siouxsie and the Banshees	The Scream	Nicotine Stain
2022-06-05 17:43:40	Siouxsie and the Banshees	The Scream	Suburban Relapse
2022-06-05 17:48:01	Siouxsie and the Banshees	The Scream	Switch
2022-06-05 17:55:12	Siouxsie and the Banshees	The Scream	Hong Kong Garden
2022-06-05 17:58:08	Siouxsie and the Banshees	The Scream	The Staircase (Mystery)
2022-06-06 14:21:07	Arcade Fire	Everything Now	Everything_Now (continued)
2022-06-06 14:26:59	Arcade Fire	Everything Now	Signs of Life
2022-06-06 15:59:59	Arcade Fire	Everything Now	Creature Comfort
2022-06-06 16:04:44	Arcade Fire	Everything Now	Peter Pan
2022-06-06 16:07:33	Arcade Fire	Everything Now	Chemistry
2022-06-06 16:11:11	Arcade Fire	Everything Now	Infinite Content
2022-06-06 16:12:48	Arcade Fire	Everything Now	Infinite_Content
2022-06-06 16:14:29	Arcade Fire	Everything Now	Electric Blue
2022-06-06 16:18:32	Arcade Fire	Everything Now	Good God Damn
2022-06-06 16:22:06	Arcade Fire	Everything Now	Put Your Money on Me
2022-06-06 16:29:40	Arcade Fire	Everything Now	We Don't Deserve Love
2022-06-06 22:46:30	Yo La Tengo	I Can Hear the Heart Beating as One	Return to Hot Chicken
2022-06-06 22:48:12	Yo La Tengo	I Can Hear the Heart Beating as One	Moby Octopad
2022-06-06 22:54:01	Yo La Tengo	I Can Hear the Heart Beating as One	Sugarcube
2022-06-06 22:57:24	Yo La Tengo	I Can Hear the Heart Beating as One	Damage
2022-06-06 23:02:04	Yo La Tengo	I Can Hear the Heart Beating as One	Deeper Into Movies
2022-06-07 22:04:37	The Beatles	The Beatles (Remastered)	Helter Skelter - Remastered 2009
2022-06-07 22:12:39	Siouxsie and the Banshees	The Scream	Helter Skelter
2022-06-07 22:16:27	Siouxsie and the Banshees	The Scream	Mirage
2022-06-07 22:19:19	Siouxsie and the Banshees	The Scream	Metal Postcard (Mittageisen)
2022-06-07 22:23:35	Siouxsie and the Banshees	The Scream	Nicotine Stain
2022-06-07 22:26:33	Siouxsie and the Banshees	The Scream	Suburban Relapse
2022-06-07 22:31:44	Arcade Fire	Everything Now	Everything_Now (continued)
2022-06-07 22:37:36	Arcade Fire	Everything Now	Signs of Life
