2023-09-03 07:58:18	The Wedding Present	GEORGE BEST 30	My Favourite Dress
2023-09-03 08:02:36	The Bodines	Creation Artifact (The Dawn Of Creation Records 1983-1985)	Therese (Live BBC Session: Janice Long 13/10/1985)
2023-09-03 08:05:50	The Sugarcubes	The Great Crossover Potential	Birthday
2023-09-03 08:09:52	The Fall	Hip Priest and Kamerads	Look, Know
2023-09-03 08:14:41	The Monochrome Set	Eligible Bachelors	The Jet Set Junta
2023-09-03 08:16:47	Shop Assistants	Will Anything Happen	All Day Long
2023-09-03 08:18:38	The Pastels	Truckload Of Trouble	Truck Train Tractor
2023-09-03 08:22:58	The Brillant Corners	C86 - Compact Edition	Meet Me on Tuesdays
2023-09-03 08:25:28	The Vaselines	Enter The Vaselines	Son of a Gun
2023-09-03 08:29:14	Red Guitars	Good Technology 1982-84	Good Technology
2023-09-03 08:34:08	The Three Johns	Volume	Death Of The European 12" Mix (Atom Drum Bop Bunus Tracks)
2023-09-03 08:40:02	Bradford	Scared To Get Happy	Skin Storm
2023-09-03 08:43:16	The June Brides	Indie Pop Originals	Every Conversation
2023-09-03 08:46:24	The Loft	Ghost Trains & Country Lanes: Studio, Stage & Sessions 1984-2015	Why Does the Rain
2023-09-03 08:49:59	The Waltones	Scared To Get Happy	She Looks Right Through Me
2023-09-04 13:34:47	The Wedding Present	George Best Plus	My Favourite Dress
2023-09-04 13:38:09	The Bodines	Creation Artifact (The Dawn Of Creation Records 1983-1985)	Therese (Live BBC Session: Janice Long 13/10/1985)
2023-09-04 13:41:24	The Sugarcubes	Life's Too Good	Birthday
2023-09-04 13:45:28	The Fall	Hip Priest and Kamerads	Look, Know
2023-09-04 13:50:19	The Monochrome Set	Eligible Bachelors	The Jet Set Junta
2023-09-04 13:52:26	Shop Assistants	Will Anything Happen	All Day Long
2023-09-04 13:54:18	The Pastels	Truckload Of Trouble	Truck Train Tractor
2023-09-04 14:25:12	The Wedding Present	George Best Plus	My Favourite Dress
2023-09-04 14:28:33	The Bodines	Creation Artifact (The Dawn Of Creation Records 1983-1985)	Therese (Live BBC Session: Janice Long 13/10/1985)
2023-09-04 14:31:48	The Sugarcubes	Life's Too Good	Birthday
2023-09-04 14:35:52	The Fall	Hip Priest and Kamerads	Look, Know
2023-09-04 14:40:43	The Monochrome Set	Eligible Bachelors	The Jet Set Junta
2023-09-04 14:42:50	Shop Assistants	Will Anything Happen	All Day Long
2023-09-04 14:44:42	The Pastels	Truckload Of Trouble	Truck Train Tractor
2023-09-04 14:49:04	The Brillant Corners	C86 - Compact Edition	Meet Me on Tuesdays
2023-09-04 14:51:36	The Vaselines	The Way of the Vaselines: A Complete History	Son of a Gun
2023-09-04 14:55:24	Red Guitars	Good Technology	Good Technology
2023-09-04 15:00:20	The Three Johns		Death Of The European 12" Mix (Atom Drum Bop Bunus Tracks)
2023-09-04 15:06:17	Bradford	Shouting Quietly	Skin Storm
2023-09-04 15:09:32	The June Brides	Every Conversation: The Story Of The June Brides & Phil Wilson	Every Conversation
2023-09-04 15:12:41	The Loft	Magpie Eyes 1982-1985	Why Does the Rain
